Auvergnat	Auvergnat	probability
ˈɪ̃	ˈe	1.0
ˈɪ	ˈe	1.0
ˈɛ	ˈɛ	1.0
ˈɔ_ʀ	ʀ_t	1.0
ˈỹ	ˈy	1.0
ˈy_ʀ	ˈy	1.0
ˈy	ˈy	1.0
ˈĩ_ŋ_#>	ˈi_#>	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈẽ	ˈɛ	1.0
ˈe_ʀ	ˈɛ_ʀ	1.0
ˈe_s	ˈɛ_ʦ	1.0
ˈã	ˈa	1.0
ˈa_ʀ	ˈa_ʀ	1.0
ˈa_l	ˈɛ_l	1.0
ʧ_ə	ʤ_e	1.0
ʧ_ɔ	k_ɔ	1.0
ʤ_ɔ	ɣ_ɔ	1.0
ʒ	z	1.0
ʃ	s	1.0
ʀ_ˈɪ	ɾ_ˈe	1.0
ʀ_ˈa	ɾ_ˈa	1.0
ʀ_ɔ	ɾ_ɔ	1.0
ɲ	ɲ	1.0
ɪ	e_s	1.0
ɥ	-	1.0
ɡʲ	ɣ	1.0
ə	e	1.0
ɔ_#>	#>	1.0
ɔ	ɔ	1.0
œ	a_w	1.0
ŋ_n	nː	1.0
z	z	1.0
w_ˈɔ̃	ˈu	1.0
w_ˈɔ	ˈɔ	1.0
w_ˈẽ	ˈy	1.0
w_ʀ	w_ɾ	1.0
w_#>	w_#>	1.0
vʲ	b	1.0
v_ˈa	β_ˈa	1.0
v_ə	b_e	1.0
v	b	1.0
ũ	u	1.0
u	u	1.0
pʲ	-	1.0
p	p	1.0
mʲ	m	1.0
m_#>	m_#>	1.0
lː	lː	1.0
k_ʀ	k_ɾ	1.0
k_#>	k_#>	1.0
k	k	1.0
ĩ	i	1.0
i	i	1.0
fʲ	f	1.0
f	f	1.0
e	e	1.0
dʲ	-	1.0
b_ʀ	β	1.0
ã	a	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ʀ	<#_ʀ	1.0
<#_ə	<#_e	1.0
<#_ɒ	<#_a	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_d	1.0
l	l	0.951
ˈa	ˈa	0.9
m	m	0.889
ˈu	ˈu	0.846
j	j	0.833
ʤ	ʤ	0.824
s	s	0.76
ˈe_j	ˈa_j	0.75
ə_#>	#>	0.75
n	n	0.75
ɒ	a	0.733
ʧ	k	0.727
t	t	0.727
j_#>	ˈɛ_ʧ_#>	0.714
ˈũ	ˈu	0.667
ʀ	ɾ	0.65
d	d	0.64
ɡ	ɡ	0.636
w	w	0.611
ʎ	l	0.6
ŋ	n	0.588
ŋ_#>	#>	0.579
b	b	0.565
ˈœ	ɥ_ˈɛ	0.556
ˈe	ˈɛ	0.536
ˈœ	ɥ	0.444
b	β	0.435
ˈɔ	ˈɔ	0.429
ŋ_#>	n_#>	0.421
ŋ	ŋ	0.412
ʎ	ʎ	0.4
ɡ	ɣ	0.364
d	ð	0.36
ˈũ	-	0.333
ʀ	ʀ	0.3
ˈɔ	ˈu	0.286
ˈɔ	-	0.286
j_#>	#>	0.286
ʧ	t	0.273
ɒ	e	0.267
ˈe_j	ˈa	0.25
ə_#>	ˈe_#>	0.25
s	ʦ	0.24
w	ˈɔ	0.222
t	t_ɾ	0.182
ˈe	ˈe	0.179
ʤ	-	0.176
w	-	0.167
j	ɥ	0.167
n	-	0.15
ˈe	j_ˈɛ	0.107
ˈe	j	0.107
n	n_u	0.1
t	ʧ	0.091
ˈu	ˈu_t	0.077
ˈu	-	0.077
m	m_b	0.074
ˈe	ˈɛ_s	0.071
ˈa	ˈa_t	0.06
