Luxembourgish	Scots	probability
h	h	1.0
j	j	1.0
p	p	1.0
pʰ	pʰ	1.0
ʑ	-	1.0
m	m	0.871
n	n	0.841
ə	ə	0.081
ʦ	t	0.451
ˈaː	ˈe	0.091
ˈaː	ˈo	0.171
ˈeː	ˈɛː	0.071
ˈeː	ˈiː	0.1
ˈi	ˈiː	0.381
ˈɑ	-	0.071
ˈəʊ̯	ˈɛ	0.101
ˈəʊ̯	ˈeː	0.101
ˈəʊ̯	ˈi	0.101
ˈɛː	ˈɛ	0.191
ˈɛː	ˈa	0.191
ˈʊ	ˈø	0.681
χ	-	0.131
χ	x	0.221
χ	k	0.581
l	-	0.072
n	-	0.152
v	-	0.102
v	ʍ	0.122
ɐ	-	0.162
ɕ	x	0.12
ə	-	0.892
ɡ	ɡ	0.762
ˈaː	ˈi	0.072
ˈaː	ˈɑː	0.082
ˈaː	ˈeː	0.192
ˈeː	ˈe	0.592
ˈi	ˈɪ	0.142
ˈi	ˈi	0.392
ˈoː	ˈeː	0.342
ˈoː	ˈi	0.352
ˈu	ˈø	0.292
ˈæːʊ̯	ˈuː	0.112
ˈɑɪ̯	ˈiː	0.252
ˈəʊ̯	ˈɪ	0.052
ˈʊ	ˈʌ	0.202
b	b	0.923
e	ŋ	0.643
f	p	0.283
f	f	0.623
k	-	0.13
s	t	0.613
v	v	0.13
v̥	f	0.733
ˈaː	ˈa	0.153
ˈiə̯	ˈi	0.083
ˈiː	ˈaɪ̯	0.093
ˈiː	ˈɪ	0.263
ˈæːʊ̯	ˈəi̯	0.053
ˈə	ˈi	0.093
ˈɛː	ˈʌ	0.33
ˈɜɪ̯	ˈi	0.373
d	-	0.054
d	ð	0.114
s	s	0.344
ŋ	ŋ	0.584
ɐ	ə	0.344
ʀ	r	0.934
ˈaː	ˈɛ	0.064
ˈeː	ˈɛ	0.094
ˈo	ˈi	0.084
ˈo	ˈʌ	0.414
ˈu	ˈeː	0.064
ˈuə̯	ˈeː	0.314
ˈæ	ˈɛ	0.324
ˈɑ	ˈɪ	0.504
ˈɑʊ̯	ˈuː	0.704
ˈə	ˈɪ	0.584
ˈəʊ̯	ˈø	0.094
d	d	0.555
k	ɡ	0.355
t	d	0.285
t	t	0.685
ʃ	ʃ	0.395
ʃ	s	0.605
ˈe	ˈɛ	0.15
ˈe	ˈi	0.15
ˈi	ˈʌu̯	0.085
ˈo	ˈøː	0.105
ˈu	ˈe	0.145
ˈæːɪ̯	ˈɪ	0.135
ˈæːʊ̯	ˈu	0.835
ˈɔ	ˈʌ	0.5
ˈɔ	ˈu	0.5
ˈə	ˈaːɪ̯	0.165
ˈɛ	ˈa	0.155
ˈɛ	ˈɛ	0.845
d̥	d	0.636
k	k	0.286
v	w	0.646
w	w	0.966
z	s	0.976
ɕ	ʧ	0.136
ˈiː	ˈɛ	0.066
ˈiː	ˈeː	0.166
ˈo	ˈʌu̯	0.056
ˈuː	ˈoː	0.306
ˈuː	ˈɪ	0.506
ˈæ	ˈø	0.676
ˈæːɪ̯	ˈəi̯	0.786
ˈɑʊ̯	ˈu	0.296
ˈəʊ̯	ˈe	0.186
ˈɜɪ̯	ˈɑː	0.056
b	tʰ	0.077
e	i	0.357
v̥	-	0.267
ɕ	ç	0.327
ɡ	j	0.207
ˈiː	w	0.07
ˈo	ˈu	0.137
ˈoː	ˈiː	0.157
ˈu	ˈɪ	0.397
ˈuə̯	ˈo	0.07
ˈɑ	ˈɑː	0.207
ˈɑɪ̯	ˈu	0.137
ˈɑɪ̯	ˈəi̯	0.227
ˈɑɪ̯	ˈaɪ̯	0.257
ˈə	ˈɛ	0.067
ˈɛː	j	0.287
ˈɜɪ̯	ˈiː	0.417
d	θ	0.278
kʰ	k	0.188
kʰ	kʰ	0.78
l	l	0.928
ŋ	n	0.388
ɐ	r	0.438
ɕ	k	0.418
ˈaː	ˈiː	0.138
ˈe	ˈəi̯	0.18
ˈiə̯	ˈɛ	0.338
ˈiə̯	ˈa	0.388
ˈiː	ˈiː	0.268
ˈoː	ˈe	0.148
ˈuə̯	ˈɪ	0.18
ˈæːɪ̯	ˈiː	0.08
ˈɑ	ˈa	0.158
ˈɑɪ̯	j	0.058
ˈə	ˈʌ	0.078
ˈəʊ̯	ˈʌ	0.158
ˈʊ	ˈɪ	0.118
χ	ç	0.068
d̥	θ	0.329
k	ʤ	0.229
m	-	0.129
ʦ	tʰ	0.549
ˈe	ˈɪ	0.519
ˈeː	ˈɑː	0.059
ˈiə̯	ˈɪ	0.19
ˈo	ˈo	0.119
ˈuə̯	ˈoː	0.119
ˈuə̯	ˈø	0.129
ˈuə̯	ˈɑː	0.189
ˈuː	ˈo	0.189
ˈɑ	ˈø	0.059
ˈɑɪ̯	ˈʌ	0.069
ˈəʊ̯	ˈuː	0.159
