Limburgish	Bavarian	probability
β	ʋ	1.0
ˈʏ	ˈi	1.0
ˈʊ	ˈu	1.0
ˈɪː	ˈi	1.0
ˈɛ	-	1.0
ˈɑː_n	n	1.0
ˈɑː	ˈo	1.0
ˈœː	ˈu	1.0
ˈœi̯	ˈai̯	1.0
ˈyː	ˈeː	1.0
ʃ	ʃ	1.0
ʀ_d̥	ɐ_d̥	1.0
ɦ	h	1.0
ɣ_ʀ	ɡ̊_r	1.0
ɣ_ə	ŋ	1.0
ɣ	ɡ̊	1.0
ɡ	ˈɒː	1.0
ə_ʀ	ɐ	1.0
ə_k	i	1.0
ŋ	ŋ	1.0
z̥	s	1.0
z_ˈɛ	s	1.0
w	j	1.0
v	f	1.0
t_ə	s_n	1.0
s_t	ʃ_d̥	1.0
m_ə	m_a	1.0
m	m	1.0
l_ə	j	1.0
k_ə	ɡ̊_a	1.0
j	j	1.0
i	eː	1.0
d̥	d̥	1.0
d_ˈɔ	d̥_ˈo	1.0
d_ʀ	d̥_r	1.0
d	d̥	1.0
b	b̥	1.0
ˈɒː	ˈoː	0.858
n	n	0.834
l	l	0.828
ˈiː	ˈai̯	0.787
z	s	0.783
x	x_d̥	0.77
ˈæː	-	0.735
ʀ_ə	ɐ	0.731
ˈuː	ˈau̯	0.694
ˈi	ˈeː	0.687
ˈɛː	ˈoɐ̯	0.68
ˈœ	ˈu	0.667
s	ʃ	0.636
j_ə	d̥	0.634
ˈu	ˈou̯	0.63
ʀ	ɐ	0.588
ˈɪ	ˈe	0.574
p	b̥͡v̥	0.573
ə	a	0.556
v_ə	β	0.526
t	ʦ	0.503
ˈoː	ˈuɐ̯	0.5
v_ə	m	0.474
ˈʊː	ˈu	0.455
p	fː	0.427
ˈɪ	-	0.426
ˈøː	-	0.42
k	kʰ	0.41
ˈɔː	ˈaː	0.375
ˈɔː	-	0.375
ˈu	-	0.37
ˈøː	ˈi	0.366
j_ə	d̥_n	0.366
ˈɔ	-	0.361
v̥	β	0.361
v̥	f	0.361
ˈɔ	ˈo	0.354
ˈeː	ˈiɐ̯	0.337
ˈœ	-	0.333
ˈoː	ˈu	0.324
t	s	0.315
ˈi	-	0.313
ˈuː	-	0.306
ə	n	0.29
k	x	0.289
ˈɔ	ˈu	0.285
ʀ	r	0.284
v̥	f_ə	0.278
ʀ_ə	ɐ_n	0.269
ˈæː	ˈe	0.265
ˈɔː	ˈo	0.251
ˈaː	-	0.249
ˈʊː	ˈo	0.235
ˈɑ	ˈo	0.233
ˈaː	ˈɒː	0.23
x	x	0.23
s	ʃ_d̥	0.228
ˈɑ	ˈɑː	0.223
z	ʃ	0.217
ˈøː	ˈuɐ̯	0.214
ˈiː	-	0.213
ˈɛː	ˈi	0.21
ˈʊː	ˈuɐ̯	0.206
ˈaː	ˈɒ	0.202
ˈɑ	ˈɒː	0.189
ˈaː	ˈɑ	0.187
ˈɑ	ˈɑ	0.18
ˈeː	ˈe	0.18
ˈoː	-	0.176
ˈɑ	ˈe	0.175
k	ɡ̊	0.175
l	j	0.172
ˈeː	ˈi	0.146
ˈɒː	-	0.142
s	ɡ̊_s	0.136
ˈaː	ˈo	0.133
ˈɛː	ˈai̯	0.109
ˈʊː	-	0.104
ˈeː	ˈe_d̥	0.097
t	d̥	0.092
t	sː	0.09
ʀ	r_ˈai̯	0.083
ə	ə	0.077
ə	-	0.077
ˈeː	ˈɛ	0.074
ˈeː	-	0.074
k	ɡ̊_a	0.072
n	-	0.068
n	n_ˈɑː	0.054
k	ç	0.054
