	Belarusian	Bulgarian	Czech	Kashubian	Latvian	Lithuanian	Lower Sorbian	Macedonian	Old Church Slavonic	Old Prussian	Polish	Proto-Balto-Slavic	Proto-Slavic	Russian	Slovak	Slovenian	Standard Croatian	Standard Serbian	Ukrainian	Upper Sorbian	Čakavian
Belarusian	0.00000	0.10357	0.10541	0.12427	0.25237	0.25869	0.10274	0.12404	0.11314	0.23275	0.09859	0.21681	0.12994	0.04020	0.10373	0.12203	0.12564	0.11941	0.09094	0.10198	0.09914
Bulgarian	0.10357	0.00000	0.12057	0.12571	0.21563	0.23088	0.12453	0.05670	0.09669	0.21262	0.10847	0.18538	0.13134	0.07830	0.11971	0.07127	0.08167	0.09018	0.12959	0.13914	0.06622
Czech	0.10541	0.12057	0.00000	0.11065	0.23187	0.25375	0.08927	0.11472	0.11363	0.21461	0.07102	0.24360	0.13924	0.09656	0.06492	0.12319	0.12606	0.12249	0.12439	0.07631	0.10440
Kashubian	0.12427	0.12571	0.11065	0.00000	0.26048	0.25552	0.10142	0.14405	0.13614	0.24388	0.06954	0.22358	0.15133	0.12608	0.11820	0.13656	0.14287	0.14358	0.15653	0.11447	0.14045
Latvian	0.25237	0.21563	0.23187	0.26048	0.00000	0.13469	0.24804	0.23298	0.24306	0.14783	0.25375	0.16150	0.21189	0.22659	0.24846	0.22520	0.25932	0.25765	0.28607	0.26233	0.21277
Lithuanian	0.25869	0.23088	0.25375	0.25552	0.13469	0.00000	0.28538	0.25594	0.20272	0.13559	0.24379	0.11317	0.18403	0.24488	0.26957	0.24904	0.26532	0.25311	0.28635	0.27607	0.22425
Lower Sorbian	0.10274	0.12453	0.08927	0.10142	0.24804	0.28538	0.00000	0.14140	0.13654	0.21727	0.06833	0.23045	0.15101	0.09077	0.09232	0.14246	0.14591	0.14460	0.14502	0.07111	0.12735
Macedonian	0.12404	0.05670	0.11472	0.14405	0.23298	0.25594	0.14140	0.00000	0.10684	0.22644	0.12087	0.21686	0.13657	0.10641	0.11276	0.09136	0.08629	0.08246	0.15271	0.14074	0.07605
Old Church Slavonic	0.11314	0.09669	0.11363	0.13614	0.24306	0.20272	0.13654	0.10684	0.00000	0.18764	0.13734	0.16293	0.04256	0.10597	0.12670	0.13466	0.11258	0.12208	0.13968	0.16196	0.08898
Old Prussian	0.23275	0.21262	0.21461	0.24388	0.14783	0.13559	0.21727	0.22644	0.18764	0.00000	0.22768	0.12332	0.18871	0.22458	0.22787	0.23123	0.23186	0.24713	0.24367	0.24208	0.19833
Polish	0.09859	0.10847	0.07102	0.06954	0.25375	0.24379	0.06833	0.12087	0.13734	0.22768	0.00000	0.22492	0.13468	0.10507	0.09128	0.14175	0.13610	0.13787	0.16276	0.09017	0.12909
Proto-Balto-Slavic	0.21681	0.18538	0.24360	0.22358	0.16150	0.11317	0.23045	0.21686	0.16293	0.12332	0.22492	0.00000	0.14956	0.20904	0.24097	0.20972	0.20232	0.21338	0.20418	0.24232	0.17865
Proto-Slavic	0.12994	0.13134	0.13924	0.15133	0.21189	0.18403	0.15101	0.13657	0.04256	0.18871	0.13468	0.14956	0.00000	0.12515	0.16702	0.13449	0.12095	0.13868	0.15983	0.18749	0.10210
Russian	0.04020	0.07830	0.09656	0.12608	0.22659	0.24488	0.09077	0.10641	0.10597	0.22458	0.10507	0.20904	0.12515	0.00000	0.11719	0.11246	0.12431	0.11809	0.09625	0.12364	0.09827
Slovak	0.10373	0.11971	0.06492	0.11820	0.24846	0.26957	0.09232	0.11276	0.12670	0.22787	0.09128	0.24097	0.16702	0.11719	0.00000	0.10205	0.10375	0.10248	0.10782	0.06286	0.08483
Slovenian	0.12203	0.07127	0.12319	0.13656	0.22520	0.24904	0.14246	0.09136	0.13466	0.23123	0.14175	0.20972	0.13449	0.11246	0.10205	0.00000	0.05416	0.04962	0.11850	0.12453	0.03851
Standard Croatian	0.12564	0.08167	0.12606	0.14287	0.25932	0.26532	0.14591	0.08629	0.11258	0.23186	0.13610	0.20232	0.12095	0.12431	0.10375	0.05416	0.00000	0.01271	0.12876	0.12949	0.02676
Standard Serbian	0.11941	0.09018	0.12249	0.14358	0.25765	0.25311	0.14460	0.08246	0.12208	0.24713	0.13787	0.21338	0.13868	0.11809	0.10248	0.04962	0.01271	0.00000	0.11707	0.13000	0.02989
Ukrainian	0.09094	0.12959	0.12439	0.15653	0.28607	0.28635	0.14502	0.15271	0.13968	0.24367	0.16276	0.20418	0.15983	0.09625	0.10782	0.11850	0.12876	0.11707	0.00000	0.12644	0.10134
Upper Sorbian	0.10198	0.13914	0.07631	0.11447	0.26233	0.27607	0.07111	0.14074	0.16196	0.24208	0.09017	0.24232	0.18749	0.12364	0.06286	0.12453	0.12949	0.13000	0.12644	0.00000	0.11462
Čakavian	0.09914	0.06622	0.10440	0.14045	0.21277	0.22425	0.12735	0.07605	0.08898	0.19833	0.12909	0.17865	0.10210	0.09827	0.08483	0.03851	0.02676	0.02989	0.10134	0.11462	0.00000
