Galician	Occitan	probability
#>	e_#>	1.0
<#_a	<#_a	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʃ	<#_ʤ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ˈo	<#_ɥ	1.0
<#_ˈu	<#_ˈy	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_θ	<#_s	1.0
a_ð	a_ð	1.0
a_ɾ	ˈa	1.0
a_β	a_β	1.0
a_θ	ˈa_j	1.0
j_#>	j_#>	1.0
j_t	ʧ	1.0
k_ɐ	k_ɔ	1.0
k_ʊ_#>	k_#>	1.0
l_#>	l_#>	1.0
l_s	l_s	1.0
l_ʊ_#>	l_#>	1.0
m_b	m_b	1.0
p	s	1.0
s_#>	s_#>	1.0
s_k	s_k	1.0
s_p	s_p	1.0
s_t	s_t	1.0
s_ɐ	z_ɔ	1.0
t_ɾ	t_ɾ	1.0
t_ʊ_#>	ʧ_#>	1.0
u	u	1.0
v	v	1.0
ŋ_#>	#>	1.0
ŋ_k	ŋ_k	1.0
ŋ_ɡ	ŋ	1.0
ɐ	a	1.0
ɐ_#>	ɔ_#>	1.0
ɾ_k	r_k	1.0
ɾ_t	r_t	1.0
ʧ	l	1.0
ˈa	ˈa	1.0
ˈa_#>	ˈa_n	1.0
ˈa_ɲ	ˈa_ɲ	1.0
ˈa_ɾ_#>	ˈa_#>	1.0
ˈe_j	j_ˈɛ	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈe_ɾ	ɾ_e	1.0
ˈi_l	ˈi_l	1.0
ˈi_ɣ	ˈi	1.0
ˈo_w	ˈa_w	1.0
ˈo_ð	ˈu_t	1.0
ˈɑ	ˈa	1.0
ˈɔ_ɾ	ˈɔ_r	1.0
ˈɛ_ɾ	ˈɛ_r	1.0
β_o	β	1.0
β_ɾ	β_ɾ	1.0
θ_#>	ʦ_#>	1.0
θ_ʊ_#>	ʦ_#>	1.0
<#	<#_a	0.231
<#	<#_k	0.231
ɣ	-	0.111
ˈi	ˈi	0.731
ˈo	-	0.051
ˈɛ	ˈe	0.091
β	β	0.261
a	-	0.2
ɾ	-	0.152
ɾ_#>	e_#>	0.2
a	<#	0.133
a	ɔ	0.133
a	a	0.533
m	m	0.833
o	e	0.133
w	ɡ	0.333
ɪ_#>	#>	0.743
ɾ	ɾ	0.63
ʊ_#>	l_#>	0.143
ʊ_#>	#>	0.753
ˈe	ˈi	0.083
ˈo	ɥ_ˈɛ	0.103
ˈu	ˈu	0.3
β	-	0.13
θ	z	0.333
<#	<#_f	0.154
<#_b	<#_b	0.394
j	-	0.4
l	l	0.714
n	n	0.84
r	ɾ	0.4
t	-	0.444
ɲ	n	0.444
ɾ	r	0.174
ʃ	ʤ	0.444
ˈi	ˈe	0.154
ˈo	ˈɔ	0.154
ˈɔ	ˈɔ	0.714
<#	<#_p	0.385
e	-	0.105
e	e	0.895
i	e	0.375
i	i	0.625
s	z	0.25
s	s	0.75
ð	t	0.5
ð	ð	0.5
ɟ	-	0.25
ɟ	ʎ	0.75
ɣ	ɣ	0.5
ʊ_#>	e_#>	0.065
ˈi	ˈi_w	0.115
ˈi_ɲ	ˈi	0.5
ˈi_ɲ	ˈi_n	0.5
β	w	0.435
<#_b	<#_v	0.606
j	j	0.6
l	w	0.286
n	-	0.16
r	r	0.6
t	t	0.556
ɲ	ɲ	0.556
ʃ	s	0.556
ˈɔ	ˈu	0.286
m	-	0.167
o	u	0.867
w	-	0.667
ɪ_#>	e_#>	0.257
ˈo	ˈy	0.077
ˈo	ˈu_n	0.077
ˈu	ˈy	0.7
β	v	0.087
β	p	0.087
θ	s	0.667
ɾ_#>	#>	0.8
ˈo	ˈu	0.538
ɣ	k	0.389
ˈe	ˈɛ	0.229
ˈe	ˈe	0.479
ˈɛ	ˈɛ	0.909
