Ladin	Québécois French	probability
b	b	1.0
e	-	1.0
f	f	1.0
i	-	1.0
m	m	1.0
s	s	1.0
ɲ	ẽɪ̯̃	1.0
ʃ	-	1.0
ʧ	s	1.0
ˈu	y	1.0
j	-	0.191
p	p	0.981
t	t	0.771
w	ɥ	0.1
w	øʏ̯	0.101
ŋ	-	0.41
ɡ	ɡ	0.541
ʒ	ʒ	0.931
ˈa	ã	0.061
ˈa	a	0.211
ˈo	ɒ̃ʊ̯̃	0.121
j	i	0.482
w	w	0.2
ˈe	ɛ	0.352
ˈɛ	-	0.392
n	ẽɪ̯̃	0.153
ʨ	ʃ	0.703
ˈo	-	0.463
l	l	0.904
r	ʁ	0.854
v	v_w	0.054
ˈa	æɛ̯	0.4
ˈe	æɛ̯	0.064
ˈɔ	ɒ̃ʊ̯̃	0.274
ˈɛ	æɛ̯	0.4
d	d	0.25
k	-	0.255
n	n	0.55
o	u	0.465
o	ɔ	0.535
ˈe	e	0.385
a	e	0.436
d	-	0.706
l	-	0.096
v	v	0.946
ˈi	ɪ	0.726
ˈo	ʊ	0.06
ˈo	u	0.356
ˈɛ	ɛ	0.076
a	a	0.547
j	j	0.327
n	-	0.297
ʨ	s	0.297
ˈi	i_ʁ	0.067
ˈi	i	0.207
ˈɔ	ɔ	0.227
k	k	0.738
r	ʁ_w	0.08
ˈa	-	0.328
t	-	0.229
w	-	0.599
ŋ	ã	0.59
ɡ	-	0.459
ʒ	z	0.069
ˈe	-	0.199
ˈɔ	ɑɔ̯	0.499
