Eastern Lombard	Eastern Lombard	probability
ˈɛ_t	ˈe_tː	1.0
ˈɛ_r	ˈɛ_rː	1.0
ˈø_r	ˈɔ_r	1.0
ˈi_#>	e_#>	1.0
ˈe_l	ˈe_l	1.0
ˈa_s	ˈa_sː	1.0
ˈa_r	ˈa_r	1.0
ø	-	1.0
y	u_ʒ	1.0
w	w	1.0
u	u	1.0
t_#>	t_u_#>	1.0
s_ˈu	s_ˈo	1.0
r_ˈɛ	r_ˈɛ	1.0
r_ˈa	r_ˈa	1.0
r_t	r_t	1.0
r_#>	r_u_#>	1.0
p	p	1.0
l_a	lː_a	1.0
i	i	1.0
f_#>	v_e_#>	1.0
e_r	r_e	1.0
a_m	a_m	1.0
a_d	a_t	1.0
<#_ˈɛ	<#	1.0
<#_ˈø	<#_ˈo	1.0
<#_ˈu	<#_v_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_v	1.0
m	m	0.971
a	a	0.95
ˈa	ˈa	0.937
f	f	0.923
b	b	0.905
k	k	0.904
ˈɔ	ˈɔ	0.895
r	r	0.846
n	n	0.824
ˈy	ˈu	0.818
ɲ	ɲ	0.818
l	l	0.759
d	d	0.731
ˈu	ˈɔ	0.722
t	t	0.706
o	u	0.706
ˈi	ˈi	0.69
ʤ	ɟ	0.667
z	ɟ	0.65
ʧ	c	0.636
ŋ	ŋ	0.625
j	j	0.619
ʋ	v	0.6
ɡ	ɡ	0.526
ˈɛ	ˈɛ	0.516
#>	u_#>	0.504
e	e	0.5
ˈɛ	ˈe	0.484
ˈø	ˈu	0.476
s	s	0.466
ˈø	ˈɔ	0.429
ˈo	ˈɔ	0.421
ʋ	-	0.4
#>	e_#>	0.383
ˈe	ˈɛ	0.379
ŋ	-	0.375
ˈo	ˈo	0.368
ʤ	-	0.333
ɡ	k	0.316
j	ʎ	0.286
d	t	0.269
ˈe	ˈe	0.241
l	lː	0.241
s	ʧ	0.233
ˈy	-	0.182
ʧ	tː_e	0.182
ʧ	tː	0.182
ɲ	-	0.182
t	tː	0.176
o	o	0.176
ˈi	ˈɛ	0.172
ˈe	ˈɛ_n	0.172
ˈu	ˈo_n	0.167
ɡ	-	0.158
z	-	0.15
e	i	0.147
o	-	0.118
e	a	0.118
e	-	0.118
ˈu	ˈo	0.111
ˈɔ	ˈo	0.105
ˈo	ˈu	0.105
ˈo	-	0.105
ˈe	ˈi	0.103
ˈe	v_ˈi	0.103
z	ʧ	0.1
z	z	0.1
ˈø	-	0.095
j	-	0.095
b	bː	0.095
n	ŋ	0.088
n	-	0.088
f	v	0.077
#>	n_u_#>	0.075
ˈi	ˈi_n	0.069
ˈi	-	0.069
t	d_u	0.059
t	d	0.059
e	v_i	0.059
e	r	0.059
k	kː	0.058
s	ʃ	0.055
s	sː	0.055
r	ˈɔ_r	0.051
r	u	0.051
r	e_r	0.051
