Spanish	Spanish	probability
β_j	j	1.0
β_e	i	1.0
ˈu	ˈu	1.0
ˈi_n	ˈi_n	1.0
ˈe_ɾ	l	1.0
ˈe_s	sː	1.0
ˈa	ˈa	1.0
ʧ	tː	1.0
ɾ_β	l_b	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_n	rː	1.0
ɾ_e	u	1.0
ɾ_a	r_a	1.0
ɾ_#>	#>	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ð_a	t_a	1.0
u	u	1.0
t_o	t_u	1.0
s_ˈo	j_ˈa	1.0
r	rː	1.0
p_o	p_u	1.0
p	p	1.0
o_s	i	1.0
n_ˈo	n_ˈɔ	1.0
m_b	mː_a	1.0
l_o	l_u	1.0
k_w	k	1.0
j_n	n	1.0
i	i	1.0
d	d	1.0
b_ɾ	i	1.0
a_β	a_p	1.0
a_ð	a_t	1.0
a_n	a_n	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_f	1.0
<#_ˈa	<#_ˈa	1.0
<#_x	<#_ɟ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_a	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#_a	<#	1.0
<#	<#_f	1.0
a	a	0.967
k	k	0.951
n	n	0.943
o	u	0.914
ʝ	ɖː	0.833
f	f	0.8
m	m	0.789
ɲ	ɲː	0.778
ˈi	ˈi	0.769
#>	i_#>	0.75
s	s	0.737
t	t	0.72
ɾ_o	r_u	0.714
w_ˈe	ˈɔ	0.714
n_#>	n_i_#>	0.714
<#_ɡ	<#_ɡ	0.714
l	l	0.706
w	ˈɔ	0.7
ɾ	r	0.657
e	i	0.579
ɣ	ɡ	0.538
θ	ʧ	0.524
b	v	0.469
b	b	0.469
ɣ	k	0.462
x	cː	0.444
j	-	0.444
ð	t	0.429
j_ˈe	ˈɛ	0.421
ˈo	ˈu	0.4
ˈe	ˈi	0.375
ˈo	ˈɔ	0.371
j_ˈe	ˈe	0.368
ɟ͡ʝ	ɟ	0.333
ɟ͡ʝ	p_j	0.333
ɟ͡ʝ	c	0.333
x	ɖː	0.333
j	j	0.333
β	-	0.312
w	-	0.3
ˈe	ˈɛ	0.292
ɾ_o	u	0.286
w_ˈe	ˈo	0.286
n_#>	#>	0.286
<#_ɡ	<#	0.286
#>	u_#>	0.25
θ	-	0.238
ɾ	l	0.229
ɲ	nː	0.222
x	ʧ	0.222
j	ˈe	0.222
ð	tː	0.214
ð	d	0.214
j_ˈe	ˈa	0.211
ˈe	ˈe	0.208
t	tː	0.2
f	fː	0.2
β	p	0.188
l	ɖː_i	0.176
ˈo	ˈo	0.171
ʝ	ɟː	0.167
ˈi	ˈɛ	0.154
ð	i	0.143
e	u	0.132
e	-	0.132
β	pː	0.125
β	p_a	0.125
β	b	0.125
β	a	0.125
l	u_l	0.118
s	z	0.105
s	-	0.105
m	mː	0.105
m	-	0.105
e	a	0.105
θ	ʦ	0.095
θ	ʃː	0.095
ˈe	ˈa	0.083
t	l	0.08
ˈi	-	0.077
o	o	0.074
b	-	0.062
ˈo	-	0.057
ɾ	t	0.057
ɾ	a_r	0.057
n	-	0.057
s	sː	0.053
e	ɟ	0.053
