Ripuarian	West Frisian	probability
b	b	1.0
d	d	0.631
d	t	0.226
d	ʦ	0.084
d	-	0.048
d_ɐ	r	0.501
f	f	0.73
f	p	0.16
f	-	0.106
h	h	1.0
j	ɡ	0.587
j	j	0.291
j	ˈɪə̯	0.114
k	k	0.42
k	-	0.338
k	ʦ	0.063
k	χ	0.059
k	h	0.041
l	l	0.893
l	l_v	0.056
l	-	0.05
m	m	0.969
m	v	0.042
n	n	0.839
n	-	0.114
n	ŋ	0.032
n	l	0.032
p	p	0.562
p	t	0.416
s	s	0.546
s	t	0.414
s	z	0.038
s	t_ə	0.037
t	t	0.768
t	-	0.231
v	n	0.4
v	v	0.4
v	ʋ	0.083
v	-	0.08
x	χ_t	0.409
x	χ	0.258
x	k	0.224
x	-	0.076
z	s	0.8
z	ɕ	0.11
z	z	0.083
ŋ	n	0.537
ŋ	ŋ	0.462
ɐ	r	0.605
ɐ	ə_r	0.328
ɐ	-	0.061
ɕ	χ	0.546
ɕ	k	0.269
ɕ	-	0.123
ɕ	ŋ	0.056
ə	ə	0.723
ə	-	0.161
ə	j_ə	0.084
ə	ɪ	0.033
ɣ	ɣ	0.683
ɣ	z	0.225
ɪ	ə	0.758
ɪ	ɪ	0.095
ʀ	r	0.86
ʀ	-	0.087
ʀ	z	0.05
ʃ	s	1.0
ʋ	ʋ	0.512
ʋ	v	0.394
ʋ	ˈɔ	0.062
ʋ	-	0.043
ʦ	t	0.849
ʦ	ʦ	0.093
ʦ	d	0.06
ˈa	ˈa	0.499
ˈa	ˈɪə̯	0.109
ˈa	ˈɔː	0.083
ˈa	ˈaː	0.072
ˈa	ˈɛi̯	0.063
ˈa_l	ˈɔː	1.0
ˈaʊ̯	ˈuː	0.297
ˈaʊ̯	ˈɪə̯	0.297
ˈaʊ̯	ˈaː	0.185
ˈaʊ̯	ˈɛ	0.115
ˈaː	ˈa	0.468
ˈaː	ˈoə̯	0.113
ˈaː	ˈɛ	0.088
ˈaː	ˈɛː	0.081
ˈaː	ˈaː	0.081
ˈe	ˈɪ	0.495
ˈe	ˈa	0.133
ˈe	ˈi	0.133
ˈe	ˈiː	0.133
ˈe	ˈɔ	0.095
ˈeɪ̯	ˈɛ_j	0.85
ˈeɪ̯	j	0.081
ˈeː	ˈiə̯	0.317
ˈeː	j	0.122
ˈeː	j_ˈɪ	0.106
ˈeː	ˈɪ	0.082
ˈeː	-	0.061
ˈiː	ˈi	0.238
ˈiː	ˈiə̯	0.191
ˈiː	ˈiː	0.176
ˈiː	j	0.101
ˈiː	ˈeː	0.101
ˈo	ˈɔ	0.292
ˈo	ˈoə̯	0.193
ˈo	ˈu	0.193
ˈo	ˈuː	0.133
ˈo	ˈɔu̯	0.133
ˈoː	ˈuə̯	0.262
ˈoː	ˈiə̯	0.225
ˈoː	ˈoə̯	0.127
ˈoː	ˈoː	0.127
ˈoː	ˈɪə̯	0.12
ˈoː_d	ˈuə̯	1.0
ˈu	ˈy	0.425
ˈu	ˈɔ	0.28
ˈu	ˈu	0.28
ˈuː	ˈuː	0.561
ˈuː	ˈɪə̯	0.362
ˈuː	ˈeː	0.075
ˈyː	ˈuː	0.381
ˈyː	ˈuə̯	0.251
ˈyː	ˈɪə̯	0.219
ˈyː	j	0.095
ˈøː	ˈiə̯	0.768
ˈøː	ˈuə̯	0.102
ˈøː	ˈɵ	0.066
ˈœ	ˈɪ	0.354
ˈœ	ˈøə̯	0.187
ˈœ	ˈɛː	0.134
ˈœ	ˈiː	0.124
ˈœ	ˈø	0.124
ˈɔ	ˈɔ	0.479
ˈɔ	ˈuː	0.222
ˈɔ	ˈoə̯	0.222
ˈɔ	ˈaː	0.068
ˈɔʏ̯	ˈɛ	1.0
ˈɛ	ˈɪ	0.232
ˈɛ	ˈaː	0.148
ˈɛ	ˈɛ	0.12
ˈɛ	-	0.091
ˈɛ	ˈeː	0.091
ˈɛː	ˈɛ	0.266
ˈɛː	ˈɛi̯	0.226
ˈɛː	ˈɪə̯	0.158
ˈɛː	ˈɔ	0.104
ˈɛː	ˈø	0.083
ˈɪ	ˈɪ	0.518
ˈɪ	ˈɔ	0.201
ˈɪ	ˈi	0.098
ˈɪ	ˈɔː	0.095
ˈɪ	ˈiː	0.056
ˈʊ	ˈyː	0.33
ˈʊ	ˈɪ	0.33
ˈʏ	ˈyː	0.188
ˈʏ	ˈɔ	0.188
ˈʏ	ˈɪ	0.188
ˈʏ	ˈuə̯	0.117
ˈʏ	ˈeː	0.073
