Xiang	Xiang	probability
⁴⁵	³³	1.0
ʐ	ᵑɡ	1.0
ʂ	s	1.0
ɸ	f	1.0
ɥ	ᵑɡ	1.0
ɒ	a	1.0
æ	j_a	1.0
¹³	²²	1.0
³³	³³	1.0
tʰ	h	1.0
õ	w_ɔ_n	1.0
m	ᵐb	1.0
l̃	ⁿd	1.0
l	l	1.0
k	k	1.0
j_ə	i	1.0
ẽ	n	1.0
a_¹³	a_²²	1.0
<#_w	<#_ᵐb	1.0
<#_t	<#	1.0
ʨ	k	0.833
²¹	³²	0.818
⁴¹	⁵⁵	0.786
u	u	0.75
j	j	0.739
ɕ	ɬ	0.714
x	h	0.714
ɤ	a_k̚	0.667
w	w	0.64
s	s	0.625
p	p	0.625
ʨʰ	tʰ	0.6
ʦʰ	tʰ	0.6
z̩	u	0.6
e	e	0.6
ə	ɵ	0.545
a	a	0.545
ŋ	ᵑɡ	0.5
ŋ	w	0.5
o	w_ɔ	0.5
o	k̚	0.5
nʲ	ⁿd	0.5
nʲ	ᵑɡ	0.5
<#	<#_ᵑɡ	0.5
<#	<#_v	0.5
n	ŋ	0.463
a	ɔ	0.455
y	u_j	0.444
ʦ	t	0.417
ʨʰ	h	0.4
ʦʰ	ʦʰ	0.4
z̩	e_j	0.4
e	u_t̚	0.4
n	n	0.39
s	ɬ	0.375
p	pʰ	0.375
ʦ	ʦ	0.333
ɤ	ᵑɡ_e	0.333
y	u	0.333
kʰ	h_w	0.333
kʰ	h	0.333
kʰ	f	0.333
i	i	0.333
i	e	0.333
²⁴	⁵⁵	0.292
ɕ	h	0.286
x	f	0.286
ʦ	ʦʰ	0.25
²⁴	³²	0.25
u	m̩	0.25
y	i	0.222
²⁴	t̚_⁵⁵	0.208
i	a_j	0.2
ə	u	0.182
ə	i	0.182
²¹	j_³²	0.182
⁴¹	²¹	0.179
j	e	0.174
ʨ	kʰ	0.167
w	k̚	0.16
n	m	0.146
i	j_a	0.133
w	-	0.12
ə	e	0.091
j	-	0.087
²⁴	³³	0.083
²⁴	t̚_³³	0.083
²⁴	t̚_³²	0.083
w	v	0.08
