Aragonese	Ladin	probability
d	d	1.0
f	f	1.0
r	r	1.0
ŋ	ŋ	1.0
ɲ	ɲ	1.0
ʝ	-	1.0
e	e	0.81
j	j	0.531
k	ʨ	0.611
m	m	0.931
o	-	0.091
ɡ	ɡ	0.631
ɣ	ɡ	0.211
ɾ	j	0.131
ʧ	-	0.201
ˈo	ˈɔ	0.141
ˈu	ˈu	0.831
β	v	0.91
θ	ʨ	0.331
o	ˈa	0.202
t	t	0.772
u	ˈo	0.442
ʎ	-	0.312
θ	ʃ	0.452
a	-	0.163
a	a	0.83
s	s	0.943
t	-	0.153
ɾ	r	0.643
ʃ	ʃ	0.363
ˈa	-	0.063
ˈo	ˈo	0.593
ˈu	ˈe	0.073
θ	-	0.083
i	a	0.474
j	-	0.44
n	n	0.884
o	w	0.124
w	w	0.754
ð	d	0.574
ˈa	ˈɛ	0.264
p	p	0.885
ð	-	0.255
ˈe	ˈe_j	0.065
o	e	0.236
w	-	0.246
ˈe	-	0.096
ˈe	ˈe	0.336
ˈo	w_ˈɛ	0.086
i	i	0.197
s	-	0.057
ð	t	0.17
ʃ	s	0.637
ˈe	ˈɛ	0.437
ˈu	ˈo	0.097
b	v	0.618
o	ˈɔ	0.118
p	v	0.068
u	-	0.558
ɾ	e	0.058
ɾ	-	0.158
ʎ	j	0.688
b	b	0.319
e	-	0.19
i	j	0.329
k	k	0.389
l	l	0.969
m	-	0.069
o	o	0.229
ɡ	k	0.369
ɣ	-	0.789
ʧ	ʒ	0.799
ˈa	ˈa	0.639
ˈi	e	0.059
ˈi	ˈi	0.899
ˈo	ˈo_w	0.09
ˈo	w	0.09
β	-	0.09
θ	ʧ	0.089
