Spanish	Emilian	probability
a	a	0.813
a	-	0.144
b	v	0.626
b	b	0.198
b	-	0.129
d	d	1.0
e	-	0.368
e	a	0.299
e	e	0.149
e	i	0.112
e	ˈa	0.054
f	f	1.0
i	i	0.672
i	e	0.281
j	-	0.587
j	ˈæ	0.176
j	ˈɛː	0.143
k	k	0.953
l	l	0.705
l	j	0.133
l	ʤ	0.096
l	n	0.066
m	m	0.793
m	ŋ	0.083
m	-	0.067
m	n	0.055
n	n	0.53
n	ŋ	0.337
n	ɲ	0.074
o	-	0.762
o	u	0.092
p	p	0.947
p	z	0.053
r	r	0.658
r	-	0.214
r	f	0.128
s	s	0.853
s	-	0.104
t	t	0.889
t	θ	0.057
t	-	0.054
u	i	0.567
u	u	0.433
w	w	0.606
w	ˈo	0.18
w	-	0.125
w	ˈuː	0.09
x	-	0.287
x	ð	0.285
x	ʧ	0.16
x	j	0.158
x	ɡ	0.11
ð	d	0.763
ð	t	0.148
ŋ	ŋ	1.0
ɟ͡ʝ	ʧ	0.308
ɟ͡ʝ	f	0.268
ɟ͡ʝ	p_j	0.23
ɟ͡ʝ	p	0.194
ɡ	ɡ	1.0
ɣ	ɡ	0.817
ɣ	k	0.121
ɣ	-	0.063
ɲ	ɲ	0.692
ɲ	n	0.166
ɲ	m	0.114
ɾ	r	0.828
ɾ	-	0.16
ʝ	l	0.738
ʝ	j	0.141
ʝ	t	0.12
ʧ	t	1.0
ˈa	ˈɛ	0.484
ˈa	ˈa	0.28
ˈa	ˈaː	0.236
ˈe	-	0.308
ˈe	ˈa	0.165
ˈe	ˈɛ	0.15
ˈe	ˈa_j	0.087
ˈe	ˈiː	0.065
ˈe	e	0.054
ˈi	ˈe	0.48
ˈi	ˈiː	0.255
ˈi	ˈɛ	0.098
ˈi	ˈi	0.057
ˈo	ˈʌu̯	0.199
ˈo	ˈʌ	0.178
ˈo	ˈɔ	0.174
ˈo	ˈɔː	0.173
ˈo	ˈo	0.105
ˈo	ˈuː	0.075
ˈo	ˈɛ	0.05
ˈu	ˈuː	0.388
ˈu	ˈo	0.247
ˈu	ˈʌu̯	0.112
ˈu	ˈʌ	0.085
ˈu	ˈo_ŋ	0.084
β	v	0.775
β	p	0.082
β	-	0.076
β	b	0.052
θ	θ	0.399
θ	z	0.263
θ	s	0.15
θ	-	0.111
