Icelandic	Icelandic	probability
θ	d	1.0
ˈʏː	-	1.0
ˈɛi̯	ˈiə̯	1.0
ˈɔː	-	1.0
ˈɔ_r	ˈoə̯	1.0
ˈɑu̯	ˈa	1.0
ˈœːy̯	ˈɪə̯	1.0
ˈœː	-	1.0
ˈœ	-	1.0
ˈu	ˈɔ	1.0
ˈoːu̯_ð	ˈuə̯	1.0
ˈou̯	ˈɔ	1.0
ˈiː_r̥	ˈɛ_j	1.0
ˈi	ˈɪ	1.0
ˈaːu̯	-	1.0
ˈau̯	ˈɛ	1.0
ˈa_r	ˈɛː	1.0
ʰp	p	1.0
ʰk	-	1.0
ʰc	k	1.0
ɣ	-	1.0
ɡ̊ː	-	1.0
ɡ̊_ʏ	ə	1.0
ɡ̊_#>	#>	1.0
ɟ̊ː	-	1.0
ɟ̊	ɡ	1.0
ɛ	-	1.0
ɑu̯	ɪ	1.0
ŋ	ŋ	1.0
ð_#>	#>	1.0
ç	h	1.0
t͡l̥	l	1.0
tʰ	t	1.0
sː	s	1.0
s_ˈɔː	s	1.0
s_#>	s_#>	1.0
pʰ	p	1.0
p	p	1.0
n̥	n	1.0
nː	n	1.0
n	n	1.0
m	m	1.0
l̥	l	1.0
l_v_ʏ	ˈɪə̯_l	1.0
l	l	1.0
kʰ_v	ʋ	1.0
k	k	1.0
j_ˈɛː_r̥_#>	ˈi_#>	1.0
j_ˈoːu̯	ˈiə̯	1.0
h_ˈɛːi̯	h	1.0
h	h	1.0
f	f	1.0
d̥_#>	#>	1.0
cʰ	k	1.0
c	k	1.0
b̥	b	1.0
aːu̯	ɪ	1.0
a_#>	#>	1.0
<#_θ	<#_t	1.0
<#_ɡ̊	<#_ɡ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#_k	1.0
s	s	0.958
ʏ_r̥_#>	#>	0.942
t	t	0.903
a	ə	0.86
ˈaːi̯	-	0.833
ɡ̊	-	0.833
t͡n̥	n	0.818
r	r	0.765
ˈai̯	-	0.75
ɪ	-	0.7
#>	ə_#>	0.692
d̥	d	0.682
ɪ_r̥	ə_r	0.625
ˈɪː	ˈɪ	0.571
ˈɛːi̯	ˈɪə̯	0.571
ˈɔ	-	0.571
ˈɑːu̯	ˈiə̯	0.571
ʰt	t	0.571
ˈɛː	ˈɪ	0.556
ˈɔu̯	χ	0.5
ˈɔu̯	-	0.5
ˈuː	ˈuː	0.5
ˈoːu̯	ˈuə̯	0.5
ˈoːu̯	-	0.5
ˈaː	ˈa	0.5
ˈa	-	0.5
r̥	r	0.5
r̥	-	0.5
j_ˈuː	ˈɪə̯	0.5
j_ˈuː	ˈiː	0.5
<#	<#_ʋ	0.5
<#	<#_j	0.5
j	-	0.476
r̥_#>	r_#>	0.452
ʏ	ə	0.438
ˈɪː	-	0.429
ˈɛːi̯	-	0.429
ˈɔ	ˈoə̯	0.429
ˈɑːu̯	-	0.429
ʰt	χ	0.429
ð	d̥	0.417
v	v	0.393
r̥_#>	#>	0.387
ˈiː	ˈi	0.375
ɪ_r̥	r	0.375
v	ʋ	0.357
ˈɪ	-	0.333
ˈuː	-	0.333
d̥	-	0.318
ʏ	-	0.312
#>	n_#>	0.308
ɪ	ə	0.3
ˈʏ	ˈuː	0.286
ˈʏ	ˈu	0.286
ˈɛ	-	0.278
ˈiː	ˈiː	0.25
ˈaː	ˈaː	0.25
ˈaː	-	0.25
ˈai̯	ˈøə̯	0.25
ˈa	ˈɔː	0.25
ˈa	ˈa	0.25
ð	d	0.25
ˈɛː	ˈɛi̯	0.222
ˈɛː	-	0.222
ˈɛ	ˈɪ	0.222
ˈɛ	ˈɛ	0.222
ˈʏ	ˈɔ	0.214
ˈʏ	-	0.214
ð	-	0.208
ˈɪ	ˈɪ	0.2
ˈɪ	ˈiː	0.2
ˈiː	j	0.188
ˈiː	-	0.188
t͡n̥	-	0.182
ˈɛ	ˈa	0.167
ˈuː	ˈoː	0.167
ˈaːi̯	ˈu̯o	0.167
ɡ̊	χ	0.167
r̥_#>	χ_#>	0.161
r	-	0.147
j	j	0.143
a	j_ə	0.14
ˈɪ	ˈɛː	0.133
ˈɪ	ˈi	0.133
ʏ	ə_n	0.125
ʏ	n	0.125
ð	t	0.125
ˈɛ	ˈaː	0.111
v	-	0.107
t	-	0.097
j	ˈɪə̯	0.095
j	ˈɔ	0.095
j	ˈiə̯	0.095
j	j_ˈɔ	0.095
r	ˈoə̯	0.088
v	s	0.071
v	f	0.071
ʏ_r̥_#>	t_#>	0.058
