Jin	Jin	probability
⁵⁴	⁵	1.0
⁴⁵	⁵⁵	1.0
ʦʰ	ʦʰ	1.0
ʐ	ɲ	1.0
ɥ	j	1.0
ɤ	o	1.0
ə̃_ŋ	n	1.0
ə_ɻ	i	1.0
ə_w	u	1.0
ɒ̃	o_ŋ	1.0
³¹	³¹	1.0
z̩_¹¹	i_²⁴	1.0
z̩	ɨ	1.0
ỹ	j_u	1.0
y	i	1.0
x_w	f	1.0
x	h	1.0
w_æ̃	o_n	1.0
w_a	o	1.0
v	v	1.0
ũ	u	1.0
u	u	1.0
tʰ͡x	tʰ	1.0
s	s	1.0
pʰ͡x	pʰ	1.0
p	p	1.0
o	o	1.0
m	m	1.0
l	l	1.0
k	k	1.0
j_¹¹	j_²⁴	1.0
j_a	e	1.0
h	h	1.0
e_j	i	1.0
e	e_n	1.0
a_w	o	1.0
a_j	o_j	1.0
<#_ʦ	<#	1.0
<#_ɣ	<#	1.0
<#_v	<#	1.0
ʨ	k	0.857
²	²	0.833
⁵³	³¹	0.821
a	a	0.8
w	w	0.769
ʦ	ʦ	0.75
j	j	0.75
i	i	0.75
f	f	0.75
ə̃	u	0.714
ĩ	i	0.714
t	tʰ	0.6
kʰ͡x	kʰ	0.6
¹¹	¹¹	0.507
n	ɲ	0.5
n	n_a	0.5
ʔ	t̚	0.48
ʔ	k̚	0.48
¹¹	²⁴	0.463
ŋ	ŋ	0.458
ʨʰ	ʨʰ	0.444
ə	u	0.429
ə	e	0.429
ɕ	ɕ	0.429
æ̃	a_n	0.4
t	t	0.4
kʰ͡x	h	0.4
ŋ	n	0.375
ʨʰ	kʰ	0.333
ə̃	-	0.286
ɕ	s	0.286
ɕ	h	0.286
ĩ	a	0.286
ʦ	t	0.25
j	-	0.25
i	-	0.25
f	p	0.25
w	j	0.231
ʨʰ	h	0.222
æ̃	o_n	0.2
æ̃	m	0.2
æ̃	a_m	0.2
a	e	0.2
⁵³	²⁴	0.179
²	⁵	0.167
ʨ	ʨ	0.143
ə	-	0.143
ŋ	m	0.083
ŋ	a_ŋ	0.083
