Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ	1.0
ˈɛə̯_t	ˈɛ_t	1.0
ˈɛə̯	ˈɛ	1.0
ˈi_#>	ˈi_#>	1.0
ˈeː_t	s	1.0
ˈeə̯_#>	ˈe_#>	1.0
ˈe	ˈe	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ɲ	ɲ	1.0
ɐ_v	a_v	1.0
ɐ_m	a_m	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z_ɐ	ʃ	1.0
v_ɐ	f	1.0
u_j	ˈo	1.0
s_ˈɛ	s_ˈe	1.0
s_ɐ	s_a	1.0
s_#>	s_#>	1.0
r_ɐ	r	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p_#>	p_#>	1.0
p	p	1.0
n	n	1.0
m_#>	m_#>	1.0
m	m	1.0
k_v	k	1.0
k_r	k_r	1.0
k_#>	k_#>	1.0
j̃	n	1.0
j_ˈɔə̯	ˈi	1.0
f	f	1.0
e	e	1.0
a	a	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈeə̯	<#_ˈa	1.0
<#_ɐ	<#_a	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
#>	s_#>	1.0
t	t	0.906
r	r	0.886
l_#>	l_#>	0.882
ɐ	a	0.851
u	o	0.8
l	l	0.75
b	b	0.739
ð	ʒ	0.727
ˈʌ̃	ˈa	0.722
ʧ	d_l	0.714
v	v	0.714
ˈeə̯	ˈɛ	0.688
i	i	0.667
s	s	0.643
ˈɔ	ˈɔ	0.636
d	d	0.625
ˈõũ̯	ˈo_n	0.6
ˈi	ˈi	0.6
z	ʃ	0.6
d_#>	t_#>	0.6
ˈeː	ˈe_j	0.583
ˈu	w	0.571
k	ʨ	0.548
ˈẽ	ˈi	0.545
ˈɔə̯	ˈɔ	0.533
ˈɛ	ˈe	0.5
ʤ	ʥ	0.5
ʤ	ɡ_l	0.5
ɐ_r	e_r	0.5
ɐ_r	e	0.5
j	l	0.5
k	k	0.452
ˈou̯	ˈo_w	0.438
ˈu	ˈu	0.429
ɡ	ɡ	0.412
ˈõũ̯	ˈɔ_n	0.4
z	ʒ	0.4
d_#>	#>	0.4
j	j	0.389
ˈou̯	ˈo	0.375
s	ʃ	0.357
θ	ʨ	0.353
ˈo	ˈu	0.333
ˈo	ˈo	0.333
i	e	0.333
ˈeə̯	ˈa	0.312
θ	ʦ	0.294
ʧ	k_l	0.286
ˈʌ̃	ˈa_n	0.278
ˈẽ	ˈɛ	0.273
ð	-	0.273
ˈɛ	ˈɛ	0.267
ˈɔə̯	w	0.267
b	-	0.261
ˈeː	ˈɛ	0.25
l	-	0.25
d	-	0.25
θ	ʧ	0.235
ɡ	-	0.235
ˈɔə̯	w_ˈɛ	0.2
ˈi	ˈe_j	0.2
ˈi	j_ˈɛ	0.2
u	u	0.2
ˈou̯	ˈu	0.188
ˈɔ	w_ˈɛ	0.182
ˈɔ	-	0.182
ˈẽ	ˈe	0.182
v	-	0.179
ɡ	ˈɛ_k	0.176
ɡ	k	0.176
ˈɛ	ˈi	0.167
ˈo	ˈɔ	0.167
ˈo	-	0.167
ˈeː	j_ˈɛ	0.167
d	j	0.125
θ	t	0.118
l_#>	#>	0.118
r	e	0.114
j	-	0.111
v	ˈɛ_f	0.107
t	-	0.094
ˈɛ	-	0.067
ɐ	e	0.054
ɐ	-	0.054
