English	East Frisian Low Saxon	probability
θ	d	1.0
ˈɪ_ə	ɐ	1.0
ˈɜː	-	1.0
ˈəʊ̯_n	ˈæɪ̯_n	1.0
ˈe_ð	ˈeːe̯	1.0
ʧ	k	1.0
ʤ	ɣ̊	1.0
ʃ	s_k	1.0
ɡ	ɡ	1.0
ɜː	ˈɑː	1.0
əʊ̯	-	1.0
ŋ	ŋ	1.0
ð_ə	ɐ	1.0
ð	d	1.0
v	v	1.0
pʰ	p	1.0
p	p	1.0
m	m	1.0
kʰ	k	1.0
h	h	1.0
f	f	1.0
d_ˈe	d_ˈoː	1.0
d_ə	ɐ	1.0
b	b	1.0
l	l	0.956
t	t	0.955
n	n	0.947
ə	ɐ	0.876
ɹ	r	0.842
ɫ	l	0.819
w	v	0.803
d	d̥	0.744
ˈæ	ˈɑ	0.677
ɪ	-	0.65
z	-	0.642
k	k	0.616
ˈʊ	ˈɑʊ̯	0.6
ˈɛ	-	0.578
s	z	0.566
ˈuː	-	0.545
j	-	0.524
ˈɪ	ˈɪ	0.518
j	j	0.476
ˈeɪ̯	ˈɒː	0.454
ˈɒ	ˈɔ	0.447
s	s	0.434
ˈɛ	ˈɔː	0.422
ˈeɪ̯	-	0.415
ˈaɪ̯	ˈiː	0.413
ˈəʊ̯	ˈæɪ̯	0.406
ˈaʊ̯	ˈuː	0.401
ˈʊ	ˈʊ	0.4
k	k_n	0.384
ˈɐ	-	0.381
ˈɔː	ˈoː_ɐ	0.378
ˈe	-	0.364
z	z̥	0.358
ɪ	ɐ_ɣ̊	0.35
ˈaʊ̯	-	0.332
ˈɒ	ˈɑ	0.329
ˈɑː	ɐ	0.311
ˈaɪ̯	ˈɪ	0.296
ˈəʊ̯	-	0.27
ˈɑː	ˈɑː_ɐ	0.265
ˈɐ	ˈʊ	0.25
ˈɐ	ˈœ	0.238
ˈɒ	-	0.224
ˈuː	ˈɑʊ̯	0.205
ɫ	ɡ_l	0.181
ˈɔː	-	0.177
ˈəʊ̯	ˈɔ	0.172
ˈɔː	ˈɑː_ɐ	0.166
ˈæ	-	0.163
ˈiː	ˈæɪ̯	0.163
ˈiː	ˈoː	0.163
ˈɔː	ˈøː_ɐ	0.162
ˈæ	ˈɑː	0.161
ɹ	-	0.158
ˈe	ˈoː	0.148
ˈɑː	ˈɑ_l	0.141
ˈɑː	ˈɑ	0.141
ˈɑː	-	0.141
ˈiː	ˈɒː	0.139
ˈuː	ˈæɪ̯	0.137
ˈaʊ̯	ˈɑʊ̯	0.134
ˈaʊ̯	ˈuːu̯	0.134
ˈe	ˈɪ	0.133
ˈe	ˈɛ	0.133
ˈeɪ̯	ˈɑ	0.131
ˈiː	ˈœy̯	0.13
w	w	0.13
ˈiː	-	0.129
ˈiː	ˈøː	0.128
ˈe	ˈeː	0.126
ə	-	0.124
ˈɔː	ɐ	0.116
ˈuː	ˈœːy̯	0.113
d	d_n	0.113
d	d	0.11
ˈəʊ̯	ˈøːø̯	0.104
ˈɪ	-	0.102
ˈɐ	ˈoː	0.102
ˈe	ˈæɪ̯	0.097
ˈɪ	ˈʏ	0.096
ˈɪ	ˈɛ	0.096
ˈɪ	ˈʏə̯	0.073
ˈaɪ̯	χ	0.073
ˈaɪ̯	ˈɪ_χ	0.073
ˈaɪ̯	ˈɑ_χ	0.073
ˈaɪ̯	ˈuː	0.073
ˈɪ	ˈøː	0.07
w	-	0.067
ˈiː	ɑɪ̯	0.064
ˈiː	ˈɑʊ̯	0.056
n	n_n	0.053
