Provençal	Ladin	probability
ˈɔ	ˈɛ	1.0
ˈỹ	ˈu	1.0
ˈy	ˈu	1.0
ˈĩ	ˈi	1.0
ˈi	ˈi	1.0
ˈe_ʀ	r_t	1.0
ˈã	ˈa	1.0
ˈa_j	ˈɛ	1.0
ʧ	t	1.0
ɾ_e	e_r	1.0
ɲ	ɲ	1.0
w_ɾ	v	1.0
w_b	l_b	1.0
u	o	1.0
t	t	1.0
s_ɔ	s	1.0
p	p	1.0
n	n	1.0
mː	e_m	1.0
m_b	m	1.0
m	m	1.0
lː	ʒ	1.0
l_ˈe	l_ˈe	1.0
l	l	1.0
k_ɾ	k_r	1.0
j_ɔ	j_a	1.0
j_s	ʃ	1.0
ĩ	i	1.0
f	f	1.0
ẽ	e	1.0
d_ɔ	t_a	1.0
d	d	1.0
ã	a	1.0
a_d	a_d	1.0
ɔ	a	0.986
ʀ	r	0.94
a	a	0.898
v	v	0.875
ɡ	ɡ	0.831
ɥ	w	0.802
ɾ	r	0.777
ˈẽ	ˈɛ	0.769
w_ˈe	ˈɔ	0.761
ˈa	ˈa	0.706
ˈɛ	ˈɛ	0.702
ˈũ	ˈo	0.676
e	e	0.672
z	ʒ	0.571
ʤ	ʒ	0.563
w_ˈẽ	ˈɔ	0.5
w_ˈẽ	ˈo	0.5
k	ʨ	0.491
b	b	0.478
k	k	0.457
ˈu	ˈo	0.432
z	-	0.429
s	s	0.416
j_ˈe	j	0.409
i	e	0.399
j	j	0.38
ŋ	n	0.375
w	ˈɔ	0.375
ˈe	ˈɛ	0.371
j	-	0.351
ŋ	n_t	0.333
j_ˈe	ˈɛ	0.331
ˈũ	-	0.324
i	j	0.314
b	v	0.306
ŋ	ŋ	0.292
s	ʧ	0.291
i	i	0.287
ˈu	ˈo_w	0.283
e	-	0.275
ˈe	ˈe_j	0.271
j_ˈe	ˈi	0.261
ˈe	ˈe	0.244
w_ˈe	w_ˈɛ	0.239
ˈɛ	ˈe	0.233
ˈẽ	ˈe	0.231
w	ˈo	0.224
ɾ	-	0.223
b	-	0.216
ˈa	ˈɛ	0.212
s	ʨ	0.208
w	w	0.202
ɥ	-	0.198
ʤ	d	0.187
ɡ	-	0.169
ˈu	ˈe	0.145
ʤ	j	0.144
ˈu	ˈu	0.14
w	-	0.121
j	d_l	0.118
ʤ	ʥ	0.106
a	o	0.102
v	-	0.093
ˈe	j	0.086
s	ʦ	0.085
w	ˈɛ	0.078
j	ˈe	0.069
ˈɛ	j_ˈɛ	0.065
ʀ	r_t	0.06
j	ˈɛ	0.056
k	ʥ	0.052
e	j_ˈɛ	0.052
