Proto-Slavic	Upper Sorbian	probability
a	a	1.0
aˀ	ˈa	1.0
ǎ	a	1.0
ê	e	1.0
i	ˈi	1.0
ĭ	-	1.0
ĭˀ	ˈɔ	1.0
ĭ̌	ˈɔ	1.0
ǐ	-	1.0
j	-	1.0
s	s	1.0
ûː	ˈu	1.0
ŭ̂	-	1.0
z	z	1.0
ɛ	-	1.0
ɛˀ	ˈe	1.0
ɛ̂ː	ˈe	1.0
ɛ̌	ˈe	1.0
ɨ̌	ˈɪ	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ĭ̂	ˈe	0.801
o	-	0.051
t	-	0.161
ô	ˈo	0.22
ǒ	ˈɔ	0.772
r	ʀʲ	0.232
e	ɛ	0.173
e	ˈɛ	0.353
o	ˈɔ	0.3
ôː	ˈo	0.583
v	β	0.383
x	x	0.623
b	b	0.554
d	d	0.684
e	-	0.104
e	ɔ	0.214
ẽ	ˈa	0.064
m	m	0.4
ŭ	-	0.284
ɡ	ɦ	0.994
l	w	0.495
n	n	0.975
p	pʲ	0.425
p	p	0.575
ɛː	ɛ	0.145
ɛː	ˈe	0.855
b	bʲ	0.446
d	ʤ	0.316
e	ˈɔ	0.156
ẽ	ˈɛ	0.936
k	k	0.646
l	l	0.456
m	mʲ	0.6
r	ʀ	0.726
t	ʧ	0.246
k	-	0.097
k	kʲ	0.257
ôː	w_ˈo	0.417
ŭ	i	0.457
v	ɥ	0.617
x	xʲ	0.377
ô	ˈɔ	0.78
ǒ	ɔ	0.228
t	t	0.568
ĭ̂	-	0.199
o	ɔ	0.649
ŭ	ɪ	0.259
