Old Chinese	Old Chinese	probability
ʦʰ	ʦʰ	1.0
ʔ_s	ʦ	1.0
ɢʷ	j	1.0
ɢ	w	1.0
ɡ_l	kʷʰ	1.0
ŋ_s	ŋ_²²	1.0
ŋ_i	j	1.0
ŋ_aː	ŋ̍	1.0
w	k̚_³	1.0
u_ʔ	w_³⁵	1.0
tʰ	ʧʰ	1.0
sʰ	ʦʰ	1.0
s_#>	#>	1.0
r̥ʰ	tʰ	1.0
r_eː	aː	1.0
r_aː	aː	1.0
qʰʷ	ʃ	1.0
qʰ	-	1.0
q	j	1.0
pʰ	pʰ	1.0
n_i	j	1.0
l̥ʰ	tʰ	1.0
lʼ	-	1.0
l_ɯː	ɔː_j	1.0
kʷ	kʷ	1.0
kʰʷ	-	1.0
kʰ	h	1.0
k	k	1.0
j_ɯ	iː	1.0
j	-	1.0
hʷ	f	1.0
h_l	s	1.0
b	pʰ	1.0
<#_ɡʷ	<#_w	1.0
<#_ɡ	<#	1.0
<#_ŋʷ	<#_ŋ	1.0
<#_q	<#	1.0
<#	<#_h	1.0
ŋ	ŋ	0.929
n	n	0.889
<#_s	<#_s	0.778
ʔ	-	0.72
m	m	0.72
<#_r	<#_l	0.714
ɯː	ɐ	0.667
ɯ	ɐ	0.667
h	h	0.667
aː	ɔː	0.667
t	ʧ	0.6
n_ʔ	n_³⁵	0.6
d_s	j_³³	0.6
oː	-	0.571
p	f	0.545
e	iː	0.545
uː	o	0.5
uː	aː	0.5
n_s	n_³³	0.5
n_s	n	0.5
l	j	0.5
l	-	0.5
eː	-	0.5
aː_l	ɔː_⁵⁵	0.5
aː_l	ɔː	0.5
i	-	0.471
ɡ	k̚	0.458
p	p	0.455
oː	ʊ	0.429
i	ɐ	0.412
t	ʦ	0.4
n_ʔ	n	0.4
d_s	j_²²	0.4
o	ʊ	0.375
o	yː	0.375
r	-	0.364
#>	²¹_#>	0.352
ɯː	ɔː	0.333
h	s	0.333
d	t̚_³	0.333
u	ʊ	0.312
u	w	0.312
<#_r	<#	0.286
m	-	0.28
#>	⁵⁵_#>	0.276
r	e	0.273
e	-	0.273
a	-	0.263
u	ɐ	0.25
o	aː	0.25
eː	yː	0.25
eː	iː	0.25
d	t̚	0.25
d	s	0.25
<#_s	<#	0.222
a	œː	0.211
a	yː	0.211
ɡ	k̚_³	0.208
ʔ	w_³⁵	0.2
ɯ	-	0.2
aː	o	0.2
r	ɪ	0.182
r	l	0.182
e	yː	0.182
ɡ	-	0.167
d	t	0.167
a	ɵ	0.158
a	ɔː	0.158
ɯ	e	0.133
aː	aː	0.133
u	u	0.125
i	j	0.118
n	-	0.111
#>	¹³_#>	0.095
#>	²_#>	0.095
ɡ	kʰ	0.083
ɡ	k	0.083
ʔ	w_¹³	0.08
#>	³⁵_#>	0.076
ŋ	j	0.071
#>	⁵_#>	0.067
