Nuorese	Nuorese	probability
ˈɔ_n	ˈu_n	1.0
ˈu_t	ˈu_s	1.0
ˈa_ɾ	ˈe	1.0
ʦ	s	1.0
ʣ_u	j	1.0
ʣ	j	1.0
ɾ_ˈi	r_ˈi	1.0
ɾ_ɛ_#>	#>	1.0
ɾ_ɛ	e	1.0
ɾ_u_#>	r_#>	1.0
ɡ	ʤ	1.0
ɛ̆	-	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ɔ̆_#>	#>	1.0
ŋ_ɡ	n_z	1.0
ŋ	ŋ	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ˈa	t_ˈa	1.0
t_ɛ	j_t	1.0
s	s	1.0
r	r	1.0
p_ɾ	p_j	1.0
p_ɛ	v	1.0
n_ʣ	ɲ	1.0
n_u_#>	ŋ_#>	1.0
n_a	ŋ_a	1.0
m_i	m	1.0
k_ˈa	k_ˈa	1.0
k_ɛ	z	1.0
k_u	ɡ	1.0
j_z	j	1.0
j	-	1.0
f	f	1.0
d	d	1.0
ă	-	1.0
a_z	e	1.0
a_t	a_d	1.0
a_#>	#>	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʣ	<#_ʤ	1.0
<#_ɾ	<#_r	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_i	<#	1.0
<#_a	<#	1.0
<#	<#_k	1.0
l	l	0.949
t	t	0.872
p	p	0.857
ɛ_ɾ	e	0.833
ˈa	ˈa	0.816
ɾ	r	0.791
m	m	0.778
z	-	0.727
ˈe	ˈɛ	0.714
ɣ	-	0.714
k_ɾ	j	0.714
β	v	0.688
k	k	0.646
n	ŋ	0.609
o	r	0.6
i_k	z	0.6
i	-	0.579
ˈɛ	ˈɛ	0.571
ɔ	-	0.571
nː	ŋ	0.571
e	-	0.571
ˈi	ˈi	0.556
b	v	0.543
ˈu	ˈy	0.529
ɛ	e	0.5
n_ɛ_#>	n_#>	0.5
n_ɛ_#>	#>	0.5
b	b	0.457
ð	-	0.455
ɔ	u	0.429
nː	ɲ	0.429
e	e	0.429
ˈu	ˈu	0.412
o	r_a	0.4
i_k	d	0.4
ˈo	ˈɔ	0.381
ð	d	0.364
ˈɛ	ˈe	0.357
ˈɔ	ˈø	0.355
ˈɔ	ˈu	0.355
ˈo	ˈø	0.333
n	n	0.304
ˈɔ	ˈɔ	0.29
ˈe	ˈe	0.286
ɣ	j	0.286
k_ɾ	ʧ	0.286
z	z	0.273
i	i	0.263
u	u	0.231
ˈo	ˈu	0.19
β	b	0.188
ɛ	j	0.188
ɛ	-	0.188
k	s	0.188
ð	j	0.182
ˈi	ˈe	0.167
ɛ_ɾ	dː	0.167
k	-	0.167
i	ˈi	0.158
u	y	0.154
u	r	0.154
u	n	0.154
u	j	0.154
u	-	0.154
p	v	0.143
β	-	0.125
ɛ	a	0.125
ˈi	ˈɛ	0.111
ˈi	-	0.111
m	ŋ_ɡ	0.111
m	ŋ_k	0.111
ˈa	ˈe	0.105
ˈo	-	0.095
ɾ	j	0.093
n	-	0.087
ˈa	ˈɔ	0.079
t	-	0.077
ˈɛ	-	0.071
ɾ	-	0.07
ˈu	ˈɔ	0.059
ˈi	ˈə	0.056
t	d	0.051
l	-	0.051
