Bokmål Norwegian	Northern Low Saxon	probability
b	b	0.983
b	-	0.038
d	d	0.947
d	-	0.057
e	ˈuː	1.0
f	f	0.962
f	ʃ	0.047
h	h	1.0
i	ɪ	1.0
j	-	0.35
j	ɡ	0.251
j	x	0.149
j	ˈɛ	0.098
j	j	0.076
k	ɡ	0.762
k	-	0.123
k	k	0.063
kʰ	kʰ	0.813
kʰ	f	0.186
kː	ɡ	0.644
kː	k	0.244
l	l	0.895
l	ɡ_l	0.076
l	-	0.039
l_ə	l	1.0
lː	l	0.869
lː	ɡ	0.116
m	m	0.949
m	-	0.055
mː	m	1.0
n	n	0.853
n	-	0.085
n	ŋ	0.045
n	t	0.037
nː	n	0.574
nː	n_d	0.344
nː	l	0.072
p	b	0.816
p	p	0.181
s	s	0.476
s	z	0.263
s	ʃ	0.204
s	ç	0.036
s	-	0.034
s_k	ʃ	1.0
sː	s	1.0
t	d	0.572
t	t	0.249
t	-	0.145
tʰ	d	0.719
tʰ	tʰ	0.253
tː	ç	0.354
tː	d	0.354
tː	x	0.268
tː_ə	x	1.0
ç	kʰ	0.699
ç	d	0.152
ŋ	ç	0.488
ŋ	n	0.322
ŋː	ŋ	1.0
ə	-	0.701
ə	n	0.245
ə	ɐ	0.037
ə	ɪ	0.032
ə_l	l	1.0
ə_ɾ	ɐ	1.0
ɡ	ɡ	0.679
ɡ	-	0.175
ɡ	x	0.132
ɡː	ɡ	0.35
ɡː	ç	0.133
ɡː	-	0.095
ɪ	ɪ	0.574
ɪ	-	0.287
ɳ	ɐ_n	0.561
ɳ	ɐ	0.185
ɳ	n	0.115
ɾ	r	0.395
ɾ	ɐ	0.21
ɾ	-	0.21
ɾ	d_ɐ	0.086
ɾ	ɐ_d	0.086
ɾ_ə	ɐ	1.0
ʂ	z	0.5
ʃ	ʃ	1.0
ʈ	d	1.0
ʈː	d	0.5
ʋ	v	0.785
ʋ	f	0.21
ʋ_n	m	1.0
ʋ_ə	m	1.0
ˈeː	ˈaɪ̯	0.289
ˈeː	ˈeː	0.246
ˈeː	ˈɪ	0.148
ˈeː	ˈøː	0.107
ˈeː	ˈɛɪ̯	0.107
ˈiː	ˈiː	0.503
ˈiː	ˈeː	0.231
ˈiː	ˈɪ	0.171
ˈiː	ˈaɪ̯	0.062
ˈoː	ˈoː	0.739
ˈoː	ˈaʊ̯	0.177
ˈoː	ˈøː	0.069
ˈuː	ˈaʊ̯	0.741
ˈuː	ˈaɪ̯	0.107
ˈuː	r	0.081
ˈuː	ˈuː	0.066
ˈyː	ˈaɪ̯	0.504
ˈyː	ˈyː	0.213
ˈyː	ˈɪ	0.122
ˈyː	ˈiː	0.122
ˈyː	ˈeɪ̯	0.041
ˈæ	ˈɪ	0.574
ˈæ	ˈaː	0.287
ˈæɪ̯	ˈaɪ̯	0.334
ˈæɪ̯	ˈɛ	0.163
ˈæɪ̯	ˈɪ	0.117
ˈæɪ̯	ˈeɪ̯	0.117
ˈæɪ̯	ˈoː	0.113
ˈæː	ə	0.333
ˈæː	ˈiː	0.208
ˈæː	ɐ	0.13
ˈæː	ˈɛ	0.13
ˈøː	ˈaʊ̯	0.272
ˈøː	ˈɔʏ̯	0.243
ˈøː	ˈaʊ̯_d	0.206
ˈøː	ˈoː	0.101
ˈøː	ˈeː	0.056
ˈœ	ˈɔʏ̯	0.428
ˈœ	ˈʏ	0.168
ˈœ	ˈø	0.127
ˈœ	ˈøː	0.094
ˈœ	ˈaʊ̯	0.091
ˈœʏ̯	ˈaʊ̯	0.5
ˈɑ	ˈa	0.7
ˈɑ	ˈɔ	0.099
ˈɑ	ˈaʊ̯	0.065
ˈɑ	ˈoː	0.055
ˈɑ	ˈaː	0.049
ˈɑ_ɾ	ˈaː	1.0
ˈɑː	ˈoː	0.612
ˈɑː	ˈa	0.182
ˈɑː	ˈɛ	0.125
ˈɔ	ˈa	0.257
ˈɔ	ˈɔ	0.16
ˈɔ	ˈoː	0.16
ˈɔ	ˈʊ	0.16
ˈɔ	ˈœ	0.106
ˈɛ	ˈa	0.282
ˈɛ	ˈɛ	0.214
ˈɛ	ˈɪ	0.171
ˈɛ	ˈœː	0.084
ˈɛ	ˈø	0.07
ˈɛː	ˈeː	0.5
ˈɪ	ˈɪ	0.909
ˈɪ	ˈaː	0.087
ˈʉ	ˈʊ	0.72
ˈʉ	ˈuː	0.108
ˈʉ	ˈœː	0.108
ˈʉ	ˈɪ	0.063
ˈʉː	ˈuː	0.474
ˈʉː	ˈɔ	0.085
ˈʉː	ˈoː	0.085
ˈʉː	ˈeː	0.085
ˈʉː	ˈyː	0.07
ˈʊ	ˈʊ	0.364
ˈʊ	ˈʏ	0.209
ˈʊ	ˈuː	0.209
ˈʊ	ˈɔː	0.095
ˈʊ	ˈɔʏ̯	0.066
ˈʏ	ˈʏ	0.356
ˈʏ	ˈyː	0.303
ˈʏ	ˈɔ	0.174
ˈʏ	ˈɪ	0.12
