Bellunese	Bellunese	probability
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_l	ˈo_l	1.0
ˈi	ˈi	1.0
ˈe_r	ˈe_r	1.0
ˈa_t	ˈa_t	1.0
ˈa_#>	ˈa_#>	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ð	z	1.0
z	z	1.0
w	w	1.0
v_o	v_o	1.0
v	v	1.0
u	-	1.0
t_a	t_a	1.0
t_#>	d_o_#>	1.0
t	t	1.0
s_ˈa	s_ˈa	1.0
r_o	r_o	1.0
p	p	1.0
o_r	o_r	1.0
m	m	1.0
l_a	a	1.0
k	k	1.0
j_o	ʤ_o	1.0
i	i	1.0
e_n	e_n	1.0
b	b	1.0
a	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_l	<#	1.0
<#	<#_ˈa	1.0
ˈa	ˈa	0.961
ŋ	ŋ	0.944
n	n	0.944
s	s	0.943
r	r	0.942
ˈɛ	ˈɛ	0.929
f	f	0.905
o	o	0.897
θ	s	0.895
ˈo	ˈo	0.892
j	j	0.889
ˈe	ˈe	0.886
e	e	0.872
d	d	0.786
#>	o_#>	0.674
l	ɰ	0.514
#>	e_#>	0.326
l	o	0.257
d	-	0.214
l	l	0.171
e	-	0.128
ˈe	ˈɛ	0.114
j	ʤ	0.111
ˈo	ˈɔ	0.108
θ	-	0.105
o	-	0.103
f	-	0.095
ˈɛ	-	0.071
r	a_r	0.058
s	z	0.057
l	-	0.057
ŋ	m_o	0.056
n	-	0.056
