Macedonian	Macedonian	probability
ʧ	-	1.0
ʦ	s	1.0
ʣ	-	1.0
ʒ	ɡʲ	1.0
ʃ	-	1.0
ɾ	iə̯_̂_ʃ_ʊ	1.0
ɡ̊	ɡ	1.0
ɡ	ɡ	1.0
ɟ	̂_dʲ	1.0
ɛ_ˈ	ɛ	1.0
ɔ_ˈ	aː_̌	1.0
ɔ	-	1.0
z̥	-	1.0
x	ɛɪ̯_s	1.0
r_a	ɐ_r	1.0
p	pʲ	1.0
l	lʲ	1.0
k_o	kʲ_æː	1.0
f	ɐ_s	1.0
a_ˈ	oː	1.0
a_#>	#>	1.0
<#_t	<#_tʲ	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_j	<#	1.0
<#_d	<#	1.0
<#	<#_kʲ	1.0
ɫ	ɫ	0.8
ˈ	-	0.757
z	ʑ	0.75
o_ˈ	ɐ	0.667
<#_ɡ	<#_ɡ	0.667
k	k	0.636
t	t	0.615
ɛ_#>	ɪ_#>	0.6
d	d	0.6
v	vʲ	0.562
r	r	0.533
r̩	ɪ_rʲ	0.5
r̩	ɪ_r	0.5
n	n	0.5
d̥	̌_d	0.5
d̥	d	0.5
b	bʲ	0.5
b	b	0.5
r	rʲ	0.467
#>	ɐ_s_#>	0.438
m	mʲ	0.429
m	m	0.429
ɛ_#>	#>	0.4
u	-	0.4
i	-	0.4
d	dʲ	0.4
#>	s_#>	0.375
k	s	0.364
ɛ	-	0.355
o_ˈ	ɪ	0.333
<#_ɡ	<#	0.333
v	v	0.312
a	-	0.31
i	uː_̂	0.3
i	iː	0.3
a	ɐ_ˈ	0.276
s	ʃ	0.263
s	ɕ	0.263
s	s	0.263
ɛ	ɪ	0.258
z	ʒ	0.25
o	ɐ	0.25
n	ɐ	0.25
n	s	0.25
t	-	0.231
s	sʲ	0.211
a	ɐ	0.207
a	eː	0.207
ɫ	lʲ	0.2
u	ʊ	0.2
u	ɐʊ̯	0.2
u	nʲ	0.2
o	aː_̌	0.2
o	-	0.2
ɛ	æː_̌	0.161
ˈ	ˈ	0.157
t	ɪ_ˈ	0.154
o	ɪ_ˈ	0.15
m	ɪ	0.143
ɛ	ɛ	0.129
v	sʲ	0.125
o	ʊ	0.1
o	ɪ	0.1
ɛ	iə̯	0.097
#>	ˈ_#>	0.083
#>	ʊ_ˈ_s_#>	0.062
ˈ	ɪ_ˈ	0.057
