Megleno-Romanian	Megleno-Romanian	probability
ˈɔ	ˈa	1.0
ˈi_ʦ	ʦ	1.0
ʧ	-	1.0
ʤ	ɲː	1.0
ʒ	ʤ	1.0
ʎ_u	j_ə	1.0
ʃ	-	1.0
ɲ	ɲ	1.0
ə	ə	1.0
ɔ	ˈa	1.0
ŋ	-	1.0
v	v	1.0
s_#>	sː_ə_#>	1.0
p_t	tː	1.0
p_l	k_j	1.0
p	p	1.0
n_ʦ	ŋ_k	1.0
l_#>	lː_ə_#>	1.0
l	-	1.0
kʲ	p	1.0
j_n	n	1.0
f	f	1.0
e	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_f	1.0
#>	ə_#>	0.921
n	n	0.9
t	t	0.8
i	ə	0.774
u	ə	0.75
b	v	0.75
s	s	0.727
d	d	0.714
ʦ	ʃ	0.7
ʎ	ʎː	0.667
z	d	0.667
m	m	0.667
k	k	0.667
ˈa	ˈa	0.636
ˈu	ˈu	0.625
ɡ	ɡ	0.6
w	v	0.6
r	ɾ	0.583
ˈi	ˈi	0.571
e̯ˈa	ˈe	0.571
o̯ˈa	ˈɔ	0.5
o̯ˈa	ˈo	0.5
<#_w	<#_w	0.5
<#_w	<#	0.5
j	j	0.429
j	-	0.429
e̯ˈa	ˈi	0.429
ˈe	j_ˈɛ	0.4
ɡ	-	0.4
w	-	0.4
ˈo	w_ˈɔ	0.375
ˈa	ˈɛ	0.364
ʎ	j	0.333
z	ʦː	0.333
ˈo	ˈɔ	0.312
ˈo	ˈu	0.312
k	kː	0.292
d	ɾ	0.286
s	ʃ	0.273
ˈe	ˈe	0.267
ˈu	ˈo	0.25
u	u	0.25
b	b	0.25
ˈe	ˈi	0.2
ʦ	t	0.2
t	-	0.2
m	mː	0.2
ˈi	ˈɛ	0.143
ˈi	ˈe	0.143
ˈi	j_ˈɛ	0.143
j	ʤː	0.143
r	r	0.139
r	l	0.139
ˈe	ˈɛ	0.133
m	-	0.133
i	i	0.129
ˈu	ˈɔ	0.125
ʦ	dː	0.1
n	nː	0.1
i	-	0.097
r	-	0.083
#>	sː_ə_#>	0.079
r	rː	0.056
