Aragonese	Aragonese	probability
ˈi_ɾ	e	1.0
ˈe_n	ŋ_t	1.0
ˈa_ɾ	ˈe	1.0
ʎ_o_#>	j_#>	1.0
ʎ_a	j_a	1.0
ʃ	s	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_o_#>	r_#>	1.0
ɾ_e_#>	#>	1.0
ɾ_e	e_r	1.0
ɾ_#>	#>	1.0
ɲ	ɲ	1.0
ŋ	ŋ	1.0
z	s	1.0
w_ˈa	w_ˈa	1.0
w_#>	v_#>	1.0
u	u	1.0
r	r	1.0
p_ˈu	p_ˈu	1.0
p_l	p_j	1.0
o_#>	#>	1.0
n_#>	#>	1.0
m_b	m	1.0
m	m	1.0
l_ˈa	j_ˈa	1.0
l_#>	l_#>	1.0
k_o_#>	k_#>	1.0
k_l	ʧ	1.0
k	k	1.0
j_t	t	1.0
f	f	1.0
e_#>	#>	1.0
d	d	1.0
b_e	v	1.0
a_β	a_v	1.0
a_#>	#>	1.0
<#_θ	<#_s	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_u	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_e	<#	1.0
<#_a	<#	1.0
a	a	0.944
ˈa	ˈa	0.941
p	p	0.931
ˈi	ˈi	0.893
t	t	0.867
ʝ	-	0.833
ɾ	r	0.833
ʧ	ʤ	0.818
j_ˈe	ˈɛ	0.8
s	s	0.75
θ	z	0.733
ʎ	l	0.727
β	v	0.722
j	-	0.714
ˈu	ˈy	0.68
ˈo	ˈu	0.679
w	-	0.667
n_o_#>	ŋ_#>	0.636
n	ŋ	0.634
ˈe_ɾ	e	0.571
#>	e_#>	0.571
l	l	0.565
ð	-	0.556
b	v	0.538
ˈe_j	ˈɛ	0.5
ˈe_j	j_t	0.5
ɣ	ɡ	0.5
ɣ	-	0.5
e	-	0.474
ˈe	ˈɛ	0.469
b	b	0.462
i	-	0.455
ð	d	0.444
ˈe_ɾ	ˈe	0.429
ɡ	ɡ	0.429
#>	t_#>	0.429
w_ˈe	ˈø	0.393
n	n	0.366
n_o_#>	n_#>	0.364
i	i	0.364
w_ˈe	ˈɔ	0.357
o	-	0.35
w	ˈø	0.333
ˈo	ˈɔ	0.321
ˈe	ˈe	0.312
o	u	0.3
ɡ	k	0.286
ɡ	-	0.286
β	b	0.278
ʎ	j	0.273
θ	s	0.267
w_ˈe	ˈu	0.25
e	e	0.211
j_ˈe	ˈe	0.2
ʧ	-	0.182
i	e	0.182
l	j	0.174
l	-	0.174
ʝ	dː	0.167
s	-	0.167
ˈu	ˈu	0.16
ˈu	-	0.16
o	r	0.15
j	ˈɛ	0.143
j	j	0.143
ˈi	-	0.107
e	ˈi	0.105
e	ˈe	0.105
e	a	0.105
o	ŋ	0.1
o	l	0.1
ˈe	-	0.094
l	w	0.087
ɾ	j	0.071
p	v	0.069
t	s	0.067
t	-	0.067
ˈe	j	0.062
ˈe	e	0.062
ˈa	ˈe	0.059
