Swabian	Proto-Germanic	probability
ˈɪ	ˈi	1.0
ˈɔə̯	ˈɔː	1.0
ˈɔ	ˈu	1.0
ˈuː	ˈɔː	1.0
ˈuə̯	ˈɔː	1.0
ˈu	ˈu	1.0
ˈiː	-	1.0
ˈeː	-	1.0
ˈeə̯	ˈe	1.0
ˈa_n	ɑi̯	1.0
ʦ	t	1.0
ʕ_n	r_n	1.0
ʃ_d	s_t	1.0
ɪ	ɑ	1.0
ɡ_s	x_s	1.0
ŋ_ɡ	ŋ_k	1.0
ŋ	ɡ	1.0
x_d	x_t	1.0
t	ð	1.0
j	j	1.0
i	i	1.0
h	x	1.0
eə̯	e_x	1.0
e	ɔː	1.0
b̥͡f	p	1.0
ˈɔe̯	ˈɑi̯	0.95
ʋ	w	0.929
ʕ	r	0.923
m	m	0.923
l	l	0.909
ɡ	ɣ	0.868
n	n	0.865
ˈae̯	ˈɑi̯	0.855
ˈa	ˈɑ	0.806
ʁ	r	0.792
a	ɑ_n	0.746
f	ɸ	0.721
ˈiə̯	ˈeu̯	0.714
ˈaː	ˈɑ	0.7
ˈao̯	ˈuː	0.685
ç	k	0.672
ˈəi̯	ˈiː	0.67
ˈo	ˈu	0.66
ʃ	s_k	0.653
ˈɔː	ˈɛː	0.607
x	x	0.577
ˈoː	ˈɑu̯	0.567
b	b	0.555
ˈi	ˈi	0.553
ˈɛː	ˈe	0.504
ʁ_ˈae̯	r_ˈi	0.5
ʁ_ˈae̯	r	0.5
ˈɛː	-	0.496
ˈe	ˈi	0.491
ˈɛ	ˈe	0.454
b	β	0.445
ˈoː	ˈu	0.433
s	t	0.43
x	k	0.423
s	s	0.42
ˈɛ	ˈɑ	0.397
ˈɔː	ˈɑ	0.393
d	ð	0.38
ʃ	s	0.347
ç	x	0.328
ˈe	ˈi_ŋ	0.327
d	θ	0.316
ˈao̯	ˈɑu̯	0.315
ˈaː	ˈɑ_n	0.3
ˈiə̯	ˈɔː	0.286
f	p	0.279
ʌ	r_ɑ	0.254
ˈəi̯	ˈiu̯	0.251
d	d	0.225
ˈi	ˈe	0.218
ʌ	ɛː	0.209
ˈo	ˈu_ŋ	0.207
ˈa	ˈɑ_ŋ	0.194
ˈe	-	0.182
ˈɛ	ˈi	0.149
ˈae̯	wː	0.145
a	n_ɑ̃	0.14
ʌ	r_i	0.138
ˈo	-	0.133
ʁ	r_ˈɑ	0.128
ˈi	ˈu	0.12
ˈi	ˈe_k	0.108
l	lː	0.091
s	t_ɑ	0.085
ʁ	x_r	0.081
ʌ	r_ɔː	0.08
ʌ	r_u	0.08
ʌ	r	0.08
ʌ	i	0.08
ʌ	e	0.08
ˈəi̯	ˈĩː	0.079
d	t	0.079
ʕ	r_ɑ̃	0.077
m	mː	0.077
ʋ	xʷ	0.071
n	x_n	0.07
ɡ	k	0.068
a	n	0.068
ɡ	ɑ	0.064
n	ˈɛː	0.064
s	t_s	0.052
ˈɔe̯	jː	0.05
