East Low German	North Frisian	probability
h	h	1.0
kʰ	k	1.0
p	p	1.0
r	r	1.0
tʰ	t	1.0
w	v	1.0
z	s	1.0
ç	j	1.0
ɾ	-	1.0
ˈeː	ˈiː	1.0
ˈœ	ˈeː	1.0
n	-	0.051
n	ə	0.231
ŋ	-	0.061
ɡ	j_ə	0.051
ɡ	ɡ	0.691
ˈa	ˈɒ	0.151
ˈɒː	ˈɔu̯	0.571
ˈɪ	ˈiː	0.101
ˈʊ	ˈyː	0.281
b	b	0.892
ʃ	s	0.412
ˈaʊ̯	ˈuː	0.432
ˈaː	ˈɒː	0.372
ˈyː	ˈiː	0.42
d	d	0.583
j	j	0.353
k	k_ə	0.173
t	d	0.183
x	-	0.13
ˈiː	j	0.13
ˈuː	ˈuː	0.123
ˈuː	ˈyː	0.363
ˈœː	ˈɔː	0.893
ˈɒː	ˈɒː	0.073
ˈɪ	ˈai̯	0.203
ˈʏ	ˈeː	0.483
d	dʲ	0.064
f	f	0.904
m	n	0.084
æ	r	0.644
ŋ	ŋ_ə	0.4
ˈae̯	ˈiː_ə	0.074
ˈaʊ̯	ˈyː	0.224
ˈɔ	ˈɔː	0.754
ˈɔʏ̯	ˈiː	0.134
ˈɛ	ˈeː	0.634
ˈɪ	ˈi	0.274
t	dʲ	0.095
t	t	0.495
v	v	0.985
æ	-	0.065
ˈɔʏ̯	ˈɛ	0.5
ˈɪ	ˈʊ	0.205
d	t	0.266
ˈae̯	ˈiː	0.926
ˈaʊ̯	ˈœ	0.286
ˈiː	ˈeː	0.276
ˈuː	ˈɔ	0.226
ˈɔ	ˈœ	0.246
ˈɛ	ˈʊ	0.366
ˈɪ	ˈa	0.216
j	ɡ	0.647
k	k	0.827
l	l	0.977
m	m_ə	0.087
m	-	0.167
m	m	0.637
n	n	0.597
t	tʲ	0.177
x	x	0.87
ˈa	ˈɒː	0.077
ˈiː	ˈiː	0.127
ˈœː	ˈaː	0.107
ˈɔʏ̯	ˈɛi̯	0.367
ˈʏ	ˈʏ	0.07
ˈʏ	ˈa	0.267
b	v	0.108
n	n_ə	0.08
ŋ	ŋ	0.48
ʃ	ʃ	0.588
ˈa	ə_#>	0.268
ˈaː	ˈa_r	0.628
ˈiː	ˈi	0.468
ˈuː	ˈøː	0.288
ˈyː	ˈʏ	0.58
ˈɒː	ˈɛː	0.168
ˈɒː	ˈɛi̯	0.188
ˈʏ	ˈʊ	0.18
s	s	0.979
æ	ə_r	0.29
ŋ	n	0.059
ɡ	j	0.259
ˈa	ˈɔː	0.059
ˈa	ˈʊ	0.059
ˈa	ˈœ	0.219
ˈaʊ̯	ˈœi̯	0.059
ˈʊ	ˈʊ	0.719
