Eastern Lombard	Eastern Lombard	probability
ˈu_n	ˈɔ_n	1.0
ˈo_r	ˈɔ_ɬ	1.0
ˈe_r	ˈe	1.0
ˈa_#>	ˈa_#>	1.0
ʤ	-	1.0
y	u	1.0
u_l	u_r	1.0
t_ˈa	dː_ˈa	1.0
t_a	t_a	1.0
s_p	i_pː	1.0
s_k	xː	1.0
r_n	rː	1.0
r_k	xː	1.0
p_a	p_a	1.0
p	p	1.0
n_ʤ	ɲː	1.0
n_z	ɲː	1.0
l_s	ʦː	1.0
i	i	1.0
e_r	r	1.0
a_#>	i_#>	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_v	1.0
a	a	0.932
n	n	0.909
o	u	0.867
ˈa	ˈa	0.85
b	b	0.85
r	r	0.796
ˈy	ˈu	0.778
d	d	0.773
f	f	0.759
k	k	0.739
ŋ	ŋ	0.714
m	m	0.704
ˈi	ˈi	0.677
#>	u_#>	0.649
ˈɛ	ˈɛ	0.625
ˈɔ	ˈɔ	0.611
ˈu	ˈo	0.611
ɲ	ɲː_u	0.6
w	w	0.6
z	ʤ	0.562
j	j	0.529
ˈø	ˈɔ	0.524
e	i	0.516
ʋ	v	0.5
ʋ	-	0.5
ɡ	ɡ	0.5
t	t	0.486
ʧ	ʧː	0.444
l	l	0.404
ɲ	ɲː	0.4
w	-	0.4
ˈe	ˈe	0.37
ˈo	ˈu	0.333
ʧ	tː_i	0.333
l	r	0.319
#>	i_#>	0.313
ˈɛ	ˈe	0.312
s	ʦ	0.304
s	s	0.304
m	mː	0.296
j	ʎː	0.294
ɡ	-	0.286
ŋ	nː	0.286
ˈo	ˈɔ	0.267
ˈo	ˈo	0.267
ˈe	ˈi	0.259
t	tː	0.243
ˈø	ˈu	0.238
ˈø	ˈo	0.238
d	dː	0.227
ˈɔ	ˈo	0.222
ˈy	ˈu_n	0.222
ˈu	ˈo_n	0.222
ˈe	ˈɛ	0.222
ʧ	ʧ	0.222
ɡ	ɡː	0.214
e	a	0.194
l	dː	0.191
z	ʒ	0.188
j	-	0.176
f	β	0.172
ˈɔ	-	0.167
ˈu	ˈɔ	0.167
ˈi	ˈi_n	0.161
ˈi	ˈe	0.161
b	-	0.15
ˈe	ˈɛ_n	0.148
ˈo	ˈa	0.133
o	a	0.133
e	u	0.129
z	z	0.125
z	-	0.125
k	ɡː	0.109
t	dː	0.108
s	sː	0.107
ˈa	ˈa_n	0.1
n	nː	0.091
l	-	0.085
s	ʦː	0.071
s	ʃː	0.071
f	-	0.069
k	ɡ_u	0.065
k	kː	0.065
e	β_a	0.065
e	j	0.065
ˈɛ	-	0.062
r	j	0.061
r	-	0.061
t	ɮ	0.054
t	d	0.054
t	-	0.054
s	u	0.054
