Northern Low Saxon	Afrikaans	probability
b	b	0.707
b	p	0.292
b_m	p	1.0
d	t	0.473
d	d	0.376
d	-	0.117
d	r_t	0.037
d_l	ɫ	0.514
d_n	t	1.0
f	f	0.947
f	v	0.041
f	-	0.04
h	ɦ	1.0
i	ə	0.264
j	ˈəɪ̯	0.136
k	k	1.0
kʰ	k	1.0
l	ɫ	0.791
l	l	0.207
l_d	t	1.0
m	m	0.806
m	-	0.194
n	n	0.798
n	-	0.17
n	ŋ	0.038
p	p	1.0
r	r	1.0
s	s	1.0
t	t	0.852
t	-	0.145
tʰ	t	1.0
v	v	0.69
v	w	0.247
v	-	0.053
x	χ	1.0
z	s	1.0
ç	χ	0.652
ç	ŋ	0.132
ç	-	0.115
ç	k	0.092
ŋ	ŋ	0.827
ŋ	-	0.086
ŋ	n	0.086
ɐ	r	0.583
ɐ	ə	0.386
ɐ	-	0.039
ə	r	0.514
ɡ	χ	0.537
ɡ	k	0.458
ɡ_l	ɫ	1.0
ɪ	ə	1.0
ʃ	s	0.793
ʃ	s_k	0.206
ʒ	j	1.0
ˈa	ˈa	0.959
ˈa	ˈɑː	0.048
ˈaɪ̯	ˈi	0.731
ˈaɪ̯	ˈɪə̯	0.184
ˈaɪ̯	ˈəɪ̯	0.078
ˈaʊ̯	ˈʊə̯	0.541
ˈaʊ̯	ˈu	0.205
ˈaʊ̯	ˈɔ	0.047
ˈaʊ̯	ˈœu̯	0.047
ˈaʊ̯	ˈoːi̯	0.047
ˈaʊ̯_l	ˈœu̯	0.514
ˈaː	ˈa_r	0.351
ˈaː	ˈæː	0.202
ˈaː	ˈɛ	0.143
ˈaː	ˈa	0.137
ˈaː	ˈæ	0.097
ˈeɪ̯	ˈɪə̯	0.561
ˈeɪ̯	ˈəɪ̯	0.28
ˈeɪ̯	ˈi	0.115
ˈeː	ˈɪə̯	0.584
ˈeː	ˈɛ	0.141
ˈeː	ˈa	0.1
ˈeː	ˈɑː	0.1
ˈeː	ˈi	0.059
ˈiː	ˈəɪ̯	0.768
ˈiː	ˈi	0.154
ˈiː	ˈœi̯	0.076
ˈoː	ˈɑː	0.851
ˈoː	ˈɔː	0.059
ˈoː	ˈʊə̯	0.058
ˈoː	ˈɪə̯	0.054
ˈuː	ˈœɪ̯	0.734
ˈuː	ˈœu̯	0.148
ˈuː	ˈu	0.109
ˈyː	ˈyː	0.488
ˈyː	ˈœɪ̯	0.331
ˈø	ˈɛ	0.514
ˈøː	ˈɪø̯	0.313
ˈøː	ˈʊə̯	0.224
ˈøː	ˈɪə̯	0.206
ˈœ	ˈɑː	0.264
ˈœː	ˈɛ	0.514
ˈɔ	ˈɔ	0.724
ˈɔ	ˈœu̯	0.153
ˈɔ	ˈɔː	0.112
ˈɔʏ̯	ˈʊə̯	0.534
ˈɔʏ̯	ˈu	0.33
ˈɔʏ̯	-	0.129
ˈɔː	ˈœ	0.514
ˈɛ	ˈɛ	0.57
ˈɛ	ˈɛː	0.422
ˈɛ_l	ˈɪə̯	1.0
ˈɛɪ̯	ˈɪə̯	0.232
ˈɛɪ̯	ˈɑː	0.232
ˈɛɪ̯	ˈæː	0.137
ˈɪ	ˈə	0.751
ˈɪ	-	0.072
ˈɪ	ˈɛ	0.055
ˈɪ	ˈəɪ̯	0.049
ˈɪ	ˈæ	0.049
ˈʊ	ˈɔ	0.961
ˈʊ	ˈœu̯	0.053
ˈʏ	ˈœ	0.627
ˈʏ	ˈi	0.157
ˈʏ	ˈɪø̯	0.115
ˈʏ	ˈɛ	0.085
