Danish	Gothic	probability
f	f	1.0
h	h	1.0
i	a	1.0
mˀ	m	1.0
p	p	1.0
ɐˀ	r	1.0
ˈy	ˈiu̯	1.0
ˈæ	-	1.0
ˈæˀ	ˈa	1.0
ˈæː	ˈa	1.0
ˈø	ŋ	1.0
ˈøˀ	ˈɔː	1.0
ˈɑː	ˈa	1.0
ˈɒː	ˈeː	1.0
ˈɔ	ˈu	1.0
ˈɔː	ˈeː	1.0
ˈɛː	ˈa	1.0
ˈɶ	ˈɔ	1.0
ˈʌˀ	ˈɔː	1.0
b̥	p	0.181
j	x	0.151
n	nː	0.051
s	s	0.911
w	β	0.411
ə	-	0.091
ʦʰ	θ	0.511
ˈeː	ˈa	0.651
ˈi	ˈoː	0.611
ˈiː	ˈi	0.771
ˈu	w_ˈu	0.241
ˈøː	ˈɔː	0.771
ˈœ	w	0.251
ˈɑˀ	ˈa	0.471
ˈɛˀ	ˈiu̯	0.111
ˈɛˀ	ˈeː	0.391
j	ɣ	0.052
j	ˈi	0.072
m	m	0.972
w	ɣ	0.182
ð̞ˠ	-	0.082
ə	u	0.052
ɡ̊	d	0.132
ʌ	w	0.252
ˈa	ˈu	0.212
ˈiˀ	ˈɛ	0.062
ˈyˀ	ˈi	0.12
ˈœˀ	-	0.092
ˈœˀ	ˈɔ	0.422
ˈɑ	ˈi	0.492
ˈʌ	ˈɔː	0.092
j	-	0.123
jˀ	ɡ	0.493
t	-	0.053
w	f	0.333
ð̞ˠ	t	0.473
ə	oː	0.223
ɡ̊	ɣ	0.193
ʋ	w	0.703
ʦʰ	t	0.463
ˈa	ˈɛ	0.063
ˈo	ˈɔ	0.503
ˈɑ	ˈa	0.403
ˈɛ	ˈi	0.233
ˈʌ	ˈa	0.183
ˈʌ	ˈoː	0.293
k	h	0.14
kʰ	kʷ	0.144
n	n	0.894
w	-	0.074
wˀ	oː	0.234
ð̞ˠ	θ	0.404
ŋ	ŋ	0.4
ŋˀ	ŋ	0.764
ɐ	a	0.14
ə	θ_a	0.054
ʋ	-	0.094
ˈi	ˈi	0.194
ˈi	ˈuː	0.194
ˈiˀ	ˈiː	0.734
ˈyː	ˈiu̯	0.794
ˈɑˀ	ˈɛː	0.264
ˈɑˀ	-	0.264
j	h	0.315
k	ɡ	0.05
lˀ	lː	0.085
n	-	0.055
nˀ	t	0.185
nˀ	n	0.45
ɡ̊	ɡ	0.675
ˈa	ˈa	0.725
ˈe	ˈiː	0.085
ˈoˀ	ˈoː	0.645
ˈuˀ	ˈu	0.135
ˈuˀ	ˈuː	0.865
ˈuː	w	0.5
ˈuː	ˈu	0.5
ˈœˀ	ˈɔː	0.485
ˈɑ	ˈɛː	0.105
ˈɒ	ˈɔː	0.5
ˈɒ	ˈu	0.5
ˈɔˀ	ˈa	0.315
ˈɛ	ˈɛ	0.15
d̥	d	0.96
kʰ	k	0.856
l	e	0.056
lˀ	-	0.136
wˀ	h	0.766
ŋ	ɡʷ	0.6
ŋˀ	h	0.236
ɐ	oː	0.096
ʁ	r	0.936
ˈeˀ	ˈa	0.056
ˈiˀ	ˈiu̯	0.066
ˈoː	ˈi	0.276
ˈoː	ˈa	0.316
ˈyː	ˈɛː	0.206
ˈɔˀ	ˈeː	0.436
ˈɛ	-	0.066
ˈɛ	ˈa	0.406
ˈɛˀ	ˈiː	0.076
ˈɛˀ	ˈɛː	0.406
j	ˈɛ	0.287
jˀ	k	0.507
l	l	0.877
t	t	0.557
ɐ	a_r	0.077
ɐ	-	0.17
ə	a	0.467
ʌ	a	0.7
ˈe	ˈi	0.657
ˈeˀ	ˈɛː	0.787
ˈo	ˈoː	0.377
l	lː	0.068
nˀ	nː	0.128
nˀ	d	0.238
ˈeˀ	ˈi	0.078
ˈoˀ	ˈɔː	0.068
ˈoˀ	ˈɛː	0.228
ˈoː	ˈɔ	0.408
ˈyˀ	ˈiu̯	0.88
ˈʌ	ˈi	0.378
b̥	b	0.819
k	k	0.809
lˀ	l	0.779
t	h_t	0.39
ɐ	i	0.069
ɐ	r	0.449
ʋ	ʍ	0.159
ˈe	ˈa	0.259
ˈeˀ	ˈiu̯	0.079
ˈeː	ˈɛ	0.349
ˈiˀ	ˈi	0.139
ˈiː	ˈiː	0.229
ˈo	w	0.119
ˈoˀ	-	0.059
ˈu	ˈu	0.759
ˈøː	ˈoː	0.229
ˈœ	ˈu	0.749
ˈɔˀ	ˈɔː	0.249
ˈɛ	ˈɛː	0.099
