Catalan	Catalan	probability
β_ɾ	r	1.0
β	v	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_#>	ˈe_r_#>	1.0
ˈɔ_n	ˈo_n	1.0
ˈi_t	ˈɛ_t	1.0
ˈi_#>	ˈi_ŋ_#>	1.0
ˈi	ˈi	1.0
ʧ	s	1.0
ʤ	ɡ	1.0
ʎ_ə	a	1.0
ʃ	s	1.0
ɣ	ɡ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ə_β	a_v	1.0
ð_ə	d_a	1.0
ð	d	1.0
z	z	1.0
w_#>	#>	1.0
t_ə	t_a	1.0
t_#>	#>	1.0
s_#>	#>	1.0
r_#>	r_o_#>	1.0
r	r	1.0
n_#>	ŋ_t_#>	1.0
k_l	ʧ	1.0
k_#>	ɡ_o_#>	1.0
k	k	1.0
j_t	t	1.0
j	-	1.0
i	i	1.0
f	f	1.0
d	d	1.0
a	a	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ə	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_b	<#	1.0
p	p	0.917
ɾ	r	0.909
t	t	0.895
ˈo	ˈo	0.889
m	m	0.864
ˈa	ˈa	0.854
u	o	0.812
ʎ	l	0.789
#>	r_#>	0.778
n	n	0.75
ŋ	ŋ	0.714
ʒ	ð	0.7
ˈɛ	ˈe	0.692
<#_ɡ	<#_ɡ	0.667
l	l	0.652
s	s	0.651
ə	a	0.647
ˈɔ	ˈɔ	0.536
b	b	0.519
ˈu	ˈu	0.5
ˈe	ˈɛ	0.5
b	v	0.481
ˈɔ	ˈo	0.464
ɲ	ɲ	0.444
ɾ_ə	r_o	0.375
ɾ_ə	e_r	0.375
s	θ	0.349
l	j	0.348
ˈe	ˈe	0.333
ɲ	n	0.333
<#_ɡ	<#	0.333
ʒ	-	0.3
ŋ	ŋ_k	0.286
w	w	0.267
ˈu	ˈo	0.25
ˈu	-	0.25
ɾ_ə	r	0.25
n	ŋ	0.25
ɲ	-	0.222
ʎ	ʧ_o	0.211
w	e	0.2
u	-	0.188
ə	e	0.176
ˈa	ˈa_ŋ	0.146
m	ŋ	0.136
w	z_e	0.133
w	v_o	0.133
w	v	0.133
w	o	0.133
ˈɛ	ˈo	0.115
ˈɛ	j_ˈe	0.115
ˈo	ˈɔ	0.111
t	θ	0.105
ˈe	ˈa	0.1
ɾ	e_r	0.091
p	-	0.083
ə	-	0.082
ˈɛ	ˈɛ	0.077
#>	n_#>	0.074
#>	l_#>	0.074
#>	a_#>	0.074
ˈe	ˈe_ŋ	0.067
ə	o	0.059
