Western Lombard	Western Lombard	probability
ˈɛ_r	ˈɛ_ʀ	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɑː_s	ˈa_s	1.0
ˈœ	ɥ	1.0
ˈyː_r	ˈy	1.0
ˈy	ˈu	1.0
ˈoː	ˈa_w	1.0
ˈo	w	1.0
ˈi	ˈi	1.0
ˈa_#>	ˈa_#>	1.0
ʧ_#>	#>	1.0
ʒ	z	1.0
ʃ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
z	-	1.0
y	u	1.0
w	-	1.0
v_e	w_ɾ	1.0
s_ˈɛ	s_ˈe	1.0
s_e	s_e	1.0
s_a	s_ɔ	1.0
r_t	ˈe_ʀ	1.0
o	e	1.0
n_#>	#>	1.0
k	k	1.0
f_#>	w_#>	1.0
ẽ	v_e	1.0
d_e	j_ɾ	1.0
b	b	1.0
ã	ã	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_ʒ	<#_ʤ	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_a	<#_a	1.0
m	m	0.967
f	f	0.92
ˈɑː	ˈa	0.917
p	p	0.909
t	t	0.9
l_#>	w_#>	0.882
s	s	0.878
ˈuː	ˈu	0.818
n	n	0.8
ˈu	ˈu	0.769
k_#>	k_#>	0.769
v	v	0.76
a	ɔ	0.743
ˈã	ˈã_ŋ	0.727
ˈa	ˈa	0.722
d	d	0.677
ˈe	ˈe	0.667
u	u	0.667
ĩ	-	0.667
ˈiː	ˈi	0.636
r	ɾ	0.629
s_#>	s_#>	0.625
ˈɛ	ˈɛ	0.619
r_#>	e_#>	0.611
ˈĩ	ˈĩ_ŋ	0.6
l	l	0.591
t_#>	#>	0.571
ˈi_#>	ˈi_#>	0.556
ˈeː	ˈe	0.529
ˈẽ	ˈẽ_ŋ	0.5
ˈẽ	ˈẽ	0.5
ʧ	ˈe_j	0.5
ʧ	k_l	0.5
j	l	0.5
ˈi_#>	#>	0.444
t_#>	ŋ_#>	0.429
ˈyː	ˈy	0.417
ˈũ	ˈũ_ŋ	0.4
ˈũ	w_ˈẽ	0.4
ˈĩ	ˈĩ	0.4
e	e	0.4
r_#>	#>	0.389
j	j	0.389
s_#>	#>	0.375
r	ʀ	0.371
ˈɔ	w_ˈe	0.368
ˈiː	ˈe	0.364
ˈeː	ˈɛ	0.353
ˈøː	w_ˈe	0.333
ˈyː	-	0.333
ˈe	ˈɛ	0.333
ʤ	ʤ	0.333
ʤ	ɡ_l	0.333
ʤ	-	0.333
ĩ	ĩ	0.333
i	i	0.333
i	e	0.333
i	-	0.333
l	w	0.318
e	ɾ	0.28
ˈã	ˈã	0.273
#>	e_#>	0.261
ˈøː	ɥ_ˈɔ	0.25
ˈøː	w	0.25
ˈyː	ˈu	0.25
ˈu	w_ˈe	0.231
k_#>	#>	0.231
ˈũ	ˈũ	0.2
a	a	0.189
ˈuː	-	0.182
#>	ɔ_#>	0.174
ˈøː	ɥ_ˈe	0.167
ˈa	ˈa_j	0.167
u	a	0.167
u	-	0.167
v	b	0.16
ˈɔ	w	0.158
ˈɔ	-	0.158
ˈɛ	j_ˈe	0.143
ˈɛ	e	0.143
n	ŋ	0.143
#>	ŋ_#>	0.13
#>	w_#>	0.13
#>	s_#>	0.13
d	ʤ	0.129
e	i	0.12
e	-	0.12
ˈeː	j_ˈe	0.118
l_#>	#>	0.118
ˈa	ˈã	0.111
j	-	0.111
ˈɔ	ˈe	0.105
ˈɔ	ˈa_w	0.105
ˈɔ	ˈa	0.105
t	d	0.1
ˈɛ	ˈe	0.095
p	-	0.091
l	-	0.091
#>	m_#>	0.087
#>	j_#>	0.087
ˈɑː	ˈã	0.083
v	-	0.08
f	ˈe_w	0.08
e	j	0.08
s	s_e	0.073
d	ɾ	0.065
d	j	0.065
d	-	0.065
n	-	0.057
