French	French	probability
ɲ	ɲ	1.0
ɥ	w	1.0
ɡ	ɡ	1.0
ɛ_ʁ	ˈɛ_r	1.0
z	ʒ	1.0
w_a	ˈe	1.0
t_ʁ	ʃ_e	1.0
t_#>	t_a_#>	1.0
p	p	1.0
n	n	1.0
m	m	1.0
k	k	1.0
f	f	1.0
d	d	1.0
a_ʁ	j	1.0
a_#>	w_ʃ_#>	1.0
<#_ʁ	<#_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_e	<#_ʃ	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
<#	<#_d	1.0
ʃ	ʨ	0.9
b	b	0.889
l	l	0.875
e_#>	ˈe_#>	0.857
v	v	0.815
ʁ	r	0.784
y	ˈu	0.75
ʒ	ʒ	0.667
ɔ	ˈɔ	0.667
t	t	0.643
ʁ_#>	#>	0.625
w	ˈe	0.609
ø	ˈɛ_k	0.6
s	s	0.59
i	ˈi	0.562
ɔ̃	ˈo_n	0.556
œ	w_ˈɛ	0.545
ə	e	0.5
ə	a	0.5
e	ˈa	0.5
e	s	0.5
#>	a_#>	0.5
j	j	0.474
o	ˈɛ_l	0.462
ɑ̃	ˈɛ_n	0.412
ø	ˈɛ	0.4
ʁ_#>	e_#>	0.375
ʒ	-	0.333
ɛ	ˈe	0.333
ɔ	o	0.333
a	ˈa	0.316
o	ˈa_w	0.308
u	ˈo	0.294
a	a	0.289
œ	ˈo_w	0.273
ɛ̃	ˈi_n	0.263
ɛ̃	ˈa_n	0.263
ɛ̃	n	0.263
j	ˈɛ	0.263
y	-	0.25
ɛ	ˈɛ	0.233
ɛ	ˈa	0.233
o	ˈɔ_s	0.231
ɔ̃	ˈɔ_n	0.222
ɔ̃	-	0.222
t	t_e	0.214
a	j	0.211
œ	ˈo	0.182
ɑ̃	ˈa_ŋ	0.176
ɑ̃	ˈa	0.176
u	o	0.176
u	-	0.176
w	ˈo	0.174
j	d_l	0.158
t	s_t	0.143
e_#>	#>	0.143
#>	t_#>	0.138
w	-	0.13
s	ʨ	0.128
s	ʧ	0.128
i	j_ˈɛ	0.125
i	-	0.125
ɑ̃	n	0.118
ɑ̃	a_n	0.118
u	ˈo_w	0.118
u	ˈo_s	0.118
u	d_l	0.118
v	-	0.111
b	-	0.111
ɛ̃	ˈa	0.105
ɛ̃	ɲ	0.105
j	-	0.105
ʃ	ʥ	0.1
ʁ	e_r	0.098
i	ˈɛ	0.094
i	j	0.094
w	j	0.087
#>	e_#>	0.085
a	-	0.079
ʁ	r_t	0.078
v	ʒ_ɡ	0.074
ɛ	ˈɛ_ʃ	0.067
ɛ	j	0.067
ɛ	e	0.067
l	l_ˈɛ	0.062
l	-	0.062
a	ˈe	0.053
a	j_t	0.053
s	ʦ_a	0.051
s	s_e	0.051
s	-	0.051
