Danish	Middle English	probability
ˈɛː	ˈaː	1.0
ˈɛˀ	-	1.0
ˈɔː	ˈoː	1.0
ˈɒˀ	ˈɛː	1.0
ˈɑː	ˈaː	1.0
ˈɑ_jˀ	ˈæi̯	1.0
ˈœː	ˈɛ	1.0
ˈæˀ	-	1.0
ˈyː_w	ˈiː_ə	1.0
ˈyː	-	1.0
ˈy	ˈi	1.0
ˈoː	ˈɛi̯	1.0
ˈi	-	1.0
ˈeː	-	1.0
ˈe_n	ˈiː_n	1.0
ʨ	θ	1.0
ʦʰ	θ	1.0
ɕ	s	1.0
ɐˀ_n	r_n	1.0
ɐˀ	r	1.0
ŋˀ	ŋ_ɡ	1.0
ŋ	n_ɡ	1.0
wˀ	v_ə	1.0
s_ɡ̊	ʃ	1.0
mˀ	-	1.0
m	m	1.0
lˀ	ɫ	1.0
kʰ	k	1.0
i	iː	1.0
h	h	1.0
f	f	1.0
b̥_ə	p_ə	1.0
s	s	0.952
ʁ	r	0.884
b̥	b	0.879
n	n	0.837
ʋ	w	0.829
l	l	0.821
ˈuˀ	ˈuː	0.797
ˈu	ˈu	0.792
w	v	0.76
ˈiˀ	ˈiː	0.744
ˈø	ˈi	0.709
ˈeˀ	ˈɔː	0.678
ˈɑˀ	ˈa_r	0.667
ˈœˀ	ˈɛː	0.667
ˈɔ	ˈu	0.662
j	-	0.633
ˈuː	ˈuː	0.631
d̥	t	0.606
ɐ	r	0.574
ˈoˀ	ˈoː	0.536
ð̞ˠ	t	0.512
ˈøˀ	ˈɛː	0.511
ˈo	ˈɔ	0.509
ˈʌ	ˈu	0.504
ˈæ	ˈa	0.503
ˈøː	ˈɛː	0.5
ˈøː	ˈeː	0.5
ˈyˀ	ˈeː	0.5
ə	ə_n	0.492
ˈo	-	0.491
ˈɛ	ˈɛ	0.489
ˈøˀ	ˈeː	0.489
nˀ	n_d	0.483
ˈe	ˈi	0.442
ˈɑ	ˈɔː	0.431
ˈiː	ˈiː	0.429
ˈɔˀ	ˈɛː	0.402
ð̞ˠ	d	0.389
nˀ	n	0.372
ˈuː	-	0.369
j	h	0.367
ə	ə	0.366
ˈœ	ˈu	0.358
ˈɔ	ˈɔː	0.338
ˈe	ˈɛ	0.337
ˈɑˀ	-	0.333
ˈœˀ	-	0.333
ˈɑ	ˈa	0.323
ˈɛ	-	0.306
ˈɔˀ	ˈɔː	0.302
ˈø	-	0.291
ˈiː	ˈi	0.286
ˈiː	-	0.286
ɐ	ə_r	0.286
ˈœ	ˈeː	0.268
ˈʌ	ˈɔː	0.261
ˈoˀ	ˈuː	0.259
ˈiˀ	ˈi	0.256
ˈæ	-	0.25
ˈyˀ	ˈiː	0.25
ˈyˀ	-	0.25
d̥	ç_t	0.248
ˈɑ	ˈi	0.247
ˈæ	ˈɔː	0.247
w	x	0.24
ˈʌ	-	0.235
ɡ̊	ʤ	0.226
ˈe	ˈiː	0.22
ˈu	ˈuː	0.208
ˈɛ	ˈi	0.205
ˈoˀ	-	0.205
ˈuˀ	ˈiː	0.203
ˈɔˀ	-	0.201
ɡ̊	k	0.198
ˈœ	ˈi	0.19
ˈœ	-	0.185
ʋ	ʍ	0.171
n	n_ə	0.163
ɡ̊	j	0.16
d̥	x_t	0.146
nˀ	θ	0.145
ɐ	r_ə	0.14
ˈeˀ	ˈɔu̯	0.138
ˈeˀ	ˈi	0.138
ɡ̊	ə	0.124
b̥	p	0.121
ʁ	r_ˈeː	0.116
ɡ̊	ʧ	0.104
ɡ̊	ŋ_k	0.104
ð̞ˠ	t_ə	0.099
ˈɔˀ	ˈɛu̯	0.095
l	ɫ	0.095
ɡ̊	ç	0.084
l	-	0.083
ə	n	0.075
