Scots	Bavarian	probability
b	b̥	1.0
d	d̥	0.816
d	t	0.128
e	ŋ	1.0
f	f	0.875
f	b̥	0.072
h	h	1.0
i	-	0.425
i	i	0.24
i	eɐ̯	0.2
i	ɐ	0.135
j	-	0.347
j	ɡ̊	0.295
j	j	0.195
j	ˈe	0.164
k	x	0.543
k	k	0.159
k	ɡ̊	0.131
k	ç	0.068
k	kʰ	0.063
kʰ	kʰ	0.933
kʰ	-	0.067
l	l	0.676
l	j	0.3
m	m	1.0
n	n	0.879
n	-	0.07
n	ŋ	0.051
p	f	0.906
p	p͡f	0.094
pʰ	p͡f	1.0
r	r	0.461
r	ɐ	0.396
r	-	0.143
s	s	0.718
s	ʃ	0.282
t	s	0.557
t	t	0.213
t	ʦ	0.199
tʰ	ʦ	0.913
tʰ	b̥	0.087
v	b̥	0.463
v	f	0.371
v	m	0.166
w	ʋ	0.819
w	-	0.136
x	x	0.662
x	ɡ̊	0.338
z	s	0.918
z	n	0.082
ç	x	1.0
ð	d̥	0.899
ð	t	0.101
ŋ	ŋ	0.783
ŋ	i	0.217
ə	a	0.692
ə	-	0.294
ɡ	ɡ̊	0.924
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʍ	ʋ	1.0
ʤ	ɡ̊	1.0
ʧ	kʰ	0.894
ʧ	ç	0.106
ˈa	ˈɒː	0.356
ˈa	ˈe	0.292
ˈa	ˈa	0.102
ˈa	ˈɒ	0.073
ˈa	ˈɛ	0.073
ˈa	ˈoɐ̯	0.064
ˈaɪ̯	ˈiː	0.637
ˈaɪ̯	ˈai̯	0.363
ˈaː	ˈi	1.0
ˈaːɪ̯	ˈi	1.0
ˈe	ˈoɐ̯	0.6
ˈe	ˈaː	0.105
ˈe	ˈa	0.098
ˈeː	ˈoː	0.26
ˈeː	ˈa	0.226
ˈeː	ˈoɐ̯	0.115
ˈeː	ˈɛ	0.112
ˈeː	ŋ	0.073
ˈeː	ˈɒ	0.054
ˈeː	ˈeː	0.053
ˈi	ˈaː	0.101
ˈi	ˈi	0.099
ˈi	ˈɛ	0.096
ˈi	ˈiɐ̯	0.093
ˈi	ˈeː	0.08
ˈi	ˈuɐ̯	0.079
ˈi	-	0.061
ˈi	ˈou̯	0.06
ˈi	ˈu	0.06
ˈiː	ˈiɐ̯	0.171
ˈiː	ˈai̯	0.143
ˈiː	ˈɒː	0.132
ˈiː	ˈeː	0.105
ˈiː	ˈe	0.085
ˈiː	ˈaː	0.075
ˈiː	ˈi	0.071
ˈiː	ˈɛː	0.062
ˈo	ˈoɐ̯	0.553
ˈo	ˈi	0.154
ˈo	ˈɔ	0.114
ˈo	ˈo	0.105
ˈo	ˈu	0.075
ˈoː	ˈu	1.0
ˈu	ˈau̯	0.402
ˈu	ʋ	0.295
ˈu	ˈaː	0.183
ˈu	ˈoː	0.071
ˈuː	ˈai̯	0.415
ˈuː	ˈau̯	0.247
ˈuː	ˈu	0.169
ˈuː	ˈuɐ̯	0.169
ˈø	ˈuɐ̯	0.309
ˈø	ˈɔ	0.271
ˈø	ˈeɐ̯	0.162
ˈø	ˈa	0.104
ˈø	ˈiɐ̯	0.104
ˈøː	ˈuɐ̯	1.0
ˈɑː	ˈo	0.516
ˈɑː	ˈɔ	0.239
ˈɑː	ˈa	0.138
ˈɑː	ˈɛː	0.086
ˈəi̯	ˈai̯	0.9
ˈəi̯	ˈoɐ̯	0.058
ˈɛ	ˈe	0.32
ˈɛ	ˈɛ	0.131
ˈɛ	ˈeː	0.088
ˈɛ	ˈai̯	0.086
ˈɛ	ˈeɐ̯	0.067
ˈɛ	ˈo	0.057
ˈɛː	ˈeː	1.0
ˈɪ	ˈi	0.439
ˈɪ	ˈu	0.118
ˈɪ	-	0.081
ˈɪ	ˈuɐ̯	0.063
ˈɪ	ˈɛ	0.058
ˈɪ	ˈʏ	0.053
ˈʌ	ˈu	0.527
ˈʌ	ˈo	0.195
ˈʌ	ˈoː	0.166
ˈʌ	ˈɛ	0.091
ˈʌu̯	ˈo	0.523
ˈʌu̯	ˈy	0.279
ˈʌu̯	ˈi	0.198
θ	d̥	0.825
θ	t	0.145
