Mainland North Frisian	East Frisian Low Saxon	probability
ˈɒː_d	ˈɒː_t	1.0
ˈɒː	-	1.0
ˈɒ_n	n	1.0
ˈœi̯	ˈɑʊ̯	1.0
ˈœ_tʲ	ˈyːʏ̯	1.0
ˈu	-	1.0
ˈaː	-	1.0
ˈa_ʀ	ɐ	1.0
ʃ	s_k	1.0
ʀ_s	s	1.0
ɡ	ɡ	1.0
ɛi̯	ɑɪ̯	1.0
ə_ʀ	ɐ	1.0
ŋ	ŋ	1.0
ç	ɣ̊	1.0
z̥	d̥	1.0
z	t	1.0
x	χ	1.0
w	ɡ	1.0
v_ə	m	1.0
tʲ	t	1.0
p	p	1.0
n_ə	n	1.0
n_t	n_t	1.0
m	m	1.0
lʲ	l	1.0
j_ə	ɡ	1.0
i	-	1.0
h	h	1.0
d̥	d̥	1.0
dʲ	d̥	1.0
d_ə	ɡ_n	1.0
l	l	0.98
n	n	0.951
k	k	0.941
b	b	0.9
f	f	0.889
d	d	0.847
v	v	0.783
t	t	0.781
v̥	v̥	0.725
ˈɔ	ˈoː	0.667
nʲ	n	0.667
ˈai̯	ˈɪ	0.642
ˈiː	ˈæɪ̯	0.619
ˈa	-	0.601
ˈɛː	-	0.591
ˈœː	-	0.579
ˈeː	-	0.573
ə	n	0.564
ʀ	ɐ	0.535
s	z	0.521
ˈyː	-	0.518
ˈɒ	ˈɑːɑ̯	0.492
ˈyː	ˈoː	0.482
s	s	0.479
ˈɛi̯	ˈɒː	0.464
ˈɛ	-	0.447
ə	-	0.436
ˈœː	ˈuː	0.421
ˈɛː	ˈeː	0.409
ˈuː	ˈoː	0.385
ˈɔː	-	0.379
ˈɔu̯	-	0.374
ˈi	ˈɪ	0.368
j	ɡ	0.36
ˈai̯	ˈɛːɪ̯	0.358
ˈʏ	ˈuː	0.356
ˈɔu̯	ˈɒː	0.351
ˈœ	ˈɑ	0.341
ʀ	r	0.341
ˈi	ˈiː	0.338
ˈɔ	ˈøː	0.333
nʲ	n_d̥	0.333
ˈɒ	-	0.328
ˈuː	-	0.327
ˈɛi̯	ˈœy̯	0.324
ˈʊ	ˈʊ	0.321
ˈœ	-	0.312
ˈɔː	ˈøː	0.307
ˈɔu̯	ˈoː_v	0.275
v̥	f	0.275
ˈʊ	-	0.273
ˈa	ˈɪ	0.247
j	ˈeː	0.246
ˈʏ	ˈʏ	0.233
ˈʏ	ˈʊ	0.233
ˈœ	ˈɑʊ̯	0.223
t	d	0.219
ˈeː	ˈɑ	0.218
ˈɛi̯	ɣ̊	0.212
ˈeː	ˈʏ	0.209
ˈi	-	0.2
j	j	0.191
ˈɔː	n	0.186
ˈɛ	ˈɑʊ̯	0.185
ˈɛ	ˈiː	0.185
ˈɒ	ˈɑ	0.18
ˈʏ	-	0.178
ˈuː	ˈoːo̯	0.17
ˈa	ˈɑː	0.153
d	-	0.153
v	w	0.149
ˈʊ	ˈɪ	0.138
ˈɔː	ˈɔ	0.129
ˈuː	ˈɑ	0.118
ˈiː	ˈøː	0.112
f	-	0.111
ˈʊ	ˈɑ	0.105
j	-	0.104
b	-	0.1
j	l	0.099
ˈɛ	ˈɒːɒ̯	0.091
ˈɛ	ˈøy̯	0.091
ˈœ	ˈɔ	0.086
ˈiː	ˈɛːɪ̯	0.086
ˈʊ	ˈʊə̯	0.081
ˈʊ	ˈɛ	0.081
ˈiː	ˈɑɪ̯	0.08
ʀ	ˈɑː_ɐ	0.07
v	-	0.067
ˈi	ˈɪə̯	0.064
k	-	0.059
ʀ	ˈɔː_ɐ	0.053
ˈiː	ˈæːɪ̯	0.051
ˈiː	-	0.051
