Westphalian	Pennsylvania German	probability
aɪ̯	eː	1.0
b	b	0.919
b	v	0.061
d	d	0.63
d	t	0.359
f	f	0.97
h	h	1.0
j	j	1.0
k	kʰ	0.346
k	ç	0.258
k	x	0.177
k	k	0.172
l	l	1.0
m	m	0.952
n	n	0.601
n	ə	0.398
p	f	0.765
p	p	0.181
p	pʰ	0.055
r	ɾ	0.962
s	s	0.728
s	ʃ	0.213
s	n_s	0.059
t	s	0.375
t	t	0.319
t	ʦ	0.271
v	ʋ	0.61
v	v	0.267
v	p	0.068
x	ɡ	0.64
x	x	0.304
x	k	0.056
z	s	0.616
z	ɾ	0.384
ç	ç	0.699
ç	k	0.231
ç	-	0.07
ŋ	ŋ	0.842
ŋ	j	0.158
ɐ	ɑ	0.863
ɐ	ɾ	0.063
ɐ	-	0.061
ə	ə	1.0
ɡ	ɡ	0.34
ɡ	ɣ	0.307
ɡ	-	0.206
ɡ	k	0.147
ɣ	-	0.943
ɣ	k	0.057
ɪ	ɪ	1.0
ʃ	ʃ	1.0
ʋ	ʋ	0.716
ʋ	p	0.206
ʋ	-	0.078
ˈa	ˈa	0.731
ˈa	ˈɔː	0.095
ˈa	ˈaː	0.091
ˈa	ˈʊ	0.055
ˈaɪ̯	ˈiː	0.535
ˈaɪ̯	ˈeː	0.172
ˈaɪ̯	ˈɔː	0.142
ˈaɪ̯	ˈaɪ̯	0.076
ˈaʊ̯	ˈɔː	0.423
ˈaʊ̯	ˈoː	0.38
ˈaʊ̯	ˈuː	0.072
ˈaʊ̯	ˈa	0.062
ˈaʊ̯	ˈaʊ̯	0.062
ˈaː	ˈɔː	0.617
ˈaː	ˈa	0.383
ˈeː	ˈeː	0.915
ˈeː	ˈiː	0.085
ˈiɛ̯	ˈɔ	0.434
ˈiɛ̯	ˈɛ	0.258
ˈiɛ̯	ˈiː	0.246
ˈiɛ̯	ˈaɪ̯	0.062
ˈiː	ˈaɪ̯	0.781
ˈiː	ˈɪ	0.185
ˈoː	ˈuː	0.666
ˈoː	ˈʊ	0.294
ˈuə̯	ˈʊ	0.642
ˈuə̯	ˈuː	0.221
ˈuə̯	ˈɔ	0.136
ˈuː	ˈaʊ̯	0.811
ˈuː	ˈʊ	0.122
ˈuːə̯	ˈaː	0.446
ˈuːə̯	ˈoː	0.276
ˈuːə̯	ˈɔ	0.185
ˈuːə̯	ˈʊ	0.092
ˈyə̯	ˈɛ	1.0
ˈyː	ˈaɪ̯	0.804
ˈyː	ɑ	0.12
ˈyː	ˈʊ	0.076
ˈyːœ̯	ˈɪ	1.0
ˈø	ˈaɪ̯	0.835
ˈø	ˈɛ	0.165
ˈøː	ˈiː	0.548
ˈøː	ˈuː	0.219
ˈøː	ˈeː	0.197
ˈœː	ˈeː	0.474
ˈœː	ˈa	0.346
ˈœː	ˈɛː	0.18
ˈɒː	ˈɔː	1.0
ˈɔ	ˈa	0.523
ˈɔ	ˈɔ	0.226
ˈɔ	ˈɔː	0.126
ˈɔ	ˈʊ	0.126
ˈɔː	ˈoː	0.498
ˈɔː	ˈɔː	0.364
ˈɔː	ˈeː	0.101
ˈɛ	ˈɛ	0.556
ˈɛ	ˈɪ	0.229
ˈɛ	ˈa	0.134
ˈɛː	ˈɛː	0.718
ˈɛː	ˈɛ	0.199
ˈɛː	ˈaː	0.082
ˈɪ	ˈɪ	0.772
ˈɪ	ˈa	0.106
ˈɪ	ˈaɪ̯	0.094
ˈɪə̯	ˈɪ	0.459
ˈɪə̯	ˈaɪ̯	0.197
ˈɪə̯	ˈɔː	0.172
ˈɪə̯	ˈɛ	0.172
ˈɪɛ̯	ˈɛ	0.559
ˈɪɛ̯	ˈɛː	0.203
ˈɪɛ̯	ˈeː	0.159
ˈɪɛ̯	ˈɪ	0.079
ˈʊ	ˈʊ	0.758
ˈʊ	ˈaʊ̯	0.152
ˈʊ	ˈɔ	0.09
ˈʏ	ˈɪ	0.742
ˈʏ	ʋ	0.132
ˈʏ	ˈɔ	0.126
