Ukrainian	Belarusian	probability
ˈɔ	ˈo	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧ	ʧ	1.0
ʦʲ	ʦ	1.0
ʦ	ʦ	1.0
ʍ	w	1.0
ʊ	u	1.0
ɪ	ɨ	1.0
ɔ_tʲ	a_ʦʲ	1.0
zʲ	zʲ	1.0
w_#>	w_#>	1.0
w	v	1.0
tʲ	ʦʲ	1.0
t_e	ʦʲ	1.0
sʲ	sʲ	1.0
rʲ_i	r_a	1.0
rʲ	r	1.0
r	r	1.0
pʲ	pʲ	1.0
nʲ_ˈi	n_ˈo	1.0
nʲ	nʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
lʲ	lʲ	1.0
kʲ_ˈi	k_ˈo	1.0
k_e	kʲ	1.0
j_ˈɑ	ˈæ	1.0
j_ɐ	æ	1.0
j_#>	#>	1.0
d_#>	t_#>	1.0
k	k	0.895
ɔ	a	0.889
e_j	ɨ	0.846
ɫ	ɫ	0.818
ˈɑ	ˈa	0.789
ʋʲ	vʲ	0.778
s	s	0.778
x	x	0.75
ɦ	ɣ	0.733
ɐ	a	0.727
t	t	0.714
m	m	0.692
d	d	0.647
ˈɛ	ˈe	0.636
z	z	0.625
p	p	0.625
ˈi	ˈe	0.615
j	i	0.6
b	p	0.571
ʒ	ʐ	0.5
ʒ	ʂ	0.5
ˈɪ	ˈɨ	0.474
ɛ	a	0.444
ʋ	v	0.429
i	e	0.429
b	b	0.429
ˈɪ	ˈi	0.421
j	j	0.4
z	zʲ	0.375
p	pʲ	0.375
ˈɛ	ˈɵ	0.364
ʋ	vʲ	0.357
d	ʣʲ	0.353
ɛ	æ	0.333
m	mʲ	0.308
t	ʦʲ	0.286
i	æ	0.286
i	i	0.286
ɐ	æ	0.273
ˈi	ˈo	0.269
ɦ	x	0.267
x	xʲ	0.25
ʋʲ	v	0.222
ɛ	e	0.222
s	sʲ	0.222
ʋ	w	0.214
ˈɑ	ˈæ	0.211
ɫ	lʲ	0.182
e_j	i	0.154
ˈi	ˈɛ	0.115
ɔ	ʌ	0.111
ˈɪ	-	0.105
k	kʲ	0.105
