East Low German	Saterland Frisian	probability
#>	#>	0.745
#>	ə_#>	0.235
<#	<#	1.0
<#_d	<#	1.0
b	b	0.906
b	v	0.058
d	d	0.729
d	t	0.24
f	f	0.873
f	x	0.091
h	h	1.0
j	j	0.784
j	ɣ	0.206
k	k	0.641
k	k_ə	0.268
k	-	0.089
kʰ	k	0.648
kʰ	s	0.323
l	l	0.983
m	m	0.801
m	-	0.106
m	ə_n	0.065
n	n	0.753
n	-	0.213
p	p	0.974
r	r	1.0
s	s	0.768
s	z	0.143
s	k_s	0.081
t	t	0.71
t	d	0.283
t_n	t	1.0
tʰ	t	1.0
v	v	0.946
v	-	0.058
w	v	0.683
w	w	0.229
x	x	0.813
x	ɣ	0.085
x	-	0.083
z	s	0.922
z	z	0.078
æ	r	0.616
æ	ə_r	0.261
æ	d_ə	0.076
ç	x	0.756
ç	ɣ	0.144
ç	k	0.095
ç_#>	#>	1.0
ŋ	ŋ	0.78
ŋ	ɣ	0.148
ŋ	n	0.069
ɡ	ɣ	0.784
ɡ	ɡ	0.106
ɡ	-	0.094
ɣ	ɣ	1.0
ɪ	ɪ	0.733
ɪ	ə	0.265
ɾ	d_ə	0.608
ɾ	ə	0.269
ɾ_æ	r	0.508
ʃ	s	0.525
ʃ	s_k	0.471
ˈa	ˈɔː	0.229
ˈa	ˈoːu̯	0.162
ˈa	ˈaː	0.133
ˈa	ˈɔ	0.113
ˈa	ˈɛː	0.091
ˈa	ˈa	0.079
ˈa	ˈoː	0.052
ˈa	ˈuː	0.052
ˈae̯	ˈeː	0.29
ˈae̯	j_ˈoː	0.213
ˈae̯	ˈɛɪ̯	0.137
ˈae̯	ˈaː	0.091
ˈae̯	ˈiː	0.06
ˈae̯	a	0.055
ˈae̯	ˈɔːɪ̯	0.052
ˈaɪ̯	j	0.508
ˈaʊ̯	ˈoː	0.597
ˈaʊ̯	ˈoːu̯	0.335
ˈaʊ̯	ˈu	0.059
ˈaʊ̯_ɾ	ˈuː	1.0
ˈaː	ˈɛː_r	0.253
ˈaː	ˈiː_r	0.195
ˈaː	ˈɛ	0.148
ˈaː	ˈoː	0.099
ˈaː	-	0.069
ˈaː	ˈaː	0.069
ˈeː	ˈeː	1.0
ˈiː	ˈi	0.436
ˈiː	ˈiː	0.238
ˈiː	ˈɛɪ̯	0.201
ˈiː	ˈɛː	0.067
ˈiː	ˈaːu̯	0.05
ˈoː	ˈiː	0.334
ˈoː	ˈoː	0.253
ˈoː	ˈʊ	0.17
ˈoː	ˈɔː	0.16
ˈuː	ˈuː	0.644
ˈuː	ˈoː	0.112
ˈuː	ˈoːu̯	0.099
ˈuː	ˈɔː	0.068
ˈuː	ˈɛɪ̯	0.066
ˈuː_æ	ˈoːu̯	1.0
ˈyː	j_ˈuː	0.354
ˈyː	ˈeː	0.268
ˈyː	ˈu	0.17
ˈyː	ˈyː	0.114
ˈøː	ˈuː	0.5
ˈøː	ˈœː	0.5
ˈœ	ˈeː	0.699
ˈœ	ˈɛ	0.092
ˈœ	ˈaːu̯	0.053
ˈœː	ˈuː	0.5
ˈœː	ˈoː	0.192
ˈœː	ˈɔ	0.192
ˈɒː	ˈɔː	0.354
ˈɒː	ˈoː	0.184
ˈɒː	ˈɛɪ̯	0.184
ˈɒː	ˈaːi̯	0.074
ˈɒː	ˈuː	0.074
ˈɒː	ˈoːu̯	0.06
ˈɒː	ˈɛ	0.059
ˈɔ	ˈɔ	0.211
ˈɔ	ˈɔː	0.192
ˈɔ	ˈoːu̯	0.167
ˈɔ	ˈuː	0.127
ˈɔ	ˈoː	0.092
ˈɔ	ˈʊ	0.092
ˈɔʏ̯	ˈɛɪ̯	0.639
ˈɔʏ̯	ˈeː	0.359
ˈɛ	ˈa	0.186
ˈɛ	ˈɔː	0.186
ˈɛ	ˈeː	0.122
ˈɛ	ˈɪ	0.122
ˈɛ	ˈʊ	0.094
ˈɛ	ˈi	0.092
ˈɛ	ˈɛ	0.092
ˈɛ	ˈaːi̯	0.073
ˈɛɪ̯	ˈiː	1.0
ˈɛː	ˈeː	0.324
ˈɛː	j	0.186
ˈɛː	ˈeːu̯	0.186
ˈɛː	ˈoː	0.186
ˈɛː	ˈi	0.091
ˈɪ	ˈɪ	0.489
ˈɪ	ˈiː	0.142
ˈɪ	ˈi	0.118
ˈɪ	j_ˈʊ	0.08
ˈɪ	ˈɛ	0.059
ˈɪ	ˈʊ	0.053
ˈɪ	ˈɔː	0.052
ˈʊ	ˈʊ	0.585
ˈʊ	ˈuː	0.181
ˈʊ	ˈu	0.11
ˈʊ	ˈɔ	0.11
ˈʏ	ˈɛː	0.484
ˈʏ	ˈyː	0.206
ˈʏ	ˈɔ	0.13
ˈʏ	ˈʊ	0.13
