Danish	West Frisian	probability
b̥	b	0.763
b̥	p	0.229
d̥	d	1.0
e	ɪ	0.33
e	ə	0.33
f	f	0.977
f	k	0.04
h	h	1.0
i	ə	0.379
i	ɪ	0.19
j	-	0.389
j	k	0.241
j	χ	0.103
j	ˈiə̯	0.078
j	ˈɛ	0.068
jˀ	ˈɛi̯	1.0
k	k	0.932
k	-	0.069
kʰ	k	0.879
kʰ	ʦ	0.109
l	l	1.0
lˀ	l	0.548
lˀ	t	0.281
lˀ	ˈɔː	0.104
lˀ	ˈuə̯	0.044
m	m	0.807
m	r_m	0.142
m	n	0.053
mˀ	m	0.629
mˀ	f	0.361
n	n	0.979
n	-	0.033
nˀ	n	0.861
nˀ	l	0.087
nˀ	r	0.052
p	p	1.0
pʰ	p	0.501
s	s	0.886
s	z	0.044
s	ɕ	0.037
t	t	0.603
t	χ	0.327
t	-	0.067
v	-	0.683
v	ʋ	0.225
w	ə	0.381
w	χ	0.235
w	-	0.204
w	f	0.087
w	ˈɪə̯	0.066
wˀ	-	0.33
wˀ	m	0.165
ð̞ˠ	t	0.822
ð̞ˠ	d	0.107
ð̞ˠ	-	0.065
ŋ	ŋ	0.833
ŋ	χ	0.139
ŋˀ	ŋ	1.0
ɐ	r	0.781
ɐ	-	0.125
ɐ	ə	0.082
ɐ_n	r	1.0
ɐˀ	r	0.796
ɐˀ	ˈø	0.096
ɐˀ	-	0.064
ə	ə	0.687
ə	-	0.313
ɡ̊	ɡ	0.668
ɡ̊	χ	0.156
ɡ̊	ɣ	0.156
ʁ	r	0.795
ʁ	-	0.199
ʋ	v	0.556
ʋ	ʋ	0.403
ʋ	-	0.047
ʦʰ	t	0.599
ʦʰ	d	0.187
ʦʰ	ʦ	0.097
ʦʰ	t_v	0.091
ʨ	t	0.125
ˈa	ˈa	0.331
ˈa	ˈɛː	0.185
ˈa	ˈɛ	0.141
ˈa	ˈɔː	0.109
ˈa	ˈiː	0.107
ˈaː	ˈaː	0.501
ˈe	ˈɪ	0.608
