Faroese	Gothic	probability
a	a_n	0.515
a	oː	0.264
a	-	0.061
a	a	0.061
a	aː	0.04
b̥	b	1.0
d̥	d	0.8
d̥	t	0.113
d̥	-	0.085
d̥_ʊ	d	1.0
f	f	0.908
f	h	0.089
h	h	1.0
j	ˈɛ	0.331
j	-	0.21
j	ɣ	0.13
j	j	0.103
j	ð	0.079
k	k	0.752
k	h	0.103
k	ɡ	0.077
kʰ	k	0.47
kʰ	kʷ	0.279
kʰ	ʍ	0.243
l	l	0.851
l	h_l	0.094
l	n	0.054
l_ʊ	l	1.0
l̥	l	0.684
l̥	lː	0.291
l̥_ʊ	lː	0.509
m	m	1.0
n	n	0.957
n	-	0.048
nː	n	0.406
nː	n_θ	0.353
nː	nː	0.169
n̥	n	0.715
n̥	-	0.154
n̥	oː	0.112
p	p	1.0
r	ˈi	0.259
s	s	0.975
s	z	0.043
t	t	0.568
t	r	0.143
t	t_s	0.121
t	-	0.092
t	θ	0.06
tʰ	t	0.596
tʰ	θ	0.401
tː	β	0.259
v	w	0.395
v	-	0.188
v	f	0.146
v	β	0.135
v	p	0.053
v_ʊ	f	0.57
v_ʊ	s	0.389
w	θ	0.533
w	oː	0.276
w	x	0.141
ŋ	ŋ	0.653
ŋ	h	0.316
ə	i	1.0
ɡ̊	ɡ	0.611
ɡ̊	-	0.251
ɡ̊	d	0.081
ɡ̊	ɡːʷ	0.057
ɡ̊_ʊ	ɡ	1.0
ɪ	a	0.587
ɪ	-	0.149
ɪ	i	0.149
ɪ	u	0.094
ɲ	ŋ	0.132
ɹ	-	0.644
ɹ	r	0.338
ʃ	s	0.549
ʃ	m	0.18
ʃ	s_k	0.17
ʈ	t	1.0
ʊ	-	0.655
ʊ	u	0.183
ʊ	iː	0.086
ʊ	a	0.041
ʊ	i	0.039
ʤ̊	-	0.307
ʤ̊	d	0.209
ʤ̊	ɡ	0.12
ʤ̊	h	0.12
ʤ̊	ʍ	0.09
ʧʰ	θ	0.509
ʧː	n	1.0
ʰkː	k	0.259
ʰp	p	0.509
ʰt	t	0.629
ʰt	-	0.361
ʰtː	h_t	1.0
ˈa	ˈa	0.885
ˈa	-	0.064
ˈa	j	0.061
ˈai̯	ˈɛː	1.0
ˈaːi̯	ˈɛː	1.0
ˈeə̯	ˈa	1.0
ˈeː	ˈi	0.384
ˈeː	ˈi_k	0.334
ˈeː	ˈa	0.1
ˈeː	ˈeː	0.1
ˈiː	ˈi	0.752
ˈiː	ˈu	0.242
ˈoː	ˈeː	0.5
ˈoː	ˈi	0.5
ˈuː	ˈu	0.509
ˈøː	ˈɛ	0.509
ˈœ	ˈa	0.249
ˈœ	ˈɔː	0.189
ˈœ	ˈu	0.189
ˈœ	ˈoː	0.132
ˈœ	-	0.089
ˈœ_t	r	1.0
ˈɔ	ˈa	0.326
ˈɔ	ˈɔ	0.247
ˈɔ	ˈu	0.228
ˈɔ	ˈɔː	0.09
ˈɔ	ˈeː	0.088
ˈɔːi̯	ˈɔː	1.0
ˈɔːu̯	ˈoː	0.743
ˈɔːu̯	ˈiu̯	0.246
ˈɔ̯aː	ˈeː	0.391
ˈɔ̯aː	ˈa	0.352
ˈɔ̯aː	ˈɔː	0.233
ˈɛ	ˈa	0.511
ˈɛ	ˈi	0.177
ˈɛ	ˈɛː	0.134
ˈɛ	ˈoː	0.09
ˈɛ	ˈɛ	0.07
ˈɛːa̯	ˈa	0.612
ˈɛːa̯	ˈiu̯	0.154
ˈɛːa̯	ˈɛ	0.112
ˈɛːa̯	ˈiː	0.086
ˈɛːi̯	ˈɔː	0.621
ˈɛːi̯	ˈɔ	0.173
ˈɛːi̯	ˈɛː	0.137
ˈɪ	ˈi	0.863
ˈɪ	ˈiː	0.134
ˈʉːu̯	ˈuː	0.78
ˈʉːu̯	ˈiu̯	0.219
ˈʊ	ˈu	0.566
ˈʊ	ˈiu̯	0.171
ˈʊ	ˈɛ	0.171
ˈʊ	ˈuː	0.079
ˈʊ_t	ˈu	1.0
ˈʊ̯iː	ˈiː	0.678
ˈʊ̯iː	ˈiu̯	0.158
ˈʊ̯iː	ˈoː	0.158
ˈʏ	ˈu	1.0
