Ladin	Western Lombard	probability
b	b	1.0
f	f	1.0
p	p	1.0
s	s	1.0
v	ʋ	1.0
ɲ	ɲ	1.0
ʃ	s	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ˈi	ˈi	1.0
ˈɔ	ˈɔ	1.0
j	j	0.71
m	m	0.961
n	n	0.981
a	-	0.072
d	d	0.902
l	-	0.12
e	-	0.173
k	k	0.963
l	l	0.813
o	u	0.873
w	-	0.413
ʒ	ʤ	0.93
ˈo	ˈyː	0.133
ˈu	ˈyː	0.073
ʨ	-	0.054
ˈa	ˈa	0.964
ˈe	ˈa	0.4
ˈɛ	ˈe	0.054
t	t	0.775
ɡ	-	0.075
ɡ	ɡ	0.925
ˈe	-	0.085
ˈe	ˈe	0.515
ˈɛ	ˈaː	0.065
ˈɛ	ˈa	0.205
l	j	0.066
r	r	0.976
e	e	0.827
o	-	0.127
w	ˈɔ	0.587
ʒ	z	0.07
ʨ	ʧ	0.107
ˈo	ˈu	0.867
ˈu	ˈy	0.927
ˈɛ	-	0.097
a	a	0.928
d	-	0.098
t	ʧ	0.148
ʨ	k	0.838
j	-	0.29
ˈɛ	ˈɛ	0.579
