Aragonese	Sassarese	probability
ˈe_w	β_i	1.0
ˈe_s	ɬ	1.0
ˈe_r	rː	1.0
ˈa_t	ˈa_i	1.0
ɾ_ˈe	r_ˈɛ	1.0
ɾ_n	rː	1.0
ɾ_k	xː	1.0
ɾ_e	u	1.0
ɾ_a	r_a	1.0
ɲ	ɲː	1.0
z	z	1.0
t_ˈa	t_ˈa	1.0
s_p	pː	1.0
p_ˈo	p_ˈɔ	1.0
p	p	1.0
o_s	i	1.0
o_l	u_r	1.0
m_b	mː	1.0
l_o	r_u	1.0
k_l	ʧ	1.0
j_t	tː	1.0
d	d	1.0
ˈa	ˈa	0.969
f	f	0.962
o	u	0.958
a	a	0.951
n	n	0.916
ˈi	ˈi	0.914
k	k	0.869
m	m	0.808
ŋ	ŋ	0.793
w_ˈe	ˈɔ	0.761
ɾ	r	0.756
ˈu	ˈu	0.747
ʧ	ʤ	0.722
ˈo	ˈo	0.682
j_ˈe	ˈɛ	0.668
i	i	0.66
ð	dː	0.626
ʃ	ʃː	0.616
θ	ʦ	0.605
e	i	0.585
ɡ	-	0.562
s_k	xː	0.539
b	v	0.532
ʝ	d	0.499
β	β	0.477
b	b	0.468
ˈe_ɾ	j	0.467
s_k	x	0.461
u	u	0.443
ɡ	ɡ	0.438
t	t	0.437
ɣ	ɡː	0.433
ɣ	ɡ	0.411
ʃ	sː	0.384
ð	d	0.374
ʝ	-	0.363
w	ˈɔ	0.346
i	ˈi	0.34
j_ˈe	ˈe	0.332
u	-	0.328
j	ˈe	0.318
ˈe	ˈɛ	0.315
l	r	0.312
ˈe	ˈe	0.299
θ	ʦː	0.297
ʎ	ʎː	0.286
ʎ	dː	0.285
ˈe_ɾ	ˈe	0.28
ʧ	-	0.278
t	tː	0.276
l	j	0.275
s	ɬ	0.257
ˈe_ɾ	ˈi	0.254
w	-	0.246
ʎ	ʧː	0.245
w_ˈe	ˈo	0.239
w	w	0.237
u	o	0.229
j	-	0.214
s	z	0.213
ŋ	-	0.207
ˈo	ˈɔ	0.194
m	mː	0.192
t	ɬ_t	0.188
ʎ	-	0.184
j	ˈɛ	0.181
ˈe	i	0.177
l	-	0.177
e	a	0.174
w	ˈo	0.172
s	-	0.17
ˈu	ˈo	0.169
β	bː	0.164
β	-	0.162
s	j	0.158
e	u	0.158
ɣ	-	0.156
j	j	0.148
ʝ	ʣ	0.138
s	sː	0.13
ˈo	ˈu	0.124
β	a	0.112
ˈe	-	0.11
l	lː	0.11
t	dː	0.099
θ	-	0.098
ˈe	ˈi	0.098
k	kː	0.091
ˈi	-	0.086
β	p	0.085
ˈu	ˈɔ	0.084
l	i	0.083
e	-	0.083
ɾ	a_r	0.08
ɾ	-	0.075
j	tː_i	0.074
s	i	0.071
j	i	0.066
n	-	0.064
ɾ	j	0.051
