Bellunese	Bellunese	probability
ˈu_r	ˈu_ɾ	1.0
ˈu	ˈu	1.0
ˈa	ˈa	1.0
ʧ_o	j_u	1.0
ʧ	k_ɾ	1.0
ʤ	ɡ_ɾ	1.0
ŋ_k	m	1.0
ŋ_#>	n_ɛ_#>	1.0
ð_e	b_e	1.0
v_o	u	1.0
v_e	ɛ	1.0
u	-	1.0
t_#>	t_ɛ_#>	1.0
r_o	ɾ_u	1.0
r_#>	ɾ_ɛ_#>	1.0
p	p	1.0
o_l	u_ɾ	1.0
m	m	1.0
j_ˈe	ˈɛ	1.0
j_ˈa	ɾ_ˈa	1.0
d_e	i	1.0
b	b	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈe	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	a	0.938
ˈi	ˈi	0.909
k	k	0.906
f	f	0.905
t	t	0.867
s	s	0.829
i	i	0.75
<#	<#_i	0.727
r	ɾ	0.718
θ	k	0.714
n	n	0.654
ŋ	n	0.652
#>	u_#>	0.651
l	l	0.636
ˈɔ	ˈɔ	0.615
d	d	0.6
ˈɛ	ˈe	0.591
z	ɣ	0.571
w	-	0.571
v	b	0.565
ɲ	ɲ	0.5
ɲ	-	0.5
ð	ʣ	0.5
ð	-	0.5
j	ʣ_u	0.5
j	ɾ	0.5
o	u	0.485
ɡ	ɣ	0.474
ˈe	ˈi	0.469
ˈo	ˈɔ	0.432
z	j	0.429
w	b	0.429
ˈɛ	ˈɛ	0.409
e	ɛ	0.379
ˈe	ˈɛ	0.344
v	-	0.304
ˈo	ˈu	0.297
θ	ʦ	0.286
e	i	0.276
l	ɖː	0.273
<#	<#_a	0.273
ˈo	ˈo	0.27
#>	ɛ_#>	0.254
i	-	0.25
d	ð	0.25
ˈɔ	ˈu	0.231
ŋ	m	0.217
ɡ	ɡ	0.211
ɡ	b	0.211
ˈe	ˈe	0.188
o	-	0.182
e	e	0.172
ˈɔ	ˈo	0.154
n	nː	0.154
o	ɔ	0.152
d	-	0.15
t	ð	0.133
ŋ	ŋ	0.13
v	β	0.13
o	ɛ	0.121
n	-	0.115
ɡ	-	0.105
r	r	0.103
f	-	0.095
k	-	0.094
ˈi	-	0.091
l	s	0.091
s	u	0.086
r	-	0.077
n	n_a	0.077
e	k_ɛ	0.069
e	-	0.069
a	-	0.062
o	u_z	0.061
s	s_k	0.057
r	ɛ_ɾ	0.051
r	ɛ	0.051
