Italian	Italian	probability
ˈɔ_r	ˈɔ_ɾ	1.0
ˈɔ_kː	ˈu_k	1.0
ˈi_r	ˈi_ɾ	1.0
ˈe_r	ɛ_ɾ	1.0
ˈa_d	ˈa_t	1.0
ˈa	ˈa	1.0
ʧː	-	1.0
ʧ_ˈɛ	k_ˈe	1.0
ʧ	k	1.0
ʦː	t	1.0
ʦ	ʦ	1.0
ʣː	z	1.0
ʎː	ʣ	1.0
ʃː	s_k	1.0
ɡ_ˈo	ɣ_ˈɔ	1.0
z	z	1.0
u	-	1.0
tː	t	1.0
t_ˈa	t_ˈa	1.0
sː	s	1.0
s_e	s_ˈɛ	1.0
rː	r	1.0
r_ˈe	ɾ_ˈɛ	1.0
r_o	ɾ_u	1.0
r_n	r	1.0
p_e	p_ɛ	1.0
p	p	1.0
o_r	o_ɾ	1.0
nː	nː	1.0
mː	m	1.0
m_e	m_a	1.0
m	m	1.0
l_ˈe	l_ˈi	1.0
l_e	l_ɛ	1.0
l_a	l_a	1.0
kː_j	k_ɾ	1.0
kː	k	1.0
j_ˈɛ	ˈɛ	1.0
j_ˈa	ɾ_ˈa	1.0
j_#>	j_z_ɔ̆_#>	1.0
i_#>	#>	1.0
fː	-	1.0
f	f	1.0
dː	ɣ_i	1.0
bː	β	1.0
a_t	a_t	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʣ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
a	a	0.961
t	t	0.903
#>	ɛ_#>	0.889
b	b	0.87
o	u	0.862
n	n	0.86
k	k	0.86
ˈu	ˈu	0.852
r	ɾ	0.818
e	ɛ	0.795
l	l	0.789
w	-	0.778
ʤ	ɡ	0.75
s	s	0.75
i	i	0.737
j	ɾ	0.733
ˈi	ˈi	0.727
v	b	0.645
lː	ɖː	0.636
w_ˈɔ	ˈo	0.6
<#_ˈɔ	<#_ˈɔ	0.6
ɲː	n_ʣ	0.571
ŋ	m	0.571
ˈe	ˈi	0.565
ˈɛ	ˈe	0.559
ʤː	ɣ	0.5
ʤː	-	0.5
ɡ	ɡ	0.5
d	d	0.5
<#_r	<#_ɾ	0.5
<#_r	<#_r	0.5
ˈo	ˈu	0.467
ˈɛ	ˈɛ	0.441
ˈo	ˈɔ	0.433
ŋ	-	0.429
ˈɔ	ˈo	0.421
w_ˈɔ	ˈɔ	0.4
<#_ˈɔ	<#_ˈo	0.4
d	ð	0.385
ˈɔ	ˈɔ	0.368
v	β	0.355
ɡ	k	0.312
ɲː	nː	0.286
j	j	0.267
ˈe	ˈɛ	0.261
ʤ	-	0.25
s	i_s	0.25
w	b	0.222
ɡ	-	0.188
lː	l	0.182
lː	-	0.182
ˈe	ˈe	0.174
i	ɔ_z	0.158
ɲː	ɲ	0.143
k	-	0.14
l	ɾ	0.132
b	-	0.13
d	-	0.115
#>	ɛ̆_#>	0.111
ˈɔ	ˈa	0.105
ˈɔ	ɾ	0.105
i	e	0.105
ˈo	ˈo	0.1
t	ð	0.097
ˈi	ˈɛ	0.091
ˈi	i	0.091
ˈi	-	0.091
n	nː	0.088
o	ɔ	0.083
l	-	0.079
ˈu	ˈɔ	0.074
ˈu	ˈo	0.074
r	ɛ_ɾ	0.061
r	r	0.061
e	e	0.054
n	ŋ	0.053
