Belarusian	Štokavian	probability
ˈʉ	ûː	1.0
ˈɵ_r	r̩̂ː	1.0
ˈɛ_r	r̩̂	1.0
ˈɛ	êː	1.0
ˈu	ûː	1.0
ˈe_r	r̩̂	1.0
ʦ	ʦ	1.0
ʤ̥	d	1.0
ʣʲ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʌ	-	1.0
ʉ	ǔː	1.0
ʂ	ʃ	1.0
ɫ_ɨ	u	1.0
ɣʲ	-	1.0
ɣ	ɡ	1.0
z̥	z	1.0
zʲ	z	1.0
z	z	1.0
xʲ_ˈi	x	1.0
w	ʋ	1.0
v_ˈu	û	1.0
v_a	ʋ_a	1.0
t	t	1.0
sʲ	s	1.0
s	s	1.0
r_ɨ	a_r	1.0
pʲ	p	1.0
p	p	1.0
n	n	1.0
m	m	1.0
kʲ_i	k	1.0
k	k	1.0
i	-	1.0
d̥ʲ	d̥	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
a_ʦʲ	a_t	1.0
r	r	0.914
v	ʋ	0.903
ɫ	l	0.858
mʲ	m	0.775
ˈɵ	-	0.766
ʧ	ʧ	0.729
ɨ	-	0.656
ˈi	-	0.653
ˈa	a	0.635
vʲ	ʋ	0.622
lʲ	ʎ	0.604
x	x	0.59
ˈo_w	û	0.587
e	-	0.585
æ	ě	0.561
ˈæ	-	0.55
ʦʲ	t	0.526
nʲ	n	0.491
ʦʲ	t_i	0.474
ˈɨ	î	0.438
e	e	0.415
ˈo_w	ûː	0.413
u	ǔː	0.4
u	ûː	0.4
lʲ	l	0.396
vʲ	ʋ_j	0.378
ˈi	î	0.347
ɨ	iː	0.344
ˈe	ê	0.343
nʲ	eː_n	0.327
x	ɡ	0.325
ˈɨ	îː	0.313
a	-	0.305
ˈo	ô	0.286
ˈe	j_êː	0.285
ʧ	ʨ	0.271
ˈɨ	i	0.249
ˈo	ôː	0.244
ˈɵ	êː	0.234
ˈæ	êː	0.225
ˈæ	e	0.225
mʲ	m_j	0.225
æ	ěː	0.22
æ	eː	0.22
ˈa	â	0.218
a	a	0.211
u	uː	0.2
ˈe	e	0.186
ˈe	-	0.186
nʲ	ɲ	0.182
ˈo	-	0.15
a	ǒ	0.137
ˈo	â	0.131
v	-	0.097
r	r̩̂ː	0.086
ˈa	ǎ	0.085
x	ɡ̊	0.085
a	ě	0.085
ˈo	a	0.084
ɫ	-	0.082
a	ěː	0.076
ˈo	ê	0.063
ˈa	âː	0.062
ɫ	o	0.06
a	ô	0.06
a	ǎː	0.058
a	e	0.055
