Belarusian	Lower Sorbian	probability
ˈ	-	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʤ̥	ʨ	1.0
ʐ̊	ʐ̊	1.0
ʌ_ɫ	w	1.0
ʌ	-	1.0
ʉ	u	1.0
ɵ_ˈ	a	1.0
ɣʲ	j_kʲ	1.0
ɛ	ɛ	1.0
æ_ˈ	a	1.0
z̥	z̥	1.0
zʲ	z	1.0
z	z	1.0
xʲ	x	1.0
vʲ	vʲ	1.0
u	u	1.0
sʲ	s	1.0
s	s	1.0
r_ɨ	ɕ_i	1.0
r_a	rʲ	1.0
pʲ	pʲ	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
lʲ	l	1.0
kʲ	kʲ	1.0
k_o	k_ɛ	1.0
k	k	1.0
j	j	1.0
e_ˈ	a	1.0
d̥ʲ	d̥	1.0
d̥	d̥	1.0
d	d	1.0
b̥	b̥	1.0
b	b	1.0
a_ˈ	a	1.0
t	t	0.938
v	v	0.929
ɨ	ɨ	0.874
nʲ	ɲ	0.839
ɣ	ɡ	0.808
ʦʲ	ɕ	0.787
ʐ	ʐ	0.75
ʣʲ	ʑ	0.731
ɫ	w	0.68
w	w	0.67
p	p	0.667
r	r	0.656
bʲ	b	0.6
ɵ	-	0.568
o	ɔ	0.544
i	i	0.532
x	x	0.523
æ	ɪ	0.501
ɵ	ɔ	0.432
bʲ	bʲ	0.4
e	ɪ	0.372
p	-	0.333
w	v	0.33
e	e	0.316
i	-	0.311
a	a	0.291
a	ɛ	0.284
r	rʲ	0.277
ʣʲ	d	0.269
æ	e	0.259
a	ɔ	0.256
ʐ	ʒ	0.25
o	ɛ	0.247
æ	ɛ	0.241
x	k	0.223
o	-	0.208
ɫ	l	0.201
ɣ	-	0.192
x	ɡ̊	0.164
nʲ	nʲ	0.161
e	ɛ	0.161
i	ɨ	0.157
ʦʲ	t	0.155
e	-	0.152
ɨ	-	0.126
a	-	0.121
ɫ	d_w	0.119
x	t͡ʂ	0.09
v	-	0.071
r	ʂ	0.067
t	-	0.062
ʦʲ	ʨ	0.057
