Italian	Ladin	probability
a	a	0.896
a	-	0.082
b	b	0.86
b	-	0.12
d	d	0.653
d	-	0.224
d	t	0.107
e	-	0.664
e	e	0.219
e_r	e	1.0
f	f	1.0
i	e	0.423
i	i	0.282
i	-	0.2
i	j	0.063
j	l	0.626
j	-	0.224
j	j	0.142
k	k	0.465
k	ʨ	0.285
k	-	0.154
k	ɡ	0.05
k_k	d	1.0
k_o	k	1.0
l	l	0.649
l	-	0.28
l	w	0.056
l_e	l	1.0
m	m	0.892
m	-	0.081
n	n	0.862
n	-	0.117
n_o	n	1.0
o	-	0.748
o	o	0.146
p	p	0.875
p	v	0.064
r	r	0.889
r_e	ˈe	0.563
r_e	e	0.213
r_e	j	0.201
r_o	r	1.0
s	s	0.626
s	ʃ	0.214
s	-	0.112
t	t	0.516
t	-	0.348
t	d	0.113
t_e	t	1.0
t_o	t	1.0
t_ˈa	t	0.683
t_ˈa	d	0.231
u	u	0.699
u	-	0.16
v	v	0.775
v	-	0.155
v	ɲ	0.051
v_e	f	0.784
v_e	ˈɛ	0.136
v_o	f	1.0
w	-	0.657
w	w	0.299
w	ˈo	0.051
z	s	0.488
z	ʒ	0.322
z	z	0.122
ŋ	ŋ	0.843
ŋ	n	0.157
ɡ	ɡ	0.558
ɡ	-	0.211
ɡ	d	0.083
ɡ	k	0.083
ɡ	ʥ	0.067
ɡ_o	k	1.0
ɲ	ɲ	0.69
ɲ	-	0.304
ɲ_a	a	1.0
ɲ_o	ɲ	1.0
ʃ	-	0.5
ʃ	ʃ	0.388
ʃ	s	0.103
ʎ	-	0.494
ʎ	j	0.277
ʎ	l	0.08
ʎ	ʨ	0.077
ʎ	ˈɛ	0.059
ʣ	-	0.683
ʣ	ʦ	0.231
ʤ	ʒ	0.553
ʤ	-	0.146
ʤ	ʥ	0.084
ʤ	ɲ	0.062
ʤ	f	0.057
ʤ	v	0.055
ʤ	ʤ	0.055
ʦ	ʦ	0.44
ʦ	-	0.406
ʦ	ʃ	0.132
ʧ	ʧ	0.289
ʧ	ʨ	0.263
ʧ	-	0.249
ʧ	ʦ	0.098
ʧ	ʒ	0.078
ʧ_e	ʃ	1.0
ʧ_i	ʃ	1.0
ˈa	ˈa	0.693
ˈa	ˈɛ	0.16
ˈa	-	0.11
ˈa_d	ˈɛ	1.0
ˈa_ʎ	ˈa	0.514
ˈe	ˈe	0.579
ˈe	ˈe_j	0.228
ˈe	ˈi	0.085
ˈe	ˈɛ	0.063
ˈe_ɲ	ˈe	1.0
ˈi	ˈi	0.904
ˈi	ˈe	0.053
ˈi_r	ˈi	1.0
ˈi_ʎ	ˈi	0.514
ˈo	ˈo	0.746
ˈo	ˈɔ	0.121
ˈo	ˈu	0.051
ˈu	ˈu	0.598
ˈu	ˈo	0.18
ˈu	ˈe	0.095
ˈu	ˈi	0.063
ˈu_ɲ	ˈu	1.0
ˈɔ	ˈɔ	0.551
ˈɔ	w	0.235
ˈɔ	ˈɛ	0.139
ˈɛ	ˈɛ	0.915
ˈɛ	j_ˈɛ	0.054
