Western Lombard	Occitan	probability
ã	a	1.0
e	e	1.0
i	e	1.0
ĩ	i	1.0
n	n	1.0
o	u	1.0
w	-	1.0
z	z	1.0
ʃ	s	1.0
ˈaː	ˈa	1.0
ˈãː	ˈa	1.0
ˈeː	ˈe	1.0
ˈi	ˈi	1.0
ˈĩː	ˈi	1.0
ˈøː	ˈɔ	1.0
ˈɛ̃ː	ˈɛ	1.0
f	f	0.781
t	ʧ	0.141
ʧ	-	0.431
ˈu	<#_a	0.331
ˈu	ˈu	0.541
a	a	0.222
k	k	0.882
l	w	0.082
ɲ	ɲ	0.642
ʋ	v	0.72
ʦ	s	0.772
ˈe	j_ˈɛ	0.052
ˈũː	ˈu	0.702
ˈyː	ˈu	0.922
ˈɔ	ˈe	0.092
b	β	0.323
d	-	0.23
j	j	0.13
r	ɾ_e	0.123
r	r	0.443
s	ʦ	0.113
u	e	0.053
ˈy	ˈy	0.963
ˈø	ɥ_ˈɛ	0.873
ˈɔ	ˈɔ	0.563
d	ð	0.244
j	-	0.174
m	m	0.874
r	ɾ	0.434
ɲ	n	0.084
ɲ	ɲ_ɔ	0.274
ˈa	ˈa_j	0.054
ˈũː	s_#>	0.074
p	p	0.95
t	n	0.215
ʧ	s	0.405
ˈẽː	ˈɛ	0.145
ˈẽː	ˈɛ_n	0.855
ˈu	ˈɔ	0.05
ˈũː	e_#>	0.15
ˈɔ	ˈa_w	0.345
ˈɛ	ˈe	0.205
a	ɔ	0.726
d	ʤ	0.06
j	l	0.696
m	-	0.126
t	t	0.556
u	a	0.256
ʤ	-	0.136
ˈe	ˈe	0.446
ˈũː	l_#>	0.056
ˈɛ	ˈɛ	0.736
b	b	0.677
d	d	0.467
l	l	0.907
s	s	0.807
ɡ	ɣ	0.217
ʤ	ʎ	0.107
ʧ	t	0.057
ˈø	ˈɔ	0.127
u	u	0.648
ɡ	ɡ	0.748
ʋ	β	0.28
ʤ	ʒ	0.758
ʦ	ʦ	0.228
ʧ	ʧ	0.108
ˈe	ˈɛ	0.458
ˈu	ˈy	0.078
ˈyː	ˈu_l	0.078
f	w	0.219
k	ŋ_k	0.099
ˈa	ˈa	0.929
ˈɛ	j_ˈɛ	0.059
