Campidanese	Aromanian	probability
nː	n	1.0
o	u	1.0
sː	-	1.0
z	-	1.0
ð	t	1.0
ɖː	-	1.0
ɡ	ɡ	1.0
ɣ	k	1.0
ɲː	n	1.0
ʃː	ʃ_t	1.0
ʒ	ʦ	1.0
ʣ	ʎ	1.0
ʧ	ʦ	1.0
ˈu	ˈu	1.0
a	a	0.091
a	i	0.121
b	j	0.321
m	m	0.81
s	-	0.11
t	p_t	0.241
t	t	0.611
ˈa	e̯ˈa	0.051
ˈa	ˈa_r	0.051
ˈe	ˈe	0.261
ˈe	ˈi	0.311
ˈi	ˈi	0.651
l	r	0.32
n	n	0.822
rː	r	0.542
ˈa	ˈɨ	0.332
ˈo	ˈa	0.052
f	ç	0.453
k	-	0.103
k	k	0.853
u	w	0.103
u	u	0.63
ˈe	ˈa	0.13
a	-	0.184
a	ə	0.584
d	ʣ	0.514
e	ˈi	0.054
i	i	0.834
l	-	0.134
p	k	0.24
r	l	0.124
u	i	0.054
ŋ	ŋ	0.604
ʤ	ʤ	0.424
ˈa	ˈa	0.54
ˈi	ˈe	0.104
j	-	0.165
j	k_ʎ	0.415
r	r	0.845
s	ʃ	0.165
s	s	0.725
u	ə	0.115
ˈi	e̯ˈa	0.245
ˈo	ˈu	0.295
β	-	0.125
β	p	0.875
d	d	0.486
j	<#_a	0.136
l	l	0.546
p	p	0.76
ŋ	-	0.396
ʤ	ʣ	0.576
ˈo	o̯ˈa_m	0.076
ˈo	ˈo	0.36
b	b	0.207
e	-	0.167
f	f	0.547
i	-	0.097
n	-	0.147
ˈo	o̯ˈa	0.17
b	v	0.308
e	ə	0.098
e	i	0.68
j	j	0.078
rː	r_n	0.458
t	ʦ	0.148
ˈe	e̯ˈa	0.298
b	ɡ	0.139
j	w	0.19
m	ɲ	0.19
u	-	0.099
