Swedish	American English	probability
a	ə	0.645
a	-	0.304
a	ɚ	0.051
b	b	1.0
d	d	0.776
d	θ	0.116
d	ð	0.095
e	ɚ	1.0
f	f	1.0
h	h	1.0
j	-	0.361
j	h	0.279
j	ɡ	0.139
j	oʊ̯	0.066
jː	ˈeɪ̯	1.0
k	k	0.657
k	-	0.216
k	ʧ	0.127
kʰ	kʰ	0.872
kʰ	-	0.128
kː	ŋ_k	0.527
kː	k	0.311
kː	ʧ	0.162
l	l	0.497
l	ɫ	0.454
lː	ɫ	1.0
m	m	0.964
mː	m	1.0
n	n	0.887
n	-	0.113
nː	n	0.831
nː	ð	0.15
p	p	1.0
pʰ	pʰ	1.0
pː	p	1.0
r	ɹ	0.625
r	ɚ	0.289
r	-	0.051
rː	ˈaɪ̯	0.5
rː	θ	0.5
s	s	0.786
s	ʃ	0.13
s	z	0.066
sː	s	1.0
t	t	0.995
tʰ	θ	0.502
tʰ	tʰ	0.396
tʰ	b	0.072
tː	t	0.736
tː	ɾ	0.258
v	w	0.533
v	v	0.206
v	f	0.188
ŋ	n	0.473
ŋ	-	0.287
ŋ	ŋ	0.196
ŋː	ŋ	1.0
ɔ	i	1.0
ɕ	ʧ	0.793
ɕ	θ	0.188
ɖ	d	0.857
ɖ	θ	0.143
ɛ	ɚ	0.806
ɛ	-	0.114
ɡ	ɡ	0.466
ɡ	-	0.417
ɡ	j	0.06
ɡ	k	0.056
ɡː	ʤ	0.79
ɡː	ɡ	0.21
ɧ	s	0.501
ɧ	ʃ	0.499
ɪ	ɪ	0.542
ɪ	i	0.458
ɳ	ɹ	0.81
ɳ	ɚ	0.19
ɳː	n	1.0
ɵ	i	0.847
ɵ	-	0.153
ʈː	ɹ_t	1.0
ʊ	ˈɛ	0.51
ʊ	n	0.49
ˈa	ˈæ	0.462
ˈa	ˈɑ	0.186
ˈa	ˈeɪ̯	0.114
ˈa	ˈɔ	0.078
ˈa	ˈu	0.061
ˈeː	ˈoʊ̯	0.563
ˈeː	ˈɪ	0.227
ˈeː	ˈæ	0.115
ˈeː	ˈi	0.075
ˈiː	ˈaɪ̯	0.617
ˈiː	ˈɪ	0.187
ˈiː	ˈi	0.079
ˈiː	ˈu	0.068
ˈoː	ˈʌ	0.263
ˈoː	ˈu	0.191
ˈoː	ˈoʊ̯	0.143
ˈoː	ˈi	0.139
ˈoː	ˈɛ	0.135
ˈuː	ˈʌ	0.377
ˈuː	ˈɝ	0.153
ˈuː	ˈaʊ̯	0.141
ˈuː	ˈɔ	0.135
ˈuː	ˈʊ	0.121
ˈuː	ˈu	0.073
ˈyː	ˈaɪ̯	0.423
ˈyː	ˈi	0.315
ˈyː	ˈɔ	0.2
ˈyː	ˈu	0.061
ˈæ	ˈɑ	0.672
ˈæ	ˈɔ	0.328
ˈæː	ˈi	0.757
ˈæː	ˈɔ	0.127
ˈæː	ˈɑ	0.116
ˈøː	ˈɛ	0.431
ˈøː	ˈi	0.384
ˈøː	ˈaɪ̯	0.116
ˈøː	ˈoʊ̯	0.069
ˈœ	ˈi	0.56
ˈœ	ˈɪ	0.145
ˈœ	ˈɔ	0.125
ˈœ	ˈaɪ̯	0.062
ˈœ	ˈɑ	0.061
ˈœː	ˈɔ	0.586
ˈœː	ˈi	0.414
ˈɑː	ˈeɪ̯	0.304
ˈɑː	ˈɑ	0.261
ˈɑː	ˈɛ	0.189
ˈɑː	-	0.139
ˈɑː	ˈæ	0.077
ˈɔ	ˈɔ	0.446
ˈɔ	ˈʌ	0.167
ˈɔ	ɹ	0.155
ˈɔ	ˈɪ	0.073
ˈɔ	ˈoʊ̯	0.067
ˈɛ	ˈɛ	0.483
ˈɛ	ˈaɪ̯	0.109
ˈɛ	-	0.085
ˈɛ	ˈæ	0.071
ˈɛ	ˈɪ	0.069
ˈɛ	w	0.059
ˈɛː	ˈɛ	0.328
ˈɛː	ˈi	0.282
ˈɛː	ˈoʊ̯	0.22
ˈɛː	ˈæ	0.103
ˈɛː	ˈeɪ̯	0.067
ˈɪ	ˈɪ	0.614
ˈɪ	ˈaɪ̯	0.263
ˈɪ	ˈi	0.094
ˈɵ	ˈʌ	0.378
ˈɵ	ˈɪ	0.275
ˈɵ	ˈaʊ̯	0.207
ˈɵ	w_ˈʊ	0.069
ˈʉː	ˈi	0.266
ˈʉː	ˈaʊ̯	0.262
ˈʉː	ˈaɪ̯	0.155
ˈʉː	-	0.086
ˈʉː	ˈʌ	0.056
ˈʉː	ˈɛ	0.055
ˈʊ	ˈʌ	0.436
ˈʊ	ˈu	0.426
ˈʊ	ˈɝ	0.138
ˈʏ	ˈɪ	0.713
ˈʏ	ˈɝ	0.174
ˈʏ	ˈʌ	0.113
