Štokavian	Czech	probability
ʒ	ʃ	1.0
ʎ	l	1.0
ʋ_j	v_j	1.0
ɲ_#>	ɲ_#>	1.0
ɡ_#>	x_#>	1.0
ɡ	ɦ	1.0
z	z	1.0
x_#>	x_iː_#>	1.0
x	x	1.0
t_#>	t_#>	1.0
t	t	1.0
s_#>	s_#>	1.0
s	s	1.0
r̩̂	r̝	1.0
r̩̂ː	r	1.0
r̩̂	ˈr̩	1.0
r̂ː	ˈr̩	1.0
p	p	1.0
ǒ	ˈo	1.0
o_#>	o_#>	1.0
n	n	1.0
m	m	1.0
l_ǎː	l_ˈa	1.0
l_#>	l_#>	1.0
l	l	1.0
k_#>	k_#>	1.0
k	k	1.0
j_êː	ˈɛ	1.0
j_ê	ˈiː	1.0
îː_s	ˈɪ_s	1.0
iː_#>	iː_#>	1.0
i_#>	#>	1.0
i	ɪ	1.0
ěː	ˈɛ	1.0
ě_l	ˈɛ_l	1.0
ě	ˈɛ	1.0
eː	ɛ	1.0
e_#>	ɛ_#>	1.0
e	ɛ	1.0
d_#>	t_#>	1.0
d	d	1.0
b_#>	p_#>	1.0
b	b	1.0
â	ˈa	1.0
a_m	m̩	1.0
a_k_#>	k_iː_#>	1.0
a_#>	a_#>	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʋ	<#_v	1.0
<#_ɡ	<#_ɦ	1.0
<#_z	<#_z	1.0
<#_x	<#_x	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_ǒ	<#_ˈo	1.0
<#_ô	<#_ˈo	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#_d	<#_d	1.0
<#_b	<#_b	1.0
ʋ	v	0.818
a	ɛ	0.727
êː	ˈɛ	0.714
ê	ˈɛ	0.714
ʦ	ʦ	0.667
ôː	ˈo	0.625
<#_t	<#_t	0.625
î	ˈɪ	0.6
n_#>	n_iː_#>	0.571
j	ˈiː	0.571
r	r	0.556
âː	ˈaː	0.5
âː	ˈa	0.5
ô	ˈo	0.444
ûː	ˈu	0.429
n_#>	n_#>	0.429
j	-	0.429
î	ˈiː	0.4
ôː	ˈuː	0.375
<#_t	<#_c	0.375
ʦ	k	0.333
ô	ˈuː	0.333
ûː	ˈou̯	0.286
ûː	l_ˈu	0.286
êː	-	0.286
ê	ˈɛː	0.286
r	r̝	0.278
a	-	0.273
ô	ˈɛ	0.222
ʋ	ˈɛ_f	0.182
r	r̝̊	0.167
