Zeelandic	Zeelandic	probability
ˈɑu̯	-	1.0
ˈøː	-	1.0
ˈæi̯	ˈæɪ̯	1.0
ˈoː	-	1.0
ˈiːə̯	ˈoː	1.0
ʋ	ʋ	1.0
ɾ_t	ɾ_t	1.0
ɫ_ˈiː	j_ˈʉː	1.0
ɫ_#>	l_#>	1.0
ə_ɾ	ɾ	1.0
ə_n	n	1.0
ə_#>	#>	1.0
z̥_#>	s_#>	1.0
z_ˈøː	s	1.0
x_t	ʰtː	1.0
x_#>	ɡ_#>	1.0
w_#>	#>	1.0
v	f	1.0
t_#>	t_#>	1.0
s_x	ʂ	1.0
n_z̥	sː	1.0
n_d	nː	1.0
n_#>	#>	1.0
m	m	1.0
k_#>	#>	1.0
iː	e	1.0
d̥_#>	#>	1.0
b	b	1.0
<#_ʋ	<#	1.0
<#_ɾ	<#_ɾ	1.0
<#_t	<#_tʰ	1.0
<#_n	<#_n	1.0
<#_k	<#_kʰ	1.0
<#_j	<#	1.0
<#_d	<#	1.0
#>	n_#>	1.0
ɾ	ɾ	0.958
ɫ	l	0.857
ŋ	ŋː	0.857
ˈyː	ˈʉː	0.818
p	p	0.8
z	s	0.75
k	k	0.75
<#	<#_h	0.737
s	s	0.722
ˈʏ	-	0.714
ˈɑ	ˈɑ	0.684
x	ɡ	0.684
ˈuː	ˈuː	0.667
ˈi	ˈiː	0.667
ˈeː	ˈeː	0.667
t	t	0.652
v̥_#>	ʋ_#>	0.625
n	n	0.625
d̥	d	0.6
d	d	0.56
ˈɛː	ˈoː	0.526
ˈʊə̯	ˈæʉ̯	0.5
ˈɪə̯	ˈæɪ̯	0.5
ˈɒː	ˈɑ	0.5
ˈɒː	-	0.5
ˈæ	ˈɛ	0.5
ˈu	ˈʉ	0.5
ˈu	ˈuː	0.5
ə	ɑ	0.5
v_ə	ʋ_e	0.5
v_ə	m	0.5
<#_ˈɑ	<#_ˈɛ	0.5
<#_ˈɑ	<#	0.5
ˈɪ	ˈɪ	0.462
ˈɔ	ˈʉ	0.45
ˈiː	ˈyː	0.429
d̥	lː	0.4
v̥_#>	#>	0.375
n	nː	0.375
ˈuː	-	0.333
ˈi	ˈɪ	0.333
ˈeː	-	0.333
d	tʰ	0.32
ˈɪ	-	0.308
ˈɪə̯	ˈøː	0.3
ˈʏ	ˈɔ	0.286
ˈæ	-	0.286
s	s_k	0.278
ə	e	0.268
ˈɛː	ˈɑː	0.263
k	ç	0.25
ˈɪ	ˈiː	0.231
ˈiː	ˈeː	0.214
ˈiː	-	0.214
ˈɛː	ˈɑ	0.211
ˈɑ	ˈɑː	0.211
ˈɪə̯	-	0.2
ˈɔ	-	0.2
p	-	0.2
ˈʊə̯	ˈœʏ̯	0.188
ˈʊə̯	-	0.188
ˈyː	-	0.182
t	ʰtː	0.174
z	ʂ	0.167
x	ɡː	0.158
x	j	0.158
<#	<#_kʰ	0.158
ˈɔ	ˈʏ	0.15
ˈæ	ˈɑ	0.143
ˈiː	ˈʉː	0.143
ɫ	lː	0.143
ŋ	ɲ	0.143
ˈʊə̯	ˈʊ	0.125
d	-	0.12
ˈɑ	-	0.105
<#	<#_j	0.105
ˈɔ	ˈɔ	0.1
ˈɔ	ɾ	0.1
ə	ə	0.089
t	tː	0.087
t	-	0.087
z	s_ˈʏ	0.083
ˈæ	ˈæ	0.071
ə	-	0.071
