Štokavian	Kashubian	probability
ǎː	ˈɔ	1.0
eː	a_ŋ	1.0
i	ə	1.0
iː	i	1.0
îː	ˈə	1.0
k	k	1.0
r̩̂ː	r	1.0
x	x	1.0
z	z	1.0
ʎ	l	1.0
ʧ	ʧ	1.0
a	-	0.161
d	ʣ	0.451
e	ɔ	0.201
ěː	ˈɞ	0.881
j	j	0.721
o	ɔ	0.61
ô	ˈɛ	0.121
ɡ	i_#>	0.051
ʋ	f	0.1
d	d	0.472
ě	ˈɔ	0.232
î	-	0.402
ôː	u̯ˈɛ	0.132
ʋ	v_j	0.12
â	ˈɞ	0.083
n	n	0.463
o	u̯ɛ	0.323
ôː	ˈɔ	0.183
ǒ	u̯ˈɛ	0.753
t	ʦ	0.583
ʦ	-	0.193
a	ɛ	0.234
b	p	0.444
ê	ˈa	0.334
êː	ˈa_ŋ	0.664
l	l	0.274
p	p_j	0.374
ʒ	ʒ	0.614
a	a	0.605
ê	ˈɛ	0.625
m	m_j	0.295
m	m	0.705
ôː	ˈu	0.685
s	s	0.985
ûː	ˈõ	0.5
ûː	ˈɞ_w	0.5
b	b	0.556
l	w	0.726
o	w	0.066
p	p	0.626
ʒ	ʃ	0.386
â	ˈɛ	0.917
d	t	0.077
ě	ˈɛ	0.47
ǒ	ˈɔ	0.247
r	r	0.597
t	t	0.417
ɡ	k	0.237
ʦ	ʦ	0.807
ě	-	0.298
î	ˈi	0.598
n	n_i	0.178
n	ɲ	0.358
e	ɛ	0.799
êː	ˈɛ	0.299
ěː	ˈa_ŋ	0.119
j	e	0.139
j	-	0.139
ô	u̯ˈɛ	0.879
r	ʐ	0.359
ɡ	ɡ	0.69
ʋ	v	0.779
