Romansch	Eastern Lombard	probability
b	b	1.0
e	e	1.0
f	f	1.0
m	m	1.0
o	o	1.0
p	p	1.0
u	o	1.0
z	-	1.0
ɲ	ɲ	1.0
ʦ	s	1.0
ˈaː	ˈa	1.0
ˈiə̯	ˈe	1.0
s	s	0.971
w	w	0.11
ŋ	ŋ_k	0.371
ʥ	j	0.381
ˈi	ˈe	0.161
ˈɛː	ˈɛ	0.421
k	k	0.972
n	ŋ	0.122
v	p	0.072
v	b	0.152
w	-	0.702
ʃ	z	0.322
ˈu	ˈo	0.392
ˈɔː	ˈo	0.312
d	d	0.753
l	-	0.073
n	ɲ	0.113
ɡ	ɡ	0.803
ʎ	ʤ	0.063
ʎ	j	0.323
ˈi	ˈi	0.143
ˈiː	ˈø	0.053
ˈiː	-	0.053
ˈo	ˈɔ	0.843
ˈuː	ˈu	0.923
ˈɛ	ˈi	0.053
j	-	0.684
r	r	0.814
t	ʧ	0.054
ŋ	ŋ	0.174
ŋ	n	0.454
ʨ	k	0.764
ˈe	-	0.304
ˈeː	ˈɛ	0.254
ˈu	ˈu	0.194
ˈɔ	ˈø	0.154
ˈɔː	ˈø	0.274
ˈɔː	ˈɔ	0.414
ˈɛ	ˈe	0.294
ˈɛ	ˈɛ	0.414
i	i	0.355
ʥ	z	0.175
ʨ	ʧ	0.15
ˈu	ˈɔ	0.145
j	e	0.316
n	n	0.716
t	t	0.946
ə	e	0.16
ʃ	s	0.656
ʎ	l	0.226
ʥ	ʤ	0.176
ʨ	t	0.086
ˈe	ˈɛ	0.696
ˈeː	ˈe	0.746
i	e	0.157
i	-	0.487
l	l	0.77
v	ʋ	0.757
ɡ	-	0.197
ʎ	ʧ	0.387
ˈa	ˈa	0.827
ˈo	e_#>	0.157
ˈuː	ˈo	0.077
d	t	0.228
l	j	0.158
w	o	0.188
ə	-	0.078
ˈi	ˈy	0.078
ˈi	ˈø	0.618
ˈiː	ˈy	0.28
ˈɔ	ˈɔ	0.218
ˈɔ	ˈa	0.628
r	-	0.129
ə	a	0.749
ʥ	ɡ	0.269
ʧ	z	0.109
ʧ	s	0.859
ˈa	ˈɛ	0.129
ˈiː	ˈe	0.169
ˈiː	ˈi	0.409
ˈu	ˈø	0.269
ˈɛ	ˈø	0.239
ˈɛː	ˈɛ_l	0.579
