Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ_j	1.0
ʔ_s	ʦ	1.0
ʔ_#>	#>	1.0
ʔ	w_⁴¹	1.0
ɯː_ɡ	ɤ	1.0
ɯ_ʔ	u	1.0
ɯ_m	n	1.0
ɢʷ	-	1.0
ɡʷ	-	1.0
ŋʷ	-	1.0
ŋ_s	n_²¹	1.0
ŋ	n	1.0
u_ʔ	w_⁴¹	1.0
tʰ	ʨʰ	1.0
sʰ	ʦʰ	1.0
qʰ	-	1.0
pʰ	pʰ	1.0
o_n	ẽ	1.0
n_ʔ	n_⁴¹	1.0
n_s	n_²¹	1.0
n_i	ʐ	1.0
m_ɯ	w_ə	1.0
l_ʔ	⁴¹	1.0
l_ɯː	a_j	1.0
hʷ	-	1.0
h_m	x	1.0
h	-	1.0
d_s	j_²¹	1.0
b	-	1.0
aː_ʔ	u	1.0
aː_ɡ	²⁴	1.0
aː_l	o	1.0
a_ʔ	y_⁴¹	1.0
<#_ɡ	<#	1.0
<#_ŋ	<#	1.0
oː	ə	0.778
aː	a	0.722
kʰ	kʰ	0.714
ɯː	a	0.667
l̥ʰ	tʰ	0.667
l	-	0.636
k	ʨ	0.625
ɯ	ə	0.6
q	ŋ	0.6
o	ə	0.6
lʼ	t	0.6
p	p	0.556
uː	ɒ	0.5
uː	a	0.5
t	ʦ	0.5
t	-	0.5
n	n	0.5
d	t	0.5
d	-	0.5
a	a	0.5
ɡ	-	0.462
m	m	0.455
p	ɸ	0.444
ɯ	-	0.4
u	ə	0.4
q	-	0.4
o	a	0.4
lʼ	-	0.4
<#	<#_ʨ	0.4
#>	³³_#>	0.4
k	k	0.375
eː	i	0.375
eː	-	0.375
r	l	0.368
m	n	0.364
l	j	0.364
#>	¹³_#>	0.347
ɯː	ə	0.333
l̥ʰ	ʂ	0.333
i	ə	0.333
e	ɒ	0.333
e	i	0.333
e	-	0.333
ɡ	w_²⁴	0.308
s	-	0.308
<#	<#_ɸ	0.3
<#	<#_x	0.3
kʰ	ʨʰ	0.286
eː	j	0.25
a	y	0.25
ɡ	x	0.231
s	ɕ	0.231
oː	-	0.222
i	s	0.222
i	i	0.222
i	-	0.222
n	ẽ	0.214
r	j	0.211
r	i	0.211
u	ɒ	0.2
u	w	0.2
u	-	0.2
m	-	0.182
aː	o	0.167
a	-	0.167
s	w_⁴⁵	0.154
s	s	0.154
s	j	0.154
n	nʲ	0.143
n	l̃	0.143
#>	²⁴_#>	0.12
aː	-	0.111
r	ɤ	0.105
r	a	0.105
a	æ	0.083
#>	⁴⁵_#>	0.067
