Sassarese	Sassarese	probability
β_u	w	1.0
β_i	w	1.0
β	β	1.0
ˈɔ_ɬ	ˈɔ_r	1.0
ˈɔ_r	ˈu	1.0
ˈi_n	ˈi	1.0
ˈe_r	ˈɛ_w	1.0
ˈa_ɬ	w	1.0
ˈa_#>	ˈa_#>	1.0
ʧː	ʎ	1.0
ʧ	k_l	1.0
ʦː	s	1.0
ʦ_i	ʦ	1.0
ʦ	-	1.0
ʤː	ʒ	1.0
ʤ	ʒ	1.0
ʣ	ˈe	1.0
ʒ	-	1.0
ʎː	ʎ	1.0
ʃː	j_ʃ	1.0
ɮ	-	1.0
ɡ_u	k	1.0
ɔ	u_ŋ	1.0
ŋ	ŋ	1.0
z	z	1.0
x	s_k	1.0
w	w	1.0
v	b	1.0
t_r	t_e	1.0
t	t	1.0
s_a	s_a	1.0
s	s	1.0
rː	r	1.0
r_ˈɛ	ɾ_ˈe	1.0
r_u_#>	#>	1.0
pː	s_p	1.0
p_u	p_ˈu	1.0
o	u	1.0
n_ˈɔ	n_ˈa	1.0
n_t_u_#>	n_#>	1.0
n_t_i_#>	n_#>	1.0
n_i	ŋ	1.0
m_u	m_u	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
kː	k	1.0
k_r	k_ɾ	1.0
k_a	k_a	1.0
k	k	1.0
i_d	ˈe_ð	1.0
fː	f	1.0
f	h	1.0
e	-	1.0
dː_u_#>	t_#>	1.0
d_u	t	1.0
bː	β	1.0
a_r	ɾ	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʦ	<#_s	1.0
<#_u	<#_e	1.0
<#_t	<#_t	1.0
<#_r	<#_a_r	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
u_#>	#>	0.97
ˈa	ˈa	0.915
ˈi	ˈi	0.864
p	p	0.862
b	b	0.857
tː	t	0.833
ˈu	ˈy	0.81
i_#>	#>	0.793
<#_i	<#_e	0.778
ɬ	s	0.75
ɡː	k	0.75
a	ɔ	0.716
sː	s	0.714
ˈɛ	ˈe	0.708
d	d	0.7
ˈi_#>	e_#>	0.692
ɲː	ɲ	0.667
xː	s_k	0.6
nː	n	0.6
ɡ	ɣ	0.583
mː	m	0.571
j	-	0.542
r_u	w	0.5
r_u	e	0.5
i	e	0.5
<#	<#_ˈa	0.5
<#	<#_e	0.5
r	ɾ	0.486
ˈo	ˈu	0.48
mː	m_i	0.429
ˈe	ˈɛ	0.423
n	n	0.423
ɡ	ɡ	0.417
dː	ð	0.417
ˈɔ	ˈu	0.406
xː	k	0.4
nː	ŋ	0.4
u	u	0.391
n	ŋ	0.385
j	l	0.375
ˈe	ˈe	0.346
ɲː	-	0.333
dː	t	0.333
ˈi_#>	ˈi_#>	0.308
i	-	0.308
ˈɛ	ˈɛ	0.292
sː	-	0.286
ˈɔ	ˈɔ	0.281
u	j	0.261
ɬ	-	0.25
ɡː	ɣ	0.25
dː	-	0.25
#>	ɔ_#>	0.25
#>	t_#>	0.25
#>	s_#>	0.25
#>	e_#>	0.25
<#_i	<#	0.222
r	l	0.216
i_#>	s_#>	0.207
ˈo	ˈɔ	0.2
d	ð	0.2
n	-	0.192
ˈu	ˈu	0.19
u	e	0.174
tː	j_t	0.167
ˈo	w_ˈe	0.16
a	a	0.149
b	-	0.143
ˈi	-	0.136
r	-	0.135
ˈɔ	ˈa_w	0.125
ˈɔ	w_ˈe	0.125
i	j	0.115
r	r	0.108
d	-	0.1
u	y	0.087
u	r	0.087
j	z_ˈa	0.083
ˈo	w	0.08
ˈo	-	0.08
ˈe	j_ˈɛ	0.077
ˈe	j	0.077
ˈe	-	0.077
i	ˈe	0.077
a	e	0.075
p	β	0.069
p	-	0.069
ˈɔ	-	0.062
a	-	0.06
r	w	0.054
