Old French	Old French	probability
θ	-	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɛ_r	ˈɛ_r	1.0
ˈɛ_f	ˈɔ_v	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈɔ_j	ˈe	1.0
ˈỹ	ˈu	1.0
ˈy_r	ˈu_r	1.0
ˈy_j	ˈɔ	1.0
ˈũ_j	ˈu	1.0
ˈu_s	ˈo_j	1.0
ˈo	ˈɔ	1.0
ˈã	ˈa	1.0
ˈa_w	ˈa_l	1.0
ˈa	ˈa	1.0
ʧ_j	k	1.0
ʎ_#>	j_o_#>	1.0
ʎ	ʎː	1.0
ɲ	ɲː	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_ˈɔ	e_d	1.0
ŋ	ŋ	1.0
z	-	1.0
w_ˈɛ	ˈɔ	1.0
w_#>	o_#>	1.0
ũ	o	1.0
u	o	1.0
t_ə	t_a	1.0
s_#>	#>	1.0
p	p	1.0
o	e_ʤ	1.0
n_s	n_i	1.0
n_d	n_e	1.0
m_#>	m_e_#>	1.0
l_ˈã	j_ˈa	1.0
k_r	k_r	1.0
j_ˈẽ	ˈɛ	1.0
ĩ	i	1.0
i	i	1.0
d	-	1.0
b_ə	b_a	1.0
b	b	1.0
ã	a	1.0
a_l	a_l	1.0
a_j	a	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_ˈã	<#_ˈa	1.0
<#_ʦ	<#_ʧ	1.0
<#_ɔ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
m	m	0.971
n	n	0.953
k	k	0.893
s	s	0.857
ˈu	ˈo	0.846
ʤ	ʤ	0.833
f	f	0.821
ʧ	k	0.8
v	v	0.781
a	a	0.778
e	-	0.769
ˈĩ	ˈi	0.75
ˈi	ˈi	0.688
t	t	0.667
j_t	tː_e	0.667
r	r	0.663
ˈũ	ˈo	0.611
#>	o_#>	0.608
j_ˈɛ	ˈɛ	0.6
j_s	ʧ_e	0.6
ˈy	ˈu	0.583
w	w	0.571
ˈẽ	ˈɛ	0.562
ə	a	0.55
j_n	n	0.467
j_ˈɛ	j_ˈɛ	0.4
j_s	ʦː	0.4
j_n	n_o	0.4
l	l	0.395
ˈɔ	ˈɔ	0.368
l	lː	0.349
ʦ	ʧː	0.333
ʦ	ʧ	0.333
j_t	dː	0.333
ˈɛ	ˈɛ	0.324
#>	e_#>	0.317
ˈɔ	ˈe	0.316
ˈe	ˈa_r	0.304
ˈũ	w_ˈɔ	0.278
ˈɛ	ˈa	0.27
ˈe	ˈa	0.261
ˈe	-	0.261
l	j	0.256
ˈy	ˈo	0.25
ˈĩ	-	0.25
ˈẽ	ˈe	0.25
ə	e	0.234
e	e	0.231
t	tː	0.222
a	-	0.222
ˈɔ	ˈo	0.211
r	e	0.191
ˈi	ˈɛ	0.188
ˈẽ	-	0.188
ˈe	r	0.174
ˈy	ˈɔ	0.167
ʦ	ʦ	0.167
ʦ	-	0.167
ʤ	j	0.167
v	p	0.156
ˈu	ˈu	0.154
j	ˈa	0.154
j	e	0.154
j	-	0.154
ʧ	kː	0.15
w	ˈɔ	0.143
w	ˈu	0.143
w	ˈo	0.143
ˈɛ	ˈe	0.135
j_n	o	0.133
j	r	0.115
j	j	0.115
ˈũ	ˈu	0.111
ə	o	0.108
k	ɡ	0.107
ˈɔ	-	0.105
s	sː	0.102
ˈɛ	ˈɔ	0.081
ˈɛ	-	0.081
j	ˈe	0.077
j	ɡ	0.077
j	u	0.077
j	k	0.077
f	v_e	0.071
f	e	0.071
ˈi	ˈi_k	0.062
ˈi	j_ˈɛ	0.062
v	-	0.062
t	d_o	0.056
t	d	0.056
ˈɛ	ˈa_d	0.054
ˈɛ	kː	0.054
