Gallurese	Gallurese	probability
ˈɛ_nː	ɪ_n	1.0
ˈɔ_l	ˈɔ_r	1.0
ˈu_t	ˈuː_t	1.0
ʧː	-	1.0
ʦː	-	1.0
ʦ	t_i	1.0
ʣ	-	1.0
ʒ	t_i	1.0
ʃː	s_k	1.0
ɟ	j	1.0
ɔ	oː	1.0
ŋ	ŋ	1.0
z	s	1.0
v	w	1.0
t_a	t_ãː	1.0
t	t	1.0
sː	sː	1.0
s	s	1.0
pː	-	1.0
p_r	p_r	1.0
p	p	1.0
o	ʊ̃ː	1.0
n	n	1.0
mː	m	1.0
m_u	m_ɛ̃ː	1.0
l_i	ɫ_ɛ̃ː	1.0
l_a	ɫ_ãː	1.0
kː	-	1.0
k_a	k_a	1.0
j_#>	s_#>	1.0
i_n	ĩː	1.0
i_k	ɪ_k	1.0
fː	fː	1.0
f	f	1.0
e	-	1.0
cː	k_ʊ	1.0
c	k_ɫ	1.0
bː	bː	1.0
a_r	ɛ_r	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɟ	<#_ɡ	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_a	<#_au̯	1.0
m	m	0.968
d	d	0.964
r	r	0.926
ʧ	k	0.913
b	b	0.909
k	k	0.907
l	ɫ	0.762
ɖː	lʲː	0.727
#>	r_ɛ_#>	0.705
u	ʊ̃ː	0.682
ˈe	ˈɛ	0.667
nː	n	0.667
a	ãː	0.65
ˈɛ	ˈɛ	0.6
ˈo	ˈɔ	0.6
rː	r_n	0.6
r_ˈa	r_ˈa	0.6
r_u	r_ʊ̃ː	0.6
j	ɫ	0.583
ˈɔ	ˈɔ	0.579
ˈu	ˈʊ	0.516
ˈa	ˈa	0.515
ɟː	d_i	0.5
ɟː	-	0.5
<#	<#_h	0.5
ˈi	ˈiː	0.467
ɡ	ɡ	0.467
i	ɛ̃ː	0.461
ɲː	n	0.429
ˈa	ˈaː	0.424
ˈu	ˈuː	0.419
j	-	0.417
ˈo	ˈoː	0.4
ɡ	k	0.4
tː	k_t	0.4
rː	rː	0.4
r_ˈa	r_ˈaː	0.4
r_u	ɔ_r	0.4
tː	tː	0.333
nː	nː	0.333
ˈɛ	ˈeː	0.286
ɲː	ŋ_ɡ	0.286
ɲː	n_e	0.286
ˈi	ˈɪ	0.267
tː	t	0.267
<#	<#_ˈa	0.25
<#	<#_w	0.25
ˈɔ	ˈoː	0.237
a	a	0.225
l	r	0.19
ɖː	lʲ_i	0.182
#>	ɛ̃ː_#>	0.136
ˈi	ɛ	0.133
ɡ	ɡʷ	0.133
ˈe	ˈeː	0.111
k	kʷ	0.093
i	ɪ	0.092
ɖː	-	0.091
b	-	0.091
ʧ	kʷ	0.087
ˈɛ	ˈɪ	0.086
ˈɔ	ˈau̯	0.079
i	ɛ	0.079
i	-	0.079
u	ɔ	0.078
ˈe	ɛ	0.074
ˈe	-	0.074
r	s_i	0.074
#>	s_#>	0.068
ˈi	ˈi	0.067
ˈu	ˈoː	0.065
u	ʊ	0.062
a	aː	0.062
a	-	0.062
u	ɛ̃ː	0.054
ˈɔ	ˈu	0.053
ˈɔ	-	0.053
i	ˈiː	0.053
i	iː	0.053
i	eː	0.053
