Alsatian	Nynorsk Norwegian	probability
b̥	b	0.915
b̥	-	0.076
d̥	d	0.508
d̥	-	0.228
d̥	tʰ	0.228
d̥	j	0.031
d̥_ə	ɑ	1.0
e	m	0.229
f	f	0.756
f	-	0.144
f	p	0.073
h	h	1.0
i	ɑ	0.325
i	e	0.283
i	-	0.246
i	ŋ	0.107
j	ɡ	0.57
j	-	0.422
k	ɡː	0.496
k	-	0.166
k	ʰkː	0.095
k	k	0.091
kʰ	kʰ	0.824
kʰ	ç	0.174
l	l	0.754
l	lː	0.136
l	j	0.036
l	l_e	0.033
l	nː	0.032
m	m	0.89
m	m_j	0.104
n	n	0.5
n	-	0.302
n	nː	0.192
n_d̥	nː	1.0
p͡f	p	0.479
s	s	0.514
s	t	0.293
s	ʃ	0.09
s	s_e	0.061
s	sː	0.033
s_ə	t	1.0
t	-	0.452
t	d	0.242
t	t	0.177
t	ʰtː	0.044
t	ç	0.044
v	j	0.349
v	ɡ	0.167
v	ʋ	0.167
v	-	0.1
w	ˈʏ	0.375
w	ʋ	0.248
x	ʰtː	0.549
x	ɡ	0.16
x	-	0.16
ŋ	ŋː	0.453
ŋ	ŋː_e	0.316
ŋ	ɲ	0.108
ŋ	-	0.072
ə	ɑ	0.487
ə	-	0.321
ə	e	0.133
ə	ɛ	0.035
ə	ˈøː	0.032
ɡ̊	ɡ	0.709
ɡ̊	j	0.187
ɡ̊	kʰ	0.087
ʁ	ɾ	0.88
ʁ	-	0.07
ʁ	ɾ_e	0.046
ʃ	s	0.615
ʃ	-	0.175
ʃ	k	0.098
ʃ	ʃ	0.089
ʋ	ʋ	0.443
ʋ	-	0.414
ʋ	ɑ	0.07
ʋ	v	0.07
ʦ	tʰ	0.505
ʦ	t	0.21
ʦ	-	0.083
ʦ	ç	0.083
ʦ	çː	0.083
ˈai̯	ˈœʏ̯	1.0
ˈaː	ˈæɪ̯	0.574
ˈaː	ˈɑ	0.275
ˈe	ˈɛ	0.332
ˈe	ˈeː	0.144
ˈe	ˈɛː	0.144
ˈe	ˈʉ	0.102
ˈe	ˈɪ	0.102
ˈei̯	ˈeː	0.723
ˈei̯	ˈyː	0.199
ˈeː	ˈøː	0.354
ˈeː	ˈiː	0.203
ˈeː	ˈoː	0.128
ˈeː	ˈœʏ̯	0.128
ˈeː	ˈɛ	0.085
ˈi	ˈɪ	0.341
ˈi	ˈiː	0.163
ˈi	ˈɛ	0.141
ˈi	ˈʏ	0.138
ˈi	-	0.054
ˈiː	ˈiː	0.334
ˈiː	ˈyː	0.291
ˈiː	ˈøː	0.195
ˈiː	ˈʏ	0.076
ˈiː	ˈuː	0.076
ˈiː_t	ˈiː	1.0
ˈo	ˈʉ	0.397
ˈo	ˈʊ	0.287
ˈo	-	0.143
ˈo	ˈuː	0.143
ˈo	ˈʉː	0.035
ˈoː	ˈoː	0.527
ˈoː	ˈɔ	0.207
ˈoː	ˈœʏ̯	0.107
ˈoː	ˈæʉ̯	0.107
ˈoː_t	ˈæʉ̯	1.0
ˈu	ˈʏ	0.339
ˈu	ˈʊ	0.295
ˈu	ˈɔ	0.218
ˈu	-	0.099
ˈyː	ˈʉː	0.889
ˈyː	ˈʉ	0.081
ˈæ	ˈeː	0.778
ˈæ	ˈæ	0.162
ˈæː	ˈoː	0.379
ˈæː	ˈʉː	0.181
ˈæː	ˈɛ	0.1
ˈæː	ˈœ	0.1
ˈø	ˈʉ	1.0
ˈøi̯	ˈʉː	1.0
ˈøː	ˈuː	1.0
ˈœ	ˈæʉ̯	1.0
ˈɒ	ˈɑ	0.624
ˈɒ	ˈɑː	0.132
ˈɒ	ˈɔ	0.048
ˈɒ	ˈeː	0.048
ˈɒ	ˈʉː	0.048
ˈɒː	ˈɑː	0.516
ˈɒː	ˈɑ	0.342
ˈɒː	ˈoː	0.12
ˈəi̯	ˈæɪ̯	0.831
ˈəi̯	ˈuː	0.115
ˈəi̯	ˈæːɪ̯	0.036
ˈɛ	ˈɛ	0.363
ˈɛ	j	0.174
ˈʊː	ˈuː	0.614
ˈʊː	ˈæʉ̯	0.226
ˈʊː	ˈʉː	0.098
ˈʊː	ˈœʏ̯	0.035
ˈʊː_t	ˈuː	1.0
