Alsatian	Nynorsk Norwegian	probability
e	m	1.0
eː	e	1.0
ˈai̯	ˈœʏ̯	1.0
ˈø	ˈʉ	1.0
ˈøi̯	ˈʉː	1.0
ˈøː	ˈuː	1.0
ˈœ	ˈæʉ̯	1.0
d̥	j	0.061
j	jː	0.141
l	l	0.801
p͡f	ʋ	0.661
v	j	0.221
ə	e	0.11
ʁ	ɾ	0.841
ʋ	kʰ_ʋ	0.161
ʦ	ç	0.051
ˈe	ˈɛ	0.511
ˈeː	ˈiː	0.321
ˈi	ˈʏ	0.11
ˈi	ˈɛ	0.181
ˈiː	ˈyː	0.181
ˈo	ˈʊ	0.481
ˈæ	j	0.111
ˈəi̯	ˈæɪ̯	0.921
b̥	b	0.832
k	k	0.242
kʰ	kʰ	0.702
l	j	0.072
m	-	0.062
m	m	0.822
n	n	0.522
t	d	0.222
t	-	0.462
x	-	0.062
x	ʰtː	0.52
ˈi	ˈiː	0.182
ˈu	ˈʏ	0.132
b̥	-	0.153
d̥	tʰ	0.383
j	-	0.313
k	-	0.123
k	çː	0.123
v	-	0.203
v	ʋ	0.203
v	ɡ	0.373
w	ˈʏ	0.863
ŋ	ɲ	0.083
ŋ	ŋː	0.853
ɡ̊	j	0.123
ʃ	-	0.163
ʃ	k	0.263
ʦ	t	0.153
ʦ	tː	0.183
ˈe	ˈɔ	0.133
ˈi	ˈɪ	0.393
ˈo	ˈuː	0.223
ˈoː	ˈæʉ̯	0.193
ˈu	ˈoː	0.103
ˈæ	ˈeː	0.753
ˈæː	ˈɛ	0.273
f	-	0.054
i	ɑ	0.404
k	ʰkː	0.074
kʰ	h	0.054
kʰ	ç	0.244
t	ç	0.054
ŋ	-	0.064
ə	-	0.284
ʋ	v	0.104
ˈaː	ˈɑ	0.264
ˈeː	ˈœʏ̯	0.054
ˈi	-	0.054
ˈiː	ˈeː	0.054
ˈiː	ˈʏ	0.074
ˈu	ˈœ	0.074
ˈæː	ˈœ	0.284
ˈɒː	ˈɑː	0.4
ˈɔi̯	e	0.184
ˈəi̯	ˈuː	0.054
ˈʊː	ˈœʏ̯	0.054
ˈʊː	ˈuː	0.574
h	-	0.105
h	h	0.895
i	ŋ	0.075
i	-	0.185
m	ə	0.075
n	nː	0.265
t	t	0.145
ʃ	ʂ	0.155
ˈei̯	ˈeː	0.255
ˈeː	ˈɛ	0.055
ˈu	ˈɔ	0.145
ˈu	ˈʉ	0.45
ˈyː	ˈʉ	0.085
ˈæː	ˈʉː	0.225
ˈɒ	ˈɑ	0.715
ˈɒː	ˈoː	0.055
ˈɛ	ˈøː	0.095
ˈɛ	ˈɛ	0.905
ˈʊː	ˈøː	0.075
ˈʊː	ˈæʉ̯	0.175
i	e	0.336
j	ɡ	0.546
ə	ɑ	0.46
ʋ	ʋ	0.436
ʦ	tʰ	0.556
ˈe	-	0.056
ˈe	ˈeː	0.056
ˈe	ˈʉ	0.16
ˈei̯	ˈæɪ̯	0.406
ˈeː	ˈɑ	0.066
ˈiː	ˈuː	0.056
ˈiː	ˈɛ	0.076
ˈoː	ˈoː	0.616
ˈyː	ˈɔ	0.146
ˈɒ	ˈʉː	0.076
ˈɒː	ˈɑ	0.546
ˈɔi̯	ˈuː	0.816
ˈʊː	ˈeː	0.076
d̥	d	0.347
f	ʋ	0.117
f	f	0.547
n	-	0.187
s	ʂ	0.057
w	ʋ	0.137
ə	ə	0.117
ɡ̊	kʰ	0.07
ɡ̊	ɡ	0.807
ʋ	-	0.277
ˈaː	ˈʉː	0.597
ˈeː	ˈæː	0.197
ˈo	ˈʉː	0.07
ˈo	ˈʉ	0.07
ˈu	ˈʊ	0.067
ˈæ	ˈæ	0.137
k	ɡː	0.438
l	-	0.058
x	k	0.328
ˈeː	ˈoː	0.068
ˈeː	ˈøː	0.238
ˈiː	ˈɪ	0.08
ˈiː	ˈiː	0.298
ˈæː	ˈoː	0.218
d̥	-	0.209
f	p	0.239
l	lː	0.069
p͡f	p	0.339
s	t	0.339
s	s	0.559
x	ɡ	0.09
ʁ	-	0.159
ʃ	s	0.419
ˈaː	ˈæɪ̯	0.139
ˈei̯	ˈyː	0.339
ˈiː	ˈøː	0.139
ˈo	-	0.109
ˈoː	ˈɔ	0.159
ˈyː	ˈʉː	0.769
ˈɒ	ˈɑː	0.109
