Gothic	Middle English	probability
θ_u	θ	1.0
θ_s	d	1.0
β	v	1.0
ˈɔː_s	ˈɛu̯	1.0
ˈuː	ˈuː	1.0
ˈiː_k	ʧ	1.0
ˈiː	ˈiː	1.0
ˈi_ɡ	ˈæi̯	1.0
ˈa_n	ˈoː	1.0
ʍ	ʍ	1.0
ɣ	-	1.0
ɡʷː	ˈuː	1.0
ɡʷ	ɡ	1.0
ɔː	ə	1.0
ð	d	1.0
z	-	1.0
x	-	1.0
t	t	1.0
s_k	ʃ	1.0
r_n	r_n	1.0
r	r	1.0
p	p	1.0
oː	ə	1.0
nː	n	1.0
n	n	1.0
m	m	1.0
lː	ɫ	1.0
j_a	ə	1.0
h_l	l	1.0
e	ə	1.0
d	d	1.0
aː	ə	1.0
a_n	n	1.0
a	ə	1.0
b	b	0.938
w	w	0.871
ˈɛː	ˈɔː	0.85
f	f	0.822
ɡ	-	0.804
k	k	0.744
ˈɛ	ˈɛ	0.738
ˈoː	ˈoː	0.731
ˈeː	ˈɛː	0.697
ˈu	ˈu	0.646
iː	ə	0.6
ŋ	ŋ	0.594
i	-	0.582
l	ɫ	0.578
ˈiu̯	ˈeː	0.554
h	h	0.531
s	s	0.52
u	-	0.517
ˈɔ	ˈu	0.486
u	ə	0.483
ˈɔː	ˈɛː	0.465
s	r	0.456
ˈiu̯	-	0.446
ˈi	ˈi	0.443
θ	d	0.436
l	l	0.422
iː	-	0.4
θ	ð	0.384
ˈɔ	ˈɔ	0.324
ˈɔː	-	0.308
ˈa	ˈa	0.308
ˈeː	ˈoː	0.303
i	ə	0.302
ˈoː	-	0.269
ˈɛ	-	0.262
k	-	0.256
ˈi	ˈiː	0.253
ˈa	ˈɔː	0.232
ˈɔː	ˈeː	0.226
ŋ	n	0.203
ŋ	-	0.203
h	-	0.201
ɡ	ɡ	0.196
ˈɔ	-	0.189
ˈu	-	0.181
θ	θ	0.18
f	v	0.178
ˈu	ˈuː	0.172
ˈi	ˈeː	0.165
ˈa	ˈɛ	0.161
h	x	0.151
ˈɛː	-	0.15
ˈa	ˈaː	0.139
w	-	0.129
h	ç	0.117
i	i	0.116
ˈi	-	0.094
ˈa	ˈæi̯	0.086
b	f	0.062
ˈa	ˈɛː	0.058
