Insular North Frisian	East Franconian	probability
ˈɪ_t	ˈaɪ̯_s	1.0
ˈɛː	ˈɛ	1.0
ˈiː_n	ˈaː	1.0
ˈaː	-	1.0
ˈaʊ̯	ˈaː	1.0
ʃ	s	1.0
ɡ	ɡ̊	1.0
ɐ_n	ɐ_n	1.0
z	z̥	1.0
x_t	d̥	1.0
tʲ	d̥	1.0
t_ɐ	d̥_ɐ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r	r	1.0
pʰ	b̥͡v̥	1.0
nʲ	n_d̥	1.0
m	m	1.0
lʲ	l_d̥	1.0
l	l	1.0
kʰ	kʰ	1.0
k_ˈa	ˈa	1.0
h	h	1.0
f	f	1.0
e	-	1.0
b	b̥	1.0
aɪ̯	ʦ_eː	1.0
v	v	0.917
ɐ	ɐ	0.857
d	d̥	0.838
j	-	0.766
ə	-	0.751
ˈøː	-	0.667
ˈaɪ̯	-	0.667
ˈyː	ˈaɪ̯	0.656
s	s	0.634
ɾ	d̥	0.625
n	n	0.596
ˈɔa̯	ˈuː	0.59
ɪ	-	0.577
ŋ	ŋ	0.566
tʰ	d̥	0.545
ˈiː	ˈaɪ̯	0.539
ˈoː	-	0.534
p	v̥	0.517
ˈa	ˈɒ	0.496
p	-	0.483
ˈoː	ˈaː	0.466
tʰ	ʦ	0.455
ˈɪ	ˈɪ	0.445
ˈʏ	ˈaʊ̯	0.432
ˈɔː	ˈoː	0.428
ɪ	i	0.423
ˈɔː	ˈɒ	0.396
x	x	0.393
ˈuː	ˈɔ	0.387
ˈɔ	ˈʊ	0.376
s	ʃ	0.366
ˈʊ	ˈʊ	0.365
k	ɡ̊	0.36
k	x	0.347
ˈyː	ˈaʊ̯	0.344
ˈeː	-	0.339
ˈøː	ˈiː	0.333
ˈaɪ̯	ɣ	0.333
ˈuː	ˈoː	0.331
ˈɪ	ˈaɪ̯	0.324
t	s	0.32
ç	-	0.301
ˈiː	ˈiː	0.294
k	ç	0.292
ˈʏ	ˈʊ	0.29
ˈɛ	ˈɛ	0.29
t	d̥	0.29
ˈa	-	0.289
ˈuː	ˈɒ	0.283
ç	ɡ̊_n	0.264
ˈɛ	ˈɪ	0.263
t	ʦ	0.259
ç	ŋ	0.258
ˈeː	ˈiː	0.256
ɾ	ɾ	0.25
ˈœ	ˈʊ	0.237
ˈɔ	ˈɔ	0.234
ˈɔ	ˈuː	0.234
j	j	0.234
ˈɛ	-	0.231
ŋ	ŋ_a	0.222
ˈʊ	ˈɪ	0.221
ˈeː	ˈɒ	0.218
ˈœ	-	0.215
ˈa	ˈɛ	0.215
ŋ	ç	0.213
ˈɔa̯	ˈɒ	0.208
x	ɐ	0.208
x	ɣ̊	0.205
ˈɔa̯	-	0.202
x	-	0.194
ˈeː	ˈaː	0.188
ˈʊ	ˈɒ	0.186
ç	ɡ̊	0.176
ˈɛ	ˈiː	0.174
ˈʏ	ˈaɪ̯	0.168
ˈʊ	ˈuː	0.168
ˈiː	ˈoː	0.167
d	-	0.162
ˈœ	ˈɒ	0.161
ˈɔ	ˈɛ	0.156
ˈɪ	ˈiː	0.153
ˈœ	ˈuː	0.15
n	n_d̥	0.139
t	z̥_n	0.131
ɾ	d̥_n	0.125
ə	ɐ	0.124
ə	f_a	0.124
ˈɔː	-	0.123
ˈœ	ˈɔ	0.119
ˈœ	ˈɪ	0.118
ˈʏ	-	0.11
n	-	0.1
n	n_ˈoː	0.087
ɐ	ɐ_n	0.083
v	-	0.083
ˈɪ	-	0.079
n	n_a	0.078
ˈʊ	ˈɔ	0.06
ɐ	β_ɐ	0.06
ˈɔː	ˈɒː	0.053
