Romanian	French	probability
a	a	1.0
f	f	1.0
kʲ	j	1.0
v	v	1.0
w	-	1.0
ŋ	-	1.0
ɨ	-	1.0
ʃ	s	1.0
ʒ	ʒ	1.0
ʧʲ	-	1.0
ˈə	a	1.0
e	j	0.111
l	-	0.241
o̯ˈa	ɥ	0.11
o̯ˈa	œ	0.221
ʦ	-	0.911
e	ə	0.052
e	e	0.232
i	-	0.702
j	j	0.42
m	m	0.602
r	ʁ	0.502
s	-	0.492
ə	-	0.292
ɡ	-	0.52
ʤ	ʒ	0.662
ˈe	ɛ	0.252
ˈi	ɑ̃	0.082
ˈɨ	-	0.202
b	b	0.913
o	ɔ	0.53
t	-	0.543
ə	a	0.083
ə	ɛ	0.093
ə	e	0.533
d	d	0.594
e̯ˈa	i	0.274
j	l	0.244
o̯ˈa	-	0.14
p	-	0.14
t	t	0.4
u	ɔ	0.604
ʧ	s	0.374
ˈa	-	0.214
ˈu	ɔ	0.064
ˈu	œ	0.164
ˈu	y	0.254
e	o	0.065
n	-	0.245
p	p	0.705
z	d	0.465
z	-	0.535
ˈe	-	0.245
ˈo	ɔ	0.435
ˈu	ɔ̃	0.115
d	-	0.406
e̯ˈa	ɛ	0.726
k	ʃ	0.296
n	ɑ̃	0.296
u	u	0.396
ʧ	-	0.576
ˈu	w	0.096
ˈu	u	0.236
e	i	0.077
e	-	0.427
j	i	0.147
k	-	0.287
k	k	0.417
o	-	0.47
p	f	0.097
t	v_w	0.057
ˈa	ɛ	0.557
ˈe	a	0.207
ˈi	j	0.147
ˈo	œ	0.357
i	a	0.298
m	-	0.398
n	ɛ̃	0.08
n	n	0.378
r	-	0.288
s	s	0.508
ɡ	ɡ	0.48
ʤ	-	0.338
ˈi	-	0.348
ˈi	i	0.38
ˈo	u	0.208
ˈɨ	ɛ	0.798
j	-	0.19
l	l	0.759
o̯ˈa	ɔ	0.529
p	v	0.059
r	l	0.209
ʦ	t	0.089
ˈa	a	0.229
ˈe	w_a	0.189
